group,function,value,sample_time_nanos,iteration_count
euler 2d,glam,,981259.0,110
euler 2d,glam,,1965217.0,220
euler 2d,glam,,2942192.0,330
euler 2d,glam,,3935234.0,440
euler 2d,glam,,5997041.0,550
euler 2d,glam,,5890005.0,660
euler 2d,glam,,7854045.0,770
euler 2d,glam,,7921441.0,880
euler 2d,glam,,8850527.0,990
euler 2d,glam,,11952184.0,1100
euler 2d,glam,,10829804.0,1210
euler 2d,glam,,11790676.0,1320
euler 2d,glam,,12786051.0,1430
euler 2d,glam,,13793286.0,1540
euler 2d,glam,,14787927.0,1650
euler 2d,glam,,15773530.0,1760
euler 2d,glam,,16831798.0,1870
euler 2d,glam,,18323389.0,1980
euler 2d,glam,,18798528.0,2090
euler 2d,glam,,19715939.0,2200
euler 2d,glam,,20633318.0,2310
euler 2d,glam,,21632666.0,2420
euler 2d,glam,,22643491.0,2530
euler 2d,glam,,23635131.0,2640
euler 2d,glam,,24625439.0,2750
euler 2d,glam,,31011211.0,2860
euler 2d,glam,,26529562.0,2970
euler 2d,glam,,27546122.0,3080
euler 2d,glam,,28502887.0,3190
euler 2d,glam,,29606681.0,3300
euler 2d,glam,,30441903.0,3410
euler 2d,glam,,31551668.0,3520
euler 2d,glam,,32487985.0,3630
euler 2d,glam,,33461531.0,3740
euler 2d,glam,,34525650.0,3850
euler 2d,glam,,35548609.0,3960
euler 2d,glam,,36442432.0,4070
euler 2d,glam,,37385465.0,4180
euler 2d,glam,,38995219.0,4290
euler 2d,glam,,39372699.0,4400
euler 2d,glam,,40345261.0,4510
euler 2d,glam,,50151115.0,4620
euler 2d,glam,,42275815.0,4730
euler 2d,glam,,43236704.0,4840
euler 2d,glam,,44284944.0,4950
euler 2d,glam,,45263376.0,5060
euler 2d,glam,,46199699.0,5170
euler 2d,glam,,47376077.0,5280
euler 2d,glam,,48230428.0,5390
euler 2d,glam,,49208907.0,5500
euler 2d,glam,,50199268.0,5610
euler 2d,glam,,51782443.0,5720
euler 2d,glam,,52210421.0,5830
euler 2d,glam,,53256614.0,5940
euler 2d,glam,,54090240.0,6050
euler 2d,glam,,55116637.0,6160
euler 2d,glam,,56111778.0,6270
euler 2d,glam,,69274853.0,6380
euler 2d,glam,,57959069.0,6490
euler 2d,glam,,59069415.0,6600
euler 2d,glam,,60011999.0,6710
euler 2d,glam,,61137425.0,6820
euler 2d,glam,,62536431.0,6930
euler 2d,glam,,63105561.0,7040
euler 2d,glam,,63975551.0,7150
euler 2d,glam,,65361005.0,7260
euler 2d,glam,,66094363.0,7370
euler 2d,glam,,67001463.0,7480
euler 2d,glam,,67967361.0,7590
euler 2d,glam,,68858223.0,7700
euler 2d,glam,,69822429.0,7810
euler 2d,glam,,71937615.0,7920
euler 2d,glam,,71841292.0,8030
euler 2d,glam,,88268538.0,8140
euler 2d,glam,,73740292.0,8250
euler 2d,glam,,74864899.0,8360
euler 2d,glam,,75794873.0,8470
euler 2d,glam,,77217472.0,8580
euler 2d,glam,,78261608.0,8690
euler 2d,glam,,79089915.0,8800
euler 2d,glam,,79799711.0,8910
euler 2d,glam,,80628936.0,9020
euler 2d,glam,,81645811.0,9130
euler 2d,glam,,82667253.0,9240
euler 2d,glam,,83612190.0,9350
euler 2d,glam,,84609630.0,9460
euler 2d,glam,,86275558.0,9570
euler 2d,glam,,86861347.0,9680
euler 2d,glam,,87550166.0,9790
euler 2d,glam,,107410414.0,9900
euler 2d,glam,,89846495.0,10010
euler 2d,glam,,90488685.0,10120
euler 2d,glam,,92142923.0,10230
euler 2d,glam,,92555387.0,10340
euler 2d,glam,,93397148.0,10450
euler 2d,glam,,94839848.0,10560
euler 2d,glam,,95614119.0,10670
euler 2d,glam,,96425045.0,10780
euler 2d,glam,,97389277.0,10890
euler 2d,glam,,99086521.0,11000
