group,function,value,sample_time_nanos,iteration_count
euler 2d,nalgebra,,995310.0,38
euler 2d,nalgebra,,1988409.0,76
euler 2d,nalgebra,,2988603.0,114
euler 2d,nalgebra,,4158288.0,152
euler 2d,nalgebra,,5041248.0,190
euler 2d,nalgebra,,5970203.0,228
euler 2d,nalgebra,,7386338.0,266
euler 2d,nalgebra,,8027406.0,304
euler 2d,nalgebra,,9021365.0,342
euler 2d,nalgebra,,10014177.0,380
euler 2d,nalgebra,,10971832.0,418
euler 2d,nalgebra,,11964318.0,456
euler 2d,nalgebra,,12978756.0,494
euler 2d,nalgebra,,13955652.0,532
euler 2d,nalgebra,,14969738.0,570
euler 2d,nalgebra,,15966642.0,608
euler 2d,nalgebra,,16960347.0,646
euler 2d,nalgebra,,18017735.0,684
euler 2d,nalgebra,,19258614.0,722
euler 2d,nalgebra,,19925548.0,760
euler 2d,nalgebra,,20941138.0,798
euler 2d,nalgebra,,21936517.0,836
euler 2d,nalgebra,,22910590.0,874
euler 2d,nalgebra,,23946889.0,912
euler 2d,nalgebra,,25026587.0,950
euler 2d,nalgebra,,26036545.0,988
euler 2d,nalgebra,,26956472.0,1026
euler 2d,nalgebra,,27966336.0,1064
euler 2d,nalgebra,,28887405.0,1102
euler 2d,nalgebra,,29915679.0,1140
euler 2d,nalgebra,,30915719.0,1178
euler 2d,nalgebra,,31911439.0,1216
euler 2d,nalgebra,,32899436.0,1254
euler 2d,nalgebra,,33876409.0,1292
euler 2d,nalgebra,,34905788.0,1330
euler 2d,nalgebra,,35909806.0,1368
euler 2d,nalgebra,,37128254.0,1406
euler 2d,nalgebra,,37899939.0,1444
euler 2d,nalgebra,,39249212.0,1482
euler 2d,nalgebra,,39903958.0,1520
euler 2d,nalgebra,,40905799.0,1558
euler 2d,nalgebra,,41884172.0,1596
euler 2d,nalgebra,,42895307.0,1634
euler 2d,nalgebra,,43851331.0,1672
euler 2d,nalgebra,,44841345.0,1710
euler 2d,nalgebra,,45921671.0,1748
euler 2d,nalgebra,,46872711.0,1786
euler 2d,nalgebra,,47853866.0,1824
euler 2d,nalgebra,,48826763.0,1862
euler 2d,nalgebra,,49843084.0,1900
euler 2d,nalgebra,,50860911.0,1938
euler 2d,nalgebra,,52278210.0,1976
euler 2d,nalgebra,,52970541.0,2014
euler 2d,nalgebra,,53863633.0,2052
euler 2d,nalgebra,,55064909.0,2090
euler 2d,nalgebra,,55831548.0,2128
euler 2d,nalgebra,,56887222.0,2166
euler 2d,nalgebra,,57948775.0,2204
euler 2d,nalgebra,,58871595.0,2242
euler 2d,nalgebra,,59822512.0,2280
euler 2d,nalgebra,,60847155.0,2318
euler 2d,nalgebra,,61876546.0,2356
euler 2d,nalgebra,,63120659.0,2394
euler 2d,nalgebra,,63874841.0,2432
euler 2d,nalgebra,,64836449.0,2470
euler 2d,nalgebra,,65783483.0,2508
euler 2d,nalgebra,,66806984.0,2546
euler 2d,nalgebra,,68217451.0,2584
euler 2d,nalgebra,,68770908.0,2622
euler 2d,nalgebra,,69976318.0,2660
euler 2d,nalgebra,,70783681.0,2698
euler 2d,nalgebra,,72230927.0,2736
euler 2d,nalgebra,,72879659.0,2774
euler 2d,nalgebra,,73786658.0,2812
euler 2d,nalgebra,,74795603.0,2850
euler 2d,nalgebra,,75815754.0,2888
euler 2d,nalgebra,,76751841.0,2926
euler 2d,nalgebra,,77791438.0,2964
euler 2d,nalgebra,,79110003.0,3002
euler 2d,nalgebra,,80228812.0,3040
euler 2d,nalgebra,,80774280.0,3078
euler 2d,nalgebra,,81748434.0,3116
euler 2d,nalgebra,,82768620.0,3154
euler 2d,nalgebra,,83756145.0,3192
euler 2d,nalgebra,,84776343.0,3230
euler 2d,nalgebra,,85832326.0,3268
euler 2d,nalgebra,,87041675.0,3306
euler 2d,nalgebra,,88052271.0,3344
euler 2d,nalgebra,,88717862.0,3382
euler 2d,nalgebra,,89733710.0,3420
euler 2d,nalgebra,,90752865.0,3458
euler 2d,nalgebra,,91709127.0,3496
euler 2d,nalgebra,,93041338.0,3534
euler 2d,nalgebra,,96962738.0,3572
euler 2d,nalgebra,,97917396.0,3610
euler 2d,nalgebra,,99133112.0,3648
euler 2d,nalgebra,,100538928.0,3686
euler 2d,nalgebra,,101242205.0,3724
euler 2d,nalgebra,,102551755.0,3762
euler 2d,nalgebra,,99807806.0,3800
