group,function,value,sample_time_nanos,iteration_count
euler 3d,euclid,,984925.0,34
euler 3d,euclid,,1988954.0,68
euler 3d,euclid,,3006740.0,102
euler 3d,euclid,,4044977.0,136
euler 3d,euclid,,5052152.0,170
euler 3d,euclid,,5933515.0,204
euler 3d,euclid,,7233717.0,238
euler 3d,euclid,,8301188.0,272
euler 3d,euclid,,9152193.0,306
euler 3d,euclid,,10227422.0,340
euler 3d,euclid,,11207121.0,374
euler 3d,euclid,,12265183.0,408
euler 3d,euclid,,13286194.0,442
euler 3d,euclid,,14400934.0,476
euler 3d,euclid,,15349491.0,510
euler 3d,euclid,,16199919.0,544
euler 3d,euclid,,16844024.0,578
euler 3d,euclid,,17844924.0,612
euler 3d,euclid,,18843565.0,646
euler 3d,euclid,,20063198.0,680
euler 3d,euclid,,24388105.0,714
euler 3d,euclid,,21809990.0,748
euler 3d,euclid,,22766761.0,782
euler 3d,euclid,,23849442.0,816
euler 3d,euclid,,24760463.0,850
euler 3d,euclid,,25773806.0,884
euler 3d,euclid,,26773978.0,918
euler 3d,euclid,,27817386.0,952
euler 3d,euclid,,28723784.0,986
euler 3d,euclid,,29831406.0,1020
euler 3d,euclid,,30782155.0,1054
euler 3d,euclid,,31769304.0,1088
euler 3d,euclid,,32716446.0,1122
euler 3d,euclid,,33712268.0,1156
euler 3d,euclid,,35206155.0,1190
euler 3d,euclid,,35654216.0,1224
euler 3d,euclid,,36751799.0,1258
euler 3d,euclid,,37670989.0,1292
euler 3d,euclid,,38655957.0,1326
euler 3d,euclid,,39723811.0,1360
euler 3d,euclid,,40707457.0,1394
euler 3d,euclid,,41708032.0,1428
euler 3d,euclid,,42750803.0,1462
euler 3d,euclid,,43606625.0,1496
euler 3d,euclid,,44987562.0,1530
euler 3d,euclid,,45726270.0,1564
euler 3d,euclid,,46653183.0,1598
euler 3d,euclid,,47622377.0,1632
euler 3d,euclid,,49077373.0,1666
euler 3d,euclid,,49555008.0,1700
euler 3d,euclid,,50634391.0,1734
euler 3d,euclid,,51587943.0,1768
euler 3d,euclid,,52564281.0,1802
euler 3d,euclid,,53614574.0,1836
euler 3d,euclid,,54593744.0,1870
euler 3d,euclid,,55497606.0,1904
euler 3d,euclid,,56565804.0,1938
euler 3d,euclid,,57525418.0,1972
euler 3d,euclid,,58493316.0,2006
euler 3d,euclid,,60203382.0,2040
euler 3d,euclid,,60533784.0,2074
euler 3d,euclid,,61613579.0,2108
euler 3d,euclid,,62548626.0,2142
euler 3d,euclid,,63412552.0,2176
euler 3d,euclid,,64514564.0,2210
euler 3d,euclid,,65486030.0,2244
euler 3d,euclid,,66407303.0,2278
euler 3d,euclid,,67470172.0,2312
euler 3d,euclid,,68588756.0,2346
euler 3d,euclid,,69823909.0,2380
euler 3d,euclid,,70447855.0,2414
euler 3d,euclid,,71645511.0,2448
euler 3d,euclid,,72339885.0,2482
euler 3d,euclid,,73438055.0,2516
euler 3d,euclid,,74507384.0,2550
euler 3d,euclid,,75601787.0,2584
euler 3d,euclid,,76403777.0,2618
euler 3d,euclid,,77693630.0,2652
euler 3d,euclid,,78395248.0,2686
euler 3d,euclid,,79399511.0,2720
euler 3d,euclid,,80443138.0,2754
euler 3d,euclid,,81321349.0,2788
euler 3d,euclid,,82737803.0,2822
euler 3d,euclid,,83496530.0,2856
euler 3d,euclid,,84664373.0,2890
euler 3d,euclid,,85296731.0,2924
euler 3d,euclid,,86311870.0,2958
euler 3d,euclid,,87351065.0,2992
euler 3d,euclid,,88356763.0,3026
euler 3d,euclid,,89255622.0,3060
euler 3d,euclid,,90288653.0,3094
euler 3d,euclid,,91965767.0,3128
euler 3d,euclid,,92269833.0,3162
euler 3d,euclid,,93231330.0,3196
euler 3d,euclid,,94234173.0,3230
euler 3d,euclid,,95223893.0,3264
euler 3d,euclid,,96221030.0,3298
euler 3d,euclid,,97567891.0,3332
euler 3d,euclid,,98453010.0,3366
euler 3d,euclid,,99531823.0,3400
