group,function,value,sample_time_nanos,iteration_count
mat2 determinant,cgmath,,945184.0,897863
mat2 determinant,cgmath,,1890560.0,1795726
mat2 determinant,cgmath,,2840355.0,2693589
mat2 determinant,cgmath,,3762440.0,3591452
mat2 determinant,cgmath,,5806713.0,4489315
mat2 determinant,cgmath,,5678869.0,5387178
mat2 determinant,cgmath,,7107059.0,6285041
mat2 determinant,cgmath,,7956947.0,7182904
mat2 determinant,cgmath,,8539391.0,8080767
mat2 determinant,cgmath,,9450484.0,8978630
mat2 determinant,cgmath,,10404418.0,9876493
mat2 determinant,cgmath,,11349666.0,10774356
mat2 determinant,cgmath,,12413723.0,11672219
mat2 determinant,cgmath,,13886847.0,12570082
mat2 determinant,cgmath,,14263963.0,13467945
mat2 determinant,cgmath,,15117550.0,14365808
mat2 determinant,cgmath,,16105614.0,15263671
mat2 determinant,cgmath,,17055568.0,16161534
mat2 determinant,cgmath,,18003351.0,17059397
mat2 determinant,cgmath,,18945869.0,17957260
mat2 determinant,cgmath,,19892965.0,18855123
mat2 determinant,cgmath,,20792966.0,19752986
mat2 determinant,cgmath,,21779821.0,20650849
mat2 determinant,cgmath,,22782535.0,21548712
mat2 determinant,cgmath,,23650422.0,22446575
mat2 determinant,cgmath,,24650149.0,23344438
mat2 determinant,cgmath,,25531377.0,24242301
mat2 determinant,cgmath,,26480918.0,25140164
mat2 determinant,cgmath,,27406151.0,26038027
mat2 determinant,cgmath,,28398580.0,26935890
mat2 determinant,cgmath,,29264399.0,27833753
mat2 determinant,cgmath,,30231611.0,28731616
mat2 determinant,cgmath,,31231835.0,29629479
mat2 determinant,cgmath,,32180236.0,30527342
mat2 determinant,cgmath,,33130646.0,31425205
mat2 determinant,cgmath,,34086171.0,32323068
mat2 determinant,cgmath,,35180859.0,33220931
mat2 determinant,cgmath,,36684439.0,34118794
mat2 determinant,cgmath,,36885663.0,35016657
mat2 determinant,cgmath,,37859893.0,35914520
mat2 determinant,cgmath,,38836045.0,36812383
mat2 determinant,cgmath,,39709536.0,37710246
mat2 determinant,cgmath,,40741198.0,38608109
mat2 determinant,cgmath,,41668873.0,39505972
mat2 determinant,cgmath,,42669362.0,40403835
mat2 determinant,cgmath,,43530987.0,41301698
mat2 determinant,cgmath,,44507895.0,42199561
mat2 determinant,cgmath,,45515088.0,43097424
mat2 determinant,cgmath,,46418437.0,43995287
mat2 determinant,cgmath,,47282081.0,44893150
mat2 determinant,cgmath,,48234608.0,45791013
mat2 determinant,cgmath,,49861572.0,46688876
mat2 determinant,cgmath,,50133761.0,47586739
mat2 determinant,cgmath,,51079263.0,48484602
mat2 determinant,cgmath,,52187171.0,49382465
mat2 determinant,cgmath,,53034890.0,50280328
mat2 determinant,cgmath,,54225224.0,51178191
mat2 determinant,cgmath,,55066252.0,52076054
mat2 determinant,cgmath,,55853972.0,52973917
mat2 determinant,cgmath,,56832441.0,53871780
mat2 determinant,cgmath,,57679509.0,54769643
mat2 determinant,cgmath,,58591955.0,55667506
mat2 determinant,cgmath,,60214937.0,56565369
mat2 determinant,cgmath,,60563270.0,57463232
mat2 determinant,cgmath,,61555971.0,58361095
mat2 determinant,cgmath,,62496020.0,59258958
mat2 determinant,cgmath,,63486829.0,60156821
mat2 determinant,cgmath,,64332390.0,61054684
mat2 determinant,cgmath,,65477911.0,61952547
mat2 determinant,cgmath,,66301136.0,62850410
mat2 determinant,cgmath,,67225920.0,63748273
mat2 determinant,cgmath,,68833157.0,64646136
mat2 determinant,cgmath,,69071885.0,65543999
mat2 determinant,cgmath,,70037965.0,66441862
mat2 determinant,cgmath,,70960805.0,67339725
mat2 determinant,cgmath,,71962379.0,68237588
mat2 determinant,cgmath,,72812374.0,69135451
mat2 determinant,cgmath,,73808672.0,70033314
mat2 determinant,cgmath,,74754274.0,70931177
mat2 determinant,cgmath,,75815372.0,71829040
mat2 determinant,cgmath,,77271082.0,72726903
mat2 determinant,cgmath,,77576310.0,73624766
mat2 determinant,cgmath,,78447736.0,74522629
mat2 determinant,cgmath,,79509741.0,75420492
mat2 determinant,cgmath,,80459421.0,76318355
mat2 determinant,cgmath,,81425621.0,77216218
mat2 determinant,cgmath,,82331670.0,78114081
mat2 determinant,cgmath,,84015917.0,79011944
mat2 determinant,cgmath,,84274339.0,79909807
mat2 determinant,cgmath,,85235542.0,80807670
mat2 determinant,cgmath,,86247175.0,81705533
mat2 determinant,cgmath,,87037740.0,82603396
mat2 determinant,cgmath,,87980523.0,83501259
mat2 determinant,cgmath,,88940085.0,84399122
mat2 determinant,cgmath,,90756663.0,85296985
mat2 determinant,cgmath,,90877600.0,86194848
mat2 determinant,cgmath,,91849616.0,87092711
mat2 determinant,cgmath,,92700423.0,87990574
mat2 determinant,cgmath,,93909145.0,88888437
mat2 determinant,cgmath,,94707306.0,89786300
