group,function,value,sample_time_nanos,iteration_count
mat2 inverse,cgmath,,976720.0,370706
mat2 inverse,cgmath,,1955515.0,741412
mat2 inverse,cgmath,,2927707.0,1112118
mat2 inverse,cgmath,,3924533.0,1482824
mat2 inverse,cgmath,,6182228.0,1853530
mat2 inverse,cgmath,,5860582.0,2224236
mat2 inverse,cgmath,,8094518.0,2594942
mat2 inverse,cgmath,,7970968.0,2965648
mat2 inverse,cgmath,,9339824.0,3336354
mat2 inverse,cgmath,,10413454.0,3707060
mat2 inverse,cgmath,,11356304.0,4077766
mat2 inverse,cgmath,,11727266.0,4448472
mat2 inverse,cgmath,,12756806.0,4819178
mat2 inverse,cgmath,,13661613.0,5189884
mat2 inverse,cgmath,,14886886.0,5560590
mat2 inverse,cgmath,,15829482.0,5931296
mat2 inverse,cgmath,,17114242.0,6302002
mat2 inverse,cgmath,,18608744.0,6672708
mat2 inverse,cgmath,,18941453.0,7043414
mat2 inverse,cgmath,,19724079.0,7414120
mat2 inverse,cgmath,,20696432.0,7784826
mat2 inverse,cgmath,,21658586.0,8155532
mat2 inverse,cgmath,,22807342.0,8526238
mat2 inverse,cgmath,,23784878.0,8896944
mat2 inverse,cgmath,,24739537.0,9267650
mat2 inverse,cgmath,,25641978.0,9638356
mat2 inverse,cgmath,,26461397.0,10009062
mat2 inverse,cgmath,,27350089.0,10379768
mat2 inverse,cgmath,,28490414.0,10750474
mat2 inverse,cgmath,,29812219.0,11121180
mat2 inverse,cgmath,,30464720.0,11491886
mat2 inverse,cgmath,,31285374.0,11862592
mat2 inverse,cgmath,,32527333.0,12233298
mat2 inverse,cgmath,,33416608.0,12604004
mat2 inverse,cgmath,,35051904.0,12974710
mat2 inverse,cgmath,,36238438.0,13345416
mat2 inverse,cgmath,,36623596.0,13716122
mat2 inverse,cgmath,,37724369.0,14086828
mat2 inverse,cgmath,,38963281.0,14457534
mat2 inverse,cgmath,,40340217.0,14828240
mat2 inverse,cgmath,,40703038.0,15198946
mat2 inverse,cgmath,,41355869.0,15569652
mat2 inverse,cgmath,,42221651.0,15940358
mat2 inverse,cgmath,,44878650.0,16311064
mat2 inverse,cgmath,,44340333.0,16681770
mat2 inverse,cgmath,,45526541.0,17052476
mat2 inverse,cgmath,,46027907.0,17423182
mat2 inverse,cgmath,,47175645.0,17793888
mat2 inverse,cgmath,,49140087.0,18164594
mat2 inverse,cgmath,,49496546.0,18535300
mat2 inverse,cgmath,,50822150.0,18906006
mat2 inverse,cgmath,,51113896.0,19276712
mat2 inverse,cgmath,,52046382.0,19647418
mat2 inverse,cgmath,,53710506.0,20018124
mat2 inverse,cgmath,,54146341.0,20388830
mat2 inverse,cgmath,,55046980.0,20759536
mat2 inverse,cgmath,,56750441.0,21130242
mat2 inverse,cgmath,,57191500.0,21500948
mat2 inverse,cgmath,,58235495.0,21871654
mat2 inverse,cgmath,,60491566.0,22242360
mat2 inverse,cgmath,,60301707.0,22613066
mat2 inverse,cgmath,,60596243.0,22983772
mat2 inverse,cgmath,,62675499.0,23354478
mat2 inverse,cgmath,,63128176.0,23725184
mat2 inverse,cgmath,,63805603.0,24095890
mat2 inverse,cgmath,,65460182.0,24466596
mat2 inverse,cgmath,,66789544.0,24837302
mat2 inverse,cgmath,,68290264.0,25208008
mat2 inverse,cgmath,,67923187.0,25578714
mat2 inverse,cgmath,,70232007.0,25949420
mat2 inverse,cgmath,,70146333.0,26320126
mat2 inverse,cgmath,,71866247.0,26690832
mat2 inverse,cgmath,,71530033.0,27061538
mat2 inverse,cgmath,,72916841.0,27432244
mat2 inverse,cgmath,,74035327.0,27802950
mat2 inverse,cgmath,,75098938.0,28173656
mat2 inverse,cgmath,,76517733.0,28544362
mat2 inverse,cgmath,,79069046.0,28915068
mat2 inverse,cgmath,,77854284.0,29285774
mat2 inverse,cgmath,,79438559.0,29656480
mat2 inverse,cgmath,,80691765.0,30027186
mat2 inverse,cgmath,,84366854.0,30397892
mat2 inverse,cgmath,,82757394.0,30768598
mat2 inverse,cgmath,,82276378.0,31139304
mat2 inverse,cgmath,,84285401.0,31510010
mat2 inverse,cgmath,,84447877.0,31880716
mat2 inverse,cgmath,,86064273.0,32251422
mat2 inverse,cgmath,,87059495.0,32622128
mat2 inverse,cgmath,,86982023.0,32992834
mat2 inverse,cgmath,,89467083.0,33363540
mat2 inverse,cgmath,,91835803.0,33734246
mat2 inverse,cgmath,,93314712.0,34104952
mat2 inverse,cgmath,,92678490.0,34475658
mat2 inverse,cgmath,,93321154.0,34846364
mat2 inverse,cgmath,,93411418.0,35217070
mat2 inverse,cgmath,,94646772.0,35587776
mat2 inverse,cgmath,,96015444.0,35958482
mat2 inverse,cgmath,,96875037.0,36329188
mat2 inverse,cgmath,,98251285.0,36699894
mat2 inverse,cgmath,,101037253.0,37070600
