group,function,value,sample_time_nanos,iteration_count
mat2 inverse,glam,,986907.0,486586
mat2 inverse,glam,,1979236.0,973172
mat2 inverse,glam,,2960715.0,1459758
mat2 inverse,glam,,4061000.0,1946344
mat2 inverse,glam,,5048461.0,2432930
mat2 inverse,glam,,5930121.0,2919516
mat2 inverse,glam,,7081527.0,3406102
mat2 inverse,glam,,7927872.0,3892688
mat2 inverse,glam,,9234369.0,4379274
mat2 inverse,glam,,9967060.0,4865860
mat2 inverse,glam,,10906161.0,5352446
mat2 inverse,glam,,11924027.0,5839032
mat2 inverse,glam,,12876585.0,6325618
mat2 inverse,glam,,13856895.0,6812204
mat2 inverse,glam,,14842610.0,7298790
mat2 inverse,glam,,15835883.0,7785376
mat2 inverse,glam,,16837154.0,8271962
mat2 inverse,glam,,17824335.0,8758548
mat2 inverse,glam,,19041822.0,9245134
mat2 inverse,glam,,19866742.0,9731720
mat2 inverse,glam,,20880958.0,10218306
mat2 inverse,glam,,21868840.0,10704892
mat2 inverse,glam,,22800652.0,11191478
mat2 inverse,glam,,23815396.0,11678064
mat2 inverse,glam,,24771456.0,12164650
mat2 inverse,glam,,25764104.0,12651236
mat2 inverse,glam,,26750071.0,13137822
mat2 inverse,glam,,27767402.0,13624408
mat2 inverse,glam,,28765129.0,14110994
mat2 inverse,glam,,30030978.0,14597580
mat2 inverse,glam,,30807896.0,15084166
mat2 inverse,glam,,31683314.0,15570752
mat2 inverse,glam,,32725844.0,16057338
mat2 inverse,glam,,33647393.0,16543924
mat2 inverse,glam,,34688384.0,17030510
mat2 inverse,glam,,35656197.0,17517096
mat2 inverse,glam,,36670235.0,18003682
mat2 inverse,glam,,37642538.0,18490268
mat2 inverse,glam,,38653205.0,18976854
mat2 inverse,glam,,39699009.0,19463440
mat2 inverse,glam,,40653787.0,19950026
mat2 inverse,glam,,41680750.0,20436612
mat2 inverse,glam,,42585254.0,20923198
mat2 inverse,glam,,43720750.0,21409784
mat2 inverse,glam,,44722371.0,21896370
mat2 inverse,glam,,46014237.0,22382956
mat2 inverse,glam,,46607400.0,22869542
mat2 inverse,glam,,47530576.0,23356128
mat2 inverse,glam,,48587312.0,23842714
mat2 inverse,glam,,49547297.0,24329300
mat2 inverse,glam,,50554979.0,24815886
mat2 inverse,glam,,51572811.0,25302472
mat2 inverse,glam,,52527556.0,25789058
mat2 inverse,glam,,53531885.0,26275644
mat2 inverse,glam,,54523915.0,26762230
mat2 inverse,glam,,55491898.0,27248816
mat2 inverse,glam,,56511232.0,27735402
mat2 inverse,glam,,57838688.0,28221988
mat2 inverse,glam,,58433938.0,28708574
mat2 inverse,glam,,59733383.0,29195160
mat2 inverse,glam,,60480372.0,29681746
mat2 inverse,glam,,61410950.0,30168332
mat2 inverse,glam,,62410478.0,30654918
mat2 inverse,glam,,63517393.0,31141504
mat2 inverse,glam,,64478990.0,31628090
mat2 inverse,glam,,65417587.0,32114676
mat2 inverse,glam,,66728076.0,32601262
mat2 inverse,glam,,67423385.0,33087848
mat2 inverse,glam,,68385979.0,33574434
mat2 inverse,glam,,69361649.0,34061020
mat2 inverse,glam,,70365480.0,34547606
mat2 inverse,glam,,71573155.0,35034192
mat2 inverse,glam,,72374986.0,35520778
mat2 inverse,glam,,73373695.0,36007364
mat2 inverse,glam,,74275215.0,36493950
mat2 inverse,glam,,75748470.0,36980536
mat2 inverse,glam,,76234607.0,37467122
mat2 inverse,glam,,77299441.0,37953708
mat2 inverse,glam,,78311181.0,38440294
mat2 inverse,glam,,79301791.0,38926880
mat2 inverse,glam,,80261287.0,39413466
mat2 inverse,glam,,81505542.0,39900052
mat2 inverse,glam,,82794507.0,40386638
mat2 inverse,glam,,83300993.0,40873224
mat2 inverse,glam,,84238389.0,41359810
mat2 inverse,glam,,85203785.0,41846396
mat2 inverse,glam,,86237992.0,42332982
mat2 inverse,glam,,87237099.0,42819568
mat2 inverse,glam,,88174623.0,43306154
mat2 inverse,glam,,89685750.0,43792740
mat2 inverse,glam,,90160603.0,44279326
mat2 inverse,glam,,91399051.0,44765912
mat2 inverse,glam,,93009924.0,45252498
mat2 inverse,glam,,93238090.0,45739084
mat2 inverse,glam,,94104734.0,46225670
mat2 inverse,glam,,95154056.0,46712256
mat2 inverse,glam,,96472235.0,47198842
mat2 inverse,glam,,97146990.0,47685428
mat2 inverse,glam,,98133777.0,48172014
mat2 inverse,glam,,99293058.0,48658600
