group,function,value,sample_time_nanos,iteration_count
mat2 inverse,nalgebra,,892793.0,340450
mat2 inverse,nalgebra,,1784821.0,680900
mat2 inverse,nalgebra,,2678504.0,1021350
mat2 inverse,nalgebra,,3570979.0,1361800
mat2 inverse,nalgebra,,4878581.0,1702250
mat2 inverse,nalgebra,,5850231.0,2042700
mat2 inverse,nalgebra,,6490406.0,2383150
mat2 inverse,nalgebra,,7916270.0,2723600
mat2 inverse,nalgebra,,8745796.0,3064050
mat2 inverse,nalgebra,,9801504.0,3404500
mat2 inverse,nalgebra,,10506901.0,3744950
mat2 inverse,nalgebra,,10713876.0,4085400
mat2 inverse,nalgebra,,12373954.0,4425850
mat2 inverse,nalgebra,,13451070.0,4766300
mat2 inverse,nalgebra,,13718598.0,5106750
mat2 inverse,nalgebra,,14657435.0,5447200
mat2 inverse,nalgebra,,15339866.0,5787650
mat2 inverse,nalgebra,,16616641.0,6128100
mat2 inverse,nalgebra,,17124444.0,6468550
mat2 inverse,nalgebra,,17902769.0,6809000
mat2 inverse,nalgebra,,19669345.0,7149450
mat2 inverse,nalgebra,,19810536.0,7489900
mat2 inverse,nalgebra,,21958768.0,7830350
mat2 inverse,nalgebra,,21440738.0,8170800
mat2 inverse,nalgebra,,23166907.0,8511250
mat2 inverse,nalgebra,,23599401.0,8851700
mat2 inverse,nalgebra,,24773092.0,9192150
mat2 inverse,nalgebra,,25295899.0,9532600
mat2 inverse,nalgebra,,26201549.0,9873050
mat2 inverse,nalgebra,,28082103.0,10213500
mat2 inverse,nalgebra,,29218648.0,10553950
mat2 inverse,nalgebra,,28635273.0,10894400
mat2 inverse,nalgebra,,31341856.0,11234850
mat2 inverse,nalgebra,,31281950.0,11575300
mat2 inverse,nalgebra,,32158671.0,11915750
mat2 inverse,nalgebra,,33731075.0,12256200
mat2 inverse,nalgebra,,34392390.0,12596650
mat2 inverse,nalgebra,,34898675.0,12937100
mat2 inverse,nalgebra,,35964293.0,13277550
mat2 inverse,nalgebra,,36499331.0,13618000
mat2 inverse,nalgebra,,37172095.0,13958450
mat2 inverse,nalgebra,,39142394.0,14298900
mat2 inverse,nalgebra,,38702411.0,14639350
mat2 inverse,nalgebra,,40172001.0,14979800
mat2 inverse,nalgebra,,40429492.0,15320250
mat2 inverse,nalgebra,,41949073.0,15660700
mat2 inverse,nalgebra,,42241910.0,16001150
mat2 inverse,nalgebra,,43084816.0,16341600
mat2 inverse,nalgebra,,44758251.0,16682050
mat2 inverse,nalgebra,,45028678.0,17022500
mat2 inverse,nalgebra,,47489777.0,17362950
mat2 inverse,nalgebra,,48169343.0,17703400
mat2 inverse,nalgebra,,48022230.0,18043850
mat2 inverse,nalgebra,,48406756.0,18384300
mat2 inverse,nalgebra,,49667463.0,18724750
mat2 inverse,nalgebra,,50654118.0,19065200
mat2 inverse,nalgebra,,52270900.0,19405650
mat2 inverse,nalgebra,,64185905.0,19746100
mat2 inverse,nalgebra,,89676637.0,20086550
mat2 inverse,nalgebra,,91239861.0,20427000
mat2 inverse,nalgebra,,93050465.0,20767450
mat2 inverse,nalgebra,,94164555.0,21107900
mat2 inverse,nalgebra,,95913610.0,21448350
mat2 inverse,nalgebra,,97296613.0,21788800
mat2 inverse,nalgebra,,98833191.0,22129250
mat2 inverse,nalgebra,,100277116.0,22469700
mat2 inverse,nalgebra,,102173761.0,22810150
mat2 inverse,nalgebra,,103397681.0,23150600
mat2 inverse,nalgebra,,104859628.0,23491050
mat2 inverse,nalgebra,,106413025.0,23831500
mat2 inverse,nalgebra,,69248085.0,24171950
mat2 inverse,nalgebra,,65220636.0,24512400
mat2 inverse,nalgebra,,65549673.0,24852850
mat2 inverse,nalgebra,,69395909.0,25193300
mat2 inverse,nalgebra,,67635400.0,25533750
mat2 inverse,nalgebra,,69057226.0,25874200
mat2 inverse,nalgebra,,69997899.0,26214650
mat2 inverse,nalgebra,,71376345.0,26555100
mat2 inverse,nalgebra,,72878718.0,26895550
mat2 inverse,nalgebra,,72730112.0,27236000
mat2 inverse,nalgebra,,73626076.0,27576450
mat2 inverse,nalgebra,,74190137.0,27916900
mat2 inverse,nalgebra,,77248122.0,28257350
mat2 inverse,nalgebra,,78703233.0,28597800
mat2 inverse,nalgebra,,79004488.0,28938250
mat2 inverse,nalgebra,,79581782.0,29278700
mat2 inverse,nalgebra,,79786966.0,29619150
mat2 inverse,nalgebra,,81177786.0,29959600
mat2 inverse,nalgebra,,83824767.0,30300050
mat2 inverse,nalgebra,,84900386.0,30640500
mat2 inverse,nalgebra,,82847813.0,30980950
mat2 inverse,nalgebra,,85748199.0,31321400
mat2 inverse,nalgebra,,84673156.0,31661850
mat2 inverse,nalgebra,,86023406.0,32002300
mat2 inverse,nalgebra,,86654791.0,32342750
mat2 inverse,nalgebra,,98837119.0,32683200
mat2 inverse,nalgebra,,147839528.0,33023650
mat2 inverse,nalgebra,,148926617.0,33364100
mat2 inverse,nalgebra,,150572089.0,33704550
mat2 inverse,nalgebra,,152075669.0,34045000
