group,function,value,sample_time_nanos,iteration_count
mat2 mul mat2,cgmath,,7765.0,2524
mat2 mul mat2,cgmath,,15454.0,5048
mat2 mul mat2,cgmath,,23234.0,7572
mat2 mul mat2,cgmath,,30945.0,10096
mat2 mul mat2,cgmath,,38629.0,12620
mat2 mul mat2,cgmath,,46355.0,15144
mat2 mul mat2,cgmath,,55511.0,17668
mat2 mul mat2,cgmath,,61877.0,20192
mat2 mul mat2,cgmath,,69561.0,22716
mat2 mul mat2,cgmath,,77286.0,25240
mat2 mul mat2,cgmath,,84989.0,27764
mat2 mul mat2,cgmath,,92717.0,30288
mat2 mul mat2,cgmath,,101752.0,32812
mat2 mul mat2,cgmath,,108171.0,35336
mat2 mul mat2,cgmath,,115932.0,37860
mat2 mul mat2,cgmath,,123645.0,40384
mat2 mul mat2,cgmath,,131352.0,42908
mat2 mul mat2,cgmath,,139124.0,45432
mat2 mul mat2,cgmath,,146806.0,47956
mat2 mul mat2,cgmath,,154573.0,50480
mat2 mul mat2,cgmath,,172590.0,53004
mat2 mul mat2,cgmath,,169960.0,55528
mat2 mul mat2,cgmath,,177719.0,58052
mat2 mul mat2,cgmath,,185425.0,60576
mat2 mul mat2,cgmath,,194672.0,63100
mat2 mul mat2,cgmath,,200919.0,65624
mat2 mul mat2,cgmath,,208011.0,68148
mat2 mul mat2,cgmath,,215810.0,70672
mat2 mul mat2,cgmath,,223994.0,73196
mat2 mul mat2,cgmath,,231748.0,75720
mat2 mul mat2,cgmath,,239578.0,78244
mat2 mul mat2,cgmath,,247278.0,80768
mat2 mul mat2,cgmath,,254890.0,83292
mat2 mul mat2,cgmath,,262742.0,85816
mat2 mul mat2,cgmath,,270430.0,88340
mat2 mul mat2,cgmath,,278120.0,90864
mat2 mul mat2,cgmath,,285842.0,93388
mat2 mul mat2,cgmath,,292961.0,95912
mat2 mul mat2,cgmath,,301300.0,98436
mat2 mul mat2,cgmath,,308993.0,100960
mat2 mul mat2,cgmath,,316704.0,103484
mat2 mul mat2,cgmath,,323620.0,106008
mat2 mul mat2,cgmath,,333618.0,108532
mat2 mul mat2,cgmath,,339886.0,111056
mat2 mul mat2,cgmath,,348386.0,113580
mat2 mul mat2,cgmath,,354550.0,116104
mat2 mul mat2,cgmath,,371376.0,118628
mat2 mul mat2,cgmath,,370804.0,121152
mat2 mul mat2,cgmath,,377636.0,123676
mat2 mul mat2,cgmath,,386301.0,126200
mat2 mul mat2,cgmath,,392988.0,128724
mat2 mul mat2,cgmath,,400728.0,131248
mat2 mul mat2,cgmath,,428327.0,133772
mat2 mul mat2,cgmath,,417092.0,136296
mat2 mul mat2,cgmath,,423964.0,138820
mat2 mul mat2,cgmath,,433239.0,141344
mat2 mul mat2,cgmath,,439303.0,143868
mat2 mul mat2,cgmath,,448066.0,146392
mat2 mul mat2,cgmath,,454596.0,148916
mat2 mul mat2,cgmath,,484656.0,151440
mat2 mul mat2,cgmath,,470096.0,153964
mat2 mul mat2,cgmath,,478938.0,156488
mat2 mul mat2,cgmath,,485580.0,159012
mat2 mul mat2,cgmath,,514662.0,161536
mat2 mul mat2,cgmath,,520866.0,164060
mat2 mul mat2,cgmath,,508717.0,166584
mat2 mul mat2,cgmath,,518586.0,169108
mat2 mul mat2,cgmath,,525253.0,171632
mat2 mul mat2,cgmath,,534503.0,174156
mat2 mul mat2,cgmath,,539539.0,176680
mat2 mul mat2,cgmath,,548449.0,179204
mat2 mul mat2,cgmath,,556152.0,181728
mat2 mul mat2,cgmath,,562690.0,184252
mat2 mul mat2,cgmath,,572618.0,186776
mat2 mul mat2,cgmath,,578161.0,189300
mat2 mul mat2,cgmath,,585762.0,191824
mat2 mul mat2,cgmath,,615005.0,194348
mat2 mul mat2,cgmath,,602503.0,196872
mat2 mul mat2,cgmath,,608908.0,199396
mat2 mul mat2,cgmath,,616561.0,201920
mat2 mul mat2,cgmath,,624216.0,204444
mat2 mul mat2,cgmath,,631959.0,206968
mat2 mul mat2,cgmath,,641705.0,209492
mat2 mul mat2,cgmath,,648868.0,212016
mat2 mul mat2,cgmath,,654944.0,214540
mat2 mul mat2,cgmath,,662841.0,217064
mat2 mul mat2,cgmath,,672016.0,219588
mat2 mul mat2,cgmath,,678264.0,222112
mat2 mul mat2,cgmath,,685935.0,224636
mat2 mul mat2,cgmath,,693550.0,227160
mat2 mul mat2,cgmath,,701342.0,229684
mat2 mul mat2,cgmath,,733139.0,232208
mat2 mul mat2,cgmath,,718238.0,234732
mat2 mul mat2,cgmath,,724324.0,237256
mat2 mul mat2,cgmath,,732108.0,239780
mat2 mul mat2,cgmath,,739803.0,242304
mat2 mul mat2,cgmath,,747512.0,244828
mat2 mul mat2,cgmath,,755220.0,247352
mat2 mul mat2,cgmath,,762949.0,249876
mat2 mul mat2,cgmath,,772114.0,252400
