group,function,value,sample_time_nanos,iteration_count
mat2 transpose,cgmath,,983080.0,737136
mat2 transpose,cgmath,,1968404.0,1474272
mat2 transpose,cgmath,,2949254.0,2211408
mat2 transpose,cgmath,,3990641.0,2948544
mat2 transpose,cgmath,,5125671.0,3685680
mat2 transpose,cgmath,,5900084.0,4422816
mat2 transpose,cgmath,,7235866.0,5159952
mat2 transpose,cgmath,,8198615.0,5897088
mat2 transpose,cgmath,,9152984.0,6634224
mat2 transpose,cgmath,,10168166.0,7371360
mat2 transpose,cgmath,,11157152.0,8108496
mat2 transpose,cgmath,,11963678.0,8845632
mat2 transpose,cgmath,,12804761.0,9582768
mat2 transpose,cgmath,,13770065.0,10319904
mat2 transpose,cgmath,,14795567.0,11057040
mat2 transpose,cgmath,,15778744.0,11794176
mat2 transpose,cgmath,,16838734.0,12531312
mat2 transpose,cgmath,,18242742.0,13268448
mat2 transpose,cgmath,,18830367.0,14005584
mat2 transpose,cgmath,,19712355.0,14742720
mat2 transpose,cgmath,,20674792.0,15479856
mat2 transpose,cgmath,,21798320.0,16216992
mat2 transpose,cgmath,,22662275.0,16954128
mat2 transpose,cgmath,,23728381.0,17691264
mat2 transpose,cgmath,,24651756.0,18428400
mat2 transpose,cgmath,,25656899.0,19165536
mat2 transpose,cgmath,,26589960.0,19902672
mat2 transpose,cgmath,,27578835.0,20639808
mat2 transpose,cgmath,,28566006.0,21376944
mat2 transpose,cgmath,,29584751.0,22114080
mat2 transpose,cgmath,,30571826.0,22851216
mat2 transpose,cgmath,,31534256.0,23588352
mat2 transpose,cgmath,,32534808.0,24325488
mat2 transpose,cgmath,,33481849.0,25062624
mat2 transpose,cgmath,,34556660.0,25799760
mat2 transpose,cgmath,,35488470.0,26536896
mat2 transpose,cgmath,,36451778.0,27274032
mat2 transpose,cgmath,,37488084.0,28011168
mat2 transpose,cgmath,,39793499.0,28748304
mat2 transpose,cgmath,,39442052.0,29485440
mat2 transpose,cgmath,,40403336.0,30222576
mat2 transpose,cgmath,,41391631.0,30959712
mat2 transpose,cgmath,,42392311.0,31696848
mat2 transpose,cgmath,,43496066.0,32433984
mat2 transpose,cgmath,,44358131.0,33171120
mat2 transpose,cgmath,,45404354.0,33908256
mat2 transpose,cgmath,,46306733.0,34645392
mat2 transpose,cgmath,,47348447.0,35382528
mat2 transpose,cgmath,,48274663.0,36119664
mat2 transpose,cgmath,,49410264.0,36856800
mat2 transpose,cgmath,,50386626.0,37593936
mat2 transpose,cgmath,,51709086.0,38331072
mat2 transpose,cgmath,,52184622.0,39068208
mat2 transpose,cgmath,,53230186.0,39805344
mat2 transpose,cgmath,,54235335.0,40542480
mat2 transpose,cgmath,,55180650.0,41279616
mat2 transpose,cgmath,,56201451.0,42016752
mat2 transpose,cgmath,,57128985.0,42753888
mat2 transpose,cgmath,,58318603.0,43491024
mat2 transpose,cgmath,,59729176.0,44228160
mat2 transpose,cgmath,,62733565.0,44965296
mat2 transpose,cgmath,,61109403.0,45702432
mat2 transpose,cgmath,,62426173.0,46439568
mat2 transpose,cgmath,,63065756.0,47176704
mat2 transpose,cgmath,,64077921.0,47913840
mat2 transpose,cgmath,,65033496.0,48650976
mat2 transpose,cgmath,,66142355.0,49388112
mat2 transpose,cgmath,,67141107.0,50125248
mat2 transpose,cgmath,,67980714.0,50862384
mat2 transpose,cgmath,,68968605.0,51599520
mat2 transpose,cgmath,,70034931.0,52336656
mat2 transpose,cgmath,,71629986.0,53073792
mat2 transpose,cgmath,,71959611.0,53810928
mat2 transpose,cgmath,,73628151.0,54548064
mat2 transpose,cgmath,,73921374.0,55285200
mat2 transpose,cgmath,,74913875.0,56022336
mat2 transpose,cgmath,,75887055.0,56759472
mat2 transpose,cgmath,,76862281.0,57496608
mat2 transpose,cgmath,,77863620.0,58233744
mat2 transpose,cgmath,,79320528.0,58970880
mat2 transpose,cgmath,,79974063.0,59708016
mat2 transpose,cgmath,,80981100.0,60445152
mat2 transpose,cgmath,,81853669.0,61182288
mat2 transpose,cgmath,,82866476.0,61919424
mat2 transpose,cgmath,,83800594.0,62656560
mat2 transpose,cgmath,,84768554.0,63393696
mat2 transpose,cgmath,,86452602.0,64130832
mat2 transpose,cgmath,,86755424.0,64867968
mat2 transpose,cgmath,,87706194.0,65605104
mat2 transpose,cgmath,,88659124.0,66342240
mat2 transpose,cgmath,,89730114.0,67079376
mat2 transpose,cgmath,,90893532.0,67816512
mat2 transpose,cgmath,,91818715.0,68553648
mat2 transpose,cgmath,,92616436.0,69290784
mat2 transpose,cgmath,,93753890.0,70027920
mat2 transpose,cgmath,,94602015.0,70765056
mat2 transpose,cgmath,,95679840.0,71502192
mat2 transpose,cgmath,,96670089.0,72239328
mat2 transpose,cgmath,,97579075.0,72976464
mat2 transpose,cgmath,,98742971.0,73713600
