group,function,value,sample_time_nanos,iteration_count
mat2 transpose,nalgebra,,1049155.0,532906
mat2 transpose,nalgebra,,2095678.0,1065812
mat2 transpose,nalgebra,,3144472.0,1598718
mat2 transpose,nalgebra,,4372111.0,2131624
mat2 transpose,nalgebra,,4885897.0,2664530
mat2 transpose,nalgebra,,5796705.0,3197436
mat2 transpose,nalgebra,,7083682.0,3730342
mat2 transpose,nalgebra,,7794689.0,4263248
mat2 transpose,nalgebra,,8739027.0,4796154
mat2 transpose,nalgebra,,9771675.0,5329060
mat2 transpose,nalgebra,,10689786.0,5861966
mat2 transpose,nalgebra,,11634499.0,6394872
mat2 transpose,nalgebra,,12563023.0,6927778
mat2 transpose,nalgebra,,13540505.0,7460684
mat2 transpose,nalgebra,,14514467.0,7993590
mat2 transpose,nalgebra,,15483316.0,8526496
mat2 transpose,nalgebra,,16524068.0,9059402
mat2 transpose,nalgebra,,17719293.0,9592308
mat2 transpose,nalgebra,,18445154.0,10125214
mat2 transpose,nalgebra,,19384138.0,10658120
mat2 transpose,nalgebra,,20336393.0,11191026
mat2 transpose,nalgebra,,21299989.0,11723932
mat2 transpose,nalgebra,,22306462.0,12256838
mat2 transpose,nalgebra,,23211793.0,12789744
mat2 transpose,nalgebra,,24362875.0,13322650
mat2 transpose,nalgebra,,25202688.0,13855556
mat2 transpose,nalgebra,,26173952.0,14388462
mat2 transpose,nalgebra,,27097021.0,14921368
mat2 transpose,nalgebra,,28060496.0,15454274
mat2 transpose,nalgebra,,29150476.0,15987180
mat2 transpose,nalgebra,,30036472.0,16520086
mat2 transpose,nalgebra,,30960864.0,17052992
mat2 transpose,nalgebra,,32126078.0,17585898
mat2 transpose,nalgebra,,32931699.0,18118804
mat2 transpose,nalgebra,,33876558.0,18651710
mat2 transpose,nalgebra,,34844564.0,19184616
mat2 transpose,nalgebra,,35846799.0,19717522
mat2 transpose,nalgebra,,36764704.0,20250428
mat2 transpose,nalgebra,,38039214.0,20783334
mat2 transpose,nalgebra,,38807449.0,21316240
mat2 transpose,nalgebra,,39679099.0,21849146
mat2 transpose,nalgebra,,40700673.0,22382052
mat2 transpose,nalgebra,,41652752.0,22914958
mat2 transpose,nalgebra,,42620746.0,23447864
mat2 transpose,nalgebra,,43664151.0,23980770
mat2 transpose,nalgebra,,44611577.0,24513676
mat2 transpose,nalgebra,,45514729.0,25046582
mat2 transpose,nalgebra,,46645695.0,25579488
mat2 transpose,nalgebra,,47452595.0,26112394
mat2 transpose,nalgebra,,48413074.0,26645300
mat2 transpose,nalgebra,,49398566.0,27178206
mat2 transpose,nalgebra,,50325383.0,27711112
mat2 transpose,nalgebra,,51666723.0,28244018
mat2 transpose,nalgebra,,52279883.0,28776924
mat2 transpose,nalgebra,,53241716.0,29309830
mat2 transpose,nalgebra,,54313235.0,29842736
mat2 transpose,nalgebra,,55221349.0,30375642
mat2 transpose,nalgebra,,56164195.0,30908548
mat2 transpose,nalgebra,,57092343.0,31441454
mat2 transpose,nalgebra,,58092939.0,31974360
mat2 transpose,nalgebra,,59036549.0,32507266
mat2 transpose,nalgebra,,60041910.0,33040172
mat2 transpose,nalgebra,,61475119.0,33573078
mat2 transpose,nalgebra,,62066201.0,34105984
mat2 transpose,nalgebra,,63075183.0,34638890
mat2 transpose,nalgebra,,63852977.0,35171796
mat2 transpose,nalgebra,,64902955.0,35704702
mat2 transpose,nalgebra,,65850387.0,36237608
mat2 transpose,nalgebra,,66770169.0,36770514
mat2 transpose,nalgebra,,67777637.0,37303420
mat2 transpose,nalgebra,,68762948.0,37836326
mat2 transpose,nalgebra,,69981019.0,38369232
mat2 transpose,nalgebra,,70716529.0,38902138
mat2 transpose,nalgebra,,71638516.0,39435044
mat2 transpose,nalgebra,,72802857.0,39967950
mat2 transpose,nalgebra,,73605407.0,40500856
mat2 transpose,nalgebra,,74534138.0,41033762
mat2 transpose,nalgebra,,75588057.0,41566668
mat2 transpose,nalgebra,,76730445.0,42099574
mat2 transpose,nalgebra,,77399026.0,42632480
mat2 transpose,nalgebra,,78804839.0,43165386
mat2 transpose,nalgebra,,79384866.0,43698292
mat2 transpose,nalgebra,,80352121.0,44231198
mat2 transpose,nalgebra,,81487228.0,44764104
mat2 transpose,nalgebra,,82591323.0,45297010
mat2 transpose,nalgebra,,83479836.0,45829916
mat2 transpose,nalgebra,,84349635.0,46362822
mat2 transpose,nalgebra,,85547262.0,46895728
mat2 transpose,nalgebra,,86165301.0,47428634
mat2 transpose,nalgebra,,87167284.0,47961540
mat2 transpose,nalgebra,,88213301.0,48494446
mat2 transpose,nalgebra,,89017238.0,49027352
mat2 transpose,nalgebra,,90062425.0,49560258
mat2 transpose,nalgebra,,91213807.0,50093164
mat2 transpose,nalgebra,,92323904.0,50626070
mat2 transpose,nalgebra,,93079442.0,51158976
mat2 transpose,nalgebra,,93943479.0,51691882
mat2 transpose,nalgebra,,94869886.0,52224788
mat2 transpose,nalgebra,,96039964.0,52757694
mat2 transpose,nalgebra,,96821463.0,53290600
