group,function,value,sample_time_nanos,iteration_count
mat3 mul mat3,glam,,7688.0,1592
mat3 mul mat3,glam,,15371.0,3184
mat3 mul mat3,glam,,22978.0,4776
mat3 mul mat3,glam,,30722.0,6368
mat3 mul mat3,glam,,38371.0,7960
mat3 mul mat3,glam,,46083.0,9552
mat3 mul mat3,glam,,53759.0,11144
mat3 mul mat3,glam,,61410.0,12736
mat3 mul mat3,glam,,69140.0,14328
mat3 mul mat3,glam,,76765.0,15920
mat3 mul mat3,glam,,84439.0,17512
mat3 mul mat3,glam,,92194.0,19104
mat3 mul mat3,glam,,99876.0,20696
mat3 mul mat3,glam,,107448.0,22288
mat3 mul mat3,glam,,115148.0,23880
mat3 mul mat3,glam,,122771.0,25472
mat3 mul mat3,glam,,130509.0,27064
mat3 mul mat3,glam,,138143.0,28656
mat3 mul mat3,glam,,145842.0,30248
mat3 mul mat3,glam,,153470.0,31840
mat3 mul mat3,glam,,161172.0,33432
mat3 mul mat3,glam,,168898.0,35024
mat3 mul mat3,glam,,176518.0,36616
mat3 mul mat3,glam,,184262.0,38208
mat3 mul mat3,glam,,191858.0,39800
mat3 mul mat3,glam,,199449.0,41392
mat3 mul mat3,glam,,207226.0,42984
mat3 mul mat3,glam,,215032.0,44576
mat3 mul mat3,glam,,222579.0,46168
mat3 mul mat3,glam,,230381.0,47760
mat3 mul mat3,glam,,237991.0,49352
mat3 mul mat3,glam,,245537.0,50944
mat3 mul mat3,glam,,254924.0,52536
mat3 mul mat3,glam,,260767.0,54128
mat3 mul mat3,glam,,270435.0,55720
mat3 mul mat3,glam,,276572.0,57312
mat3 mul mat3,glam,,283990.0,58904
mat3 mul mat3,glam,,291636.0,60496
mat3 mul mat3,glam,,299324.0,62088
mat3 mul mat3,glam,,307128.0,63680
mat3 mul mat3,glam,,314613.0,65272
mat3 mul mat3,glam,,322771.0,66864
mat3 mul mat3,glam,,330041.0,68456
mat3 mul mat3,glam,,337865.0,70048
mat3 mul mat3,glam,,345432.0,71640
mat3 mul mat3,glam,,353195.0,73232
mat3 mul mat3,glam,,360751.0,74824
mat3 mul mat3,glam,,368477.0,76416
mat3 mul mat3,glam,,376097.0,78008
mat3 mul mat3,glam,,383686.0,79600
mat3 mul mat3,glam,,391356.0,81192
mat3 mul mat3,glam,,398991.0,82784
mat3 mul mat3,glam,,406818.0,84376
mat3 mul mat3,glam,,414541.0,85968
mat3 mul mat3,glam,,423714.0,87560
mat3 mul mat3,glam,,429811.0,89152
mat3 mul mat3,glam,,437418.0,90744
mat3 mul mat3,glam,,445293.0,92336
mat3 mul mat3,glam,,453167.0,93928
mat3 mul mat3,glam,,460668.0,95520
mat3 mul mat3,glam,,468273.0,97112
mat3 mul mat3,glam,,475980.0,98704
mat3 mul mat3,glam,,483527.0,100296
mat3 mul mat3,glam,,492804.0,101888
mat3 mul mat3,glam,,500427.0,103480
mat3 mul mat3,glam,,506517.0,105072
mat3 mul mat3,glam,,514377.0,106664
mat3 mul mat3,glam,,521959.0,108256
mat3 mul mat3,glam,,529471.0,109848
mat3 mul mat3,glam,,537815.0,111440
mat3 mul mat3,glam,,544925.0,113032
mat3 mul mat3,glam,,552750.0,114624
mat3 mul mat3,glam,,560258.0,116216
mat3 mul mat3,glam,,569599.0,117808
mat3 mul mat3,glam,,575648.0,119400
mat3 mul mat3,glam,,583344.0,120992
mat3 mul mat3,glam,,591136.0,122584
mat3 mul mat3,glam,,598687.0,124176
mat3 mul mat3,glam,,606315.0,125768
mat3 mul mat3,glam,,614120.0,127360
mat3 mul mat3,glam,,622179.0,128952
mat3 mul mat3,glam,,629402.0,130544
mat3 mul mat3,glam,,638464.0,132136
mat3 mul mat3,glam,,666180.0,133728
mat3 mul mat3,glam,,652448.0,135320
mat3 mul mat3,glam,,660169.0,136912
mat3 mul mat3,glam,,667683.0,138504
mat3 mul mat3,glam,,696801.0,140096
mat3 mul mat3,glam,,703123.0,141688
mat3 mul mat3,glam,,711175.0,143280
mat3 mul mat3,glam,,719011.0,144872
mat3 mul mat3,glam,,727295.0,146464
mat3 mul mat3,glam,,735343.0,148056
mat3 mul mat3,glam,,744483.0,149648
mat3 mul mat3,glam,,750408.0,151240
mat3 mul mat3,glam,,759087.0,152832
mat3 mul mat3,glam,,768042.0,154424
mat3 mul mat3,glam,,774379.0,156016
mat3 mul mat3,glam,,784517.0,157608
mat3 mul mat3,glam,,789787.0,159200
