group,function,value,sample_time_nanos,iteration_count
mat4 determinant,nalgebra,,981708.0,19846
mat4 determinant,nalgebra,,1964274.0,39692
mat4 determinant,nalgebra,,2946801.0,59538
mat4 determinant,nalgebra,,4061548.0,79384
mat4 determinant,nalgebra,,4906425.0,99230
mat4 determinant,nalgebra,,5937370.0,119076
mat4 determinant,nalgebra,,6897315.0,138922
mat4 determinant,nalgebra,,7853864.0,158768
mat4 determinant,nalgebra,,8834813.0,178614
mat4 determinant,nalgebra,,9850657.0,198460
mat4 determinant,nalgebra,,10799194.0,218306
mat4 determinant,nalgebra,,11778821.0,238152
mat4 determinant,nalgebra,,12804106.0,257998
mat4 determinant,nalgebra,,13751873.0,277844
mat4 determinant,nalgebra,,14720177.0,297690
mat4 determinant,nalgebra,,15730613.0,317536
mat4 determinant,nalgebra,,16720797.0,337382
mat4 determinant,nalgebra,,17671473.0,357228
mat4 determinant,nalgebra,,18711395.0,377074
mat4 determinant,nalgebra,,19713600.0,396920
mat4 determinant,nalgebra,,20626149.0,416766
mat4 determinant,nalgebra,,21654231.0,436612
mat4 determinant,nalgebra,,22582248.0,456458
mat4 determinant,nalgebra,,23617704.0,476304
mat4 determinant,nalgebra,,24557901.0,496150
mat4 determinant,nalgebra,,25545092.0,515996
mat4 determinant,nalgebra,,26536640.0,535842
mat4 determinant,nalgebra,,27513446.0,555688
mat4 determinant,nalgebra,,28475172.0,575534
mat4 determinant,nalgebra,,29469766.0,595380
mat4 determinant,nalgebra,,30487658.0,615226
mat4 determinant,nalgebra,,31464020.0,635072
mat4 determinant,nalgebra,,32418301.0,654918
mat4 determinant,nalgebra,,33450606.0,674764
mat4 determinant,nalgebra,,34387959.0,694610
mat4 determinant,nalgebra,,35334292.0,714456
mat4 determinant,nalgebra,,36457815.0,734302
mat4 determinant,nalgebra,,37337654.0,754148
mat4 determinant,nalgebra,,38365172.0,773994
mat4 determinant,nalgebra,,39226736.0,793840
mat4 determinant,nalgebra,,40174831.0,813686
mat4 determinant,nalgebra,,41213236.0,833532
mat4 determinant,nalgebra,,42178771.0,853378
mat4 determinant,nalgebra,,43182983.0,873224
mat4 determinant,nalgebra,,44139701.0,893070
mat4 determinant,nalgebra,,45148573.0,912916
mat4 determinant,nalgebra,,46173354.0,932762
mat4 determinant,nalgebra,,47191062.0,952608
mat4 determinant,nalgebra,,48137383.0,972454
mat4 determinant,nalgebra,,49139454.0,992300
mat4 determinant,nalgebra,,50086510.0,1012146
mat4 determinant,nalgebra,,51003029.0,1031992
mat4 determinant,nalgebra,,52048246.0,1051838
mat4 determinant,nalgebra,,52997895.0,1071684
mat4 determinant,nalgebra,,54013525.0,1091530
mat4 determinant,nalgebra,,55126082.0,1111376
mat4 determinant,nalgebra,,55981782.0,1131222
mat4 determinant,nalgebra,,57034575.0,1151068
mat4 determinant,nalgebra,,57990888.0,1170914
mat4 determinant,nalgebra,,58974363.0,1190760
mat4 determinant,nalgebra,,59944791.0,1210606
mat4 determinant,nalgebra,,60898339.0,1230452
mat4 determinant,nalgebra,,61929665.0,1250298
mat4 determinant,nalgebra,,62879094.0,1270144
mat4 determinant,nalgebra,,63932592.0,1289990
mat4 determinant,nalgebra,,64952640.0,1309836
mat4 determinant,nalgebra,,65957178.0,1329682
mat4 determinant,nalgebra,,66663742.0,1349528
mat4 determinant,nalgebra,,67677167.0,1369374
mat4 determinant,nalgebra,,68716713.0,1389220
mat4 determinant,nalgebra,,69608005.0,1409066
mat4 determinant,nalgebra,,70713403.0,1428912
mat4 determinant,nalgebra,,71604998.0,1448758
mat4 determinant,nalgebra,,73848556.0,1468604
mat4 determinant,nalgebra,,75682768.0,1488450
mat4 determinant,nalgebra,,76668394.0,1508296
mat4 determinant,nalgebra,,77692196.0,1528142
mat4 determinant,nalgebra,,78683929.0,1547988
mat4 determinant,nalgebra,,79715384.0,1567834
mat4 determinant,nalgebra,,80869237.0,1587680
mat4 determinant,nalgebra,,81772798.0,1607526
mat4 determinant,nalgebra,,82739975.0,1627372
mat4 determinant,nalgebra,,83798390.0,1647218
mat4 determinant,nalgebra,,84768917.0,1667064
mat4 determinant,nalgebra,,85776459.0,1686910
mat4 determinant,nalgebra,,86859593.0,1706756
mat4 determinant,nalgebra,,86183713.0,1726602
mat4 determinant,nalgebra,,86296692.0,1746448
mat4 determinant,nalgebra,,87265257.0,1766294
mat4 determinant,nalgebra,,88227476.0,1786140
mat4 determinant,nalgebra,,89297522.0,1805986
mat4 determinant,nalgebra,,90330393.0,1825832
mat4 determinant,nalgebra,,91236991.0,1845678
mat4 determinant,nalgebra,,92182089.0,1865524
mat4 determinant,nalgebra,,93195682.0,1885370
mat4 determinant,nalgebra,,94204832.0,1905216
mat4 determinant,nalgebra,,95391751.0,1925062
mat4 determinant,nalgebra,,96164952.0,1944908
mat4 determinant,nalgebra,,97078809.0,1964754
mat4 determinant,nalgebra,,98089334.0,1984600
