group,function,value,sample_time_nanos,iteration_count
mat4 transform point3,euclid,,7787.0,1262
mat4 transform point3,euclid,,15540.0,2524
mat4 transform point3,euclid,,23303.0,3786
mat4 transform point3,euclid,,31027.0,5048
mat4 transform point3,euclid,,38779.0,6310
mat4 transform point3,euclid,,46546.0,7572
mat4 transform point3,euclid,,54324.0,8834
mat4 transform point3,euclid,,62068.0,10096
mat4 transform point3,euclid,,69821.0,11358
mat4 transform point3,euclid,,86774.0,12620
mat4 transform point3,euclid,,85308.0,13882
mat4 transform point3,euclid,,93061.0,15144
mat4 transform point3,euclid,,100823.0,16406
mat4 transform point3,euclid,,108568.0,17668
mat4 transform point3,euclid,,116315.0,18930
mat4 transform point3,euclid,,124055.0,20192
mat4 transform point3,euclid,,131850.0,21454
mat4 transform point3,euclid,,139566.0,22716
mat4 transform point3,euclid,,147321.0,23978
mat4 transform point3,euclid,,155076.0,25240
mat4 transform point3,euclid,,162833.0,26502
mat4 transform point3,euclid,,170592.0,27764
mat4 transform point3,euclid,,178337.0,29026
mat4 transform point3,euclid,,186142.0,30288
mat4 transform point3,euclid,,193848.0,31550
mat4 transform point3,euclid,,201621.0,32812
mat4 transform point3,euclid,,209353.0,34074
mat4 transform point3,euclid,,217101.0,35336
mat4 transform point3,euclid,,224871.0,36598
mat4 transform point3,euclid,,232612.0,37860
mat4 transform point3,euclid,,240350.0,39122
mat4 transform point3,euclid,,248106.0,40384
mat4 transform point3,euclid,,255891.0,41646
mat4 transform point3,euclid,,263606.0,42908
mat4 transform point3,euclid,,271366.0,44170
mat4 transform point3,euclid,,279106.0,45432
mat4 transform point3,euclid,,286917.0,46694
mat4 transform point3,euclid,,294030.0,47956
mat4 transform point3,euclid,,302363.0,49218
mat4 transform point3,euclid,,310105.0,50480
mat4 transform point3,euclid,,317894.0,51742
mat4 transform point3,euclid,,325629.0,53004
mat4 transform point3,euclid,,333408.0,54266
mat4 transform point3,euclid,,341167.0,55528
mat4 transform point3,euclid,,348897.0,56790
mat4 transform point3,euclid,,355336.0,58052
mat4 transform point3,euclid,,364382.0,59314
mat4 transform point3,euclid,,604806.0,60576
mat4 transform point3,euclid,,611635.0,61838
mat4 transform point3,euclid,,387660.0,63100
mat4 transform point3,euclid,,394824.0,64362
mat4 transform point3,euclid,,402548.0,65624
mat4 transform point3,euclid,,410899.0,66886
mat4 transform point3,euclid,,418631.0,68148
mat4 transform point3,euclid,,426410.0,69410
mat4 transform point3,euclid,,434150.0,70672
mat4 transform point3,euclid,,441897.0,71934
mat4 transform point3,euclid,,449646.0,73196
mat4 transform point3,euclid,,457430.0,74458
mat4 transform point3,euclid,,466715.0,75720
mat4 transform point3,euclid,,472935.0,76982
mat4 transform point3,euclid,,480666.0,78244
mat4 transform point3,euclid,,488430.0,79506
mat4 transform point3,euclid,,496204.0,80768
mat4 transform point3,euclid,,813556.0,82030
mat4 transform point3,euclid,,840540.0,83292
mat4 transform point3,euclid,,519451.0,84554
mat4 transform point3,euclid,,527192.0,85816
mat4 transform point3,euclid,,532297.0,87078
mat4 transform point3,euclid,,542674.0,88340
mat4 transform point3,euclid,,550447.0,89602
mat4 transform point3,euclid,,558199.0,90864
mat4 transform point3,euclid,,565936.0,92126
mat4 transform point3,euclid,,574449.0,93388
mat4 transform point3,euclid,,581431.0,94650
mat4 transform point3,euclid,,589192.0,95912
mat4 transform point3,euclid,,595884.0,97174
mat4 transform point3,euclid,,973615.0,98436
mat4 transform point3,euclid,,986437.0,99698
mat4 transform point3,euclid,,995202.0,100960
mat4 transform point3,euclid,,1015362.0,102222
mat4 transform point3,euclid,,1044296.0,103484
mat4 transform point3,euclid,,682475.0,104746
mat4 transform point3,euclid,,669773.0,106008
mat4 transform point3,euclid,,659003.0,107270
mat4 transform point3,euclid,,666711.0,108532
mat4 transform point3,euclid,,674502.0,109794
mat4 transform point3,euclid,,682086.0,111056
mat4 transform point3,euclid,,691472.0,112318
mat4 transform point3,euclid,,697749.0,113580
mat4 transform point3,euclid,,705223.0,114842
mat4 transform point3,euclid,,713226.0,116104
mat4 transform point3,euclid,,720992.0,117366
mat4 transform point3,euclid,,730659.0,118628
mat4 transform point3,euclid,,736397.0,119890
mat4 transform point3,euclid,,744223.0,121152
mat4 transform point3,euclid,,753876.0,122414
mat4 transform point3,euclid,,759765.0,123676
mat4 transform point3,euclid,,1236433.0,124938
mat4 transform point3,euclid,,1291007.0,126200
