group,function,value,sample_time_nanos,iteration_count
mat4 transpose,cgmath,,986401.0,123871
mat4 transpose,cgmath,,1964588.0,247742
mat4 transpose,cgmath,,2946901.0,371613
mat4 transpose,cgmath,,4075237.0,495484
mat4 transpose,cgmath,,4915138.0,619355
mat4 transpose,cgmath,,5921449.0,743226
mat4 transpose,cgmath,,6883575.0,867097
mat4 transpose,cgmath,,7886329.0,990968
mat4 transpose,cgmath,,8847321.0,1114839
mat4 transpose,cgmath,,9853756.0,1238710
mat4 transpose,cgmath,,10815310.0,1362581
mat4 transpose,cgmath,,11796274.0,1486452
mat4 transpose,cgmath,,12779609.0,1610323
mat4 transpose,cgmath,,13818591.0,1734194
mat4 transpose,cgmath,,14747875.0,1858065
mat4 transpose,cgmath,,15768557.0,1981936
mat4 transpose,cgmath,,16712426.0,2105807
mat4 transpose,cgmath,,17716232.0,2229678
mat4 transpose,cgmath,,18679829.0,2353549
mat4 transpose,cgmath,,19679038.0,2477420
mat4 transpose,cgmath,,20666083.0,2601291
mat4 transpose,cgmath,,21646860.0,2725162
mat4 transpose,cgmath,,22611174.0,2849033
mat4 transpose,cgmath,,23608588.0,2972904
mat4 transpose,cgmath,,24598372.0,3096775
mat4 transpose,cgmath,,25690477.0,3220646
mat4 transpose,cgmath,,26597649.0,3344517
mat4 transpose,cgmath,,27543967.0,3468388
mat4 transpose,cgmath,,28549695.0,3592259
mat4 transpose,cgmath,,29553615.0,3716130
mat4 transpose,cgmath,,30494109.0,3840001
mat4 transpose,cgmath,,31481232.0,3963872
mat4 transpose,cgmath,,32441751.0,4087743
mat4 transpose,cgmath,,33443452.0,4211614
mat4 transpose,cgmath,,34448477.0,4335485
mat4 transpose,cgmath,,35389719.0,4459356
mat4 transpose,cgmath,,36386621.0,4583227
mat4 transpose,cgmath,,37399081.0,4707098
mat4 transpose,cgmath,,38337772.0,4830969
mat4 transpose,cgmath,,39338845.0,4954840
mat4 transpose,cgmath,,40325724.0,5078711
mat4 transpose,cgmath,,41352592.0,5202582
mat4 transpose,cgmath,,42313874.0,5326453
mat4 transpose,cgmath,,43277012.0,5450324
mat4 transpose,cgmath,,44265753.0,5574195
mat4 transpose,cgmath,,45220818.0,5698066
mat4 transpose,cgmath,,46253514.0,5821937
mat4 transpose,cgmath,,47209553.0,5945808
mat4 transpose,cgmath,,48214905.0,6069679
mat4 transpose,cgmath,,49173068.0,6193550
mat4 transpose,cgmath,,50171382.0,6317421
mat4 transpose,cgmath,,51199184.0,6441292
mat4 transpose,cgmath,,52305192.0,6565163
mat4 transpose,cgmath,,53243899.0,6689034
mat4 transpose,cgmath,,54195385.0,6812905
mat4 transpose,cgmath,,55067587.0,6936776
mat4 transpose,cgmath,,56075063.0,7060647
mat4 transpose,cgmath,,57032304.0,7184518
mat4 transpose,cgmath,,58056840.0,7308389
mat4 transpose,cgmath,,59021555.0,7432260
mat4 transpose,cgmath,,60040374.0,7556131
mat4 transpose,cgmath,,61039183.0,7680002
mat4 transpose,cgmath,,61968101.0,7803873
mat4 transpose,cgmath,,62936581.0,7927744
mat4 transpose,cgmath,,63952975.0,8051615
mat4 transpose,cgmath,,64916312.0,8175486
mat4 transpose,cgmath,,65908885.0,8299357
mat4 transpose,cgmath,,66886835.0,8423228
mat4 transpose,cgmath,,67964037.0,8547099
mat4 transpose,cgmath,,68895727.0,8670970
mat4 transpose,cgmath,,69835542.0,8794841
mat4 transpose,cgmath,,70816071.0,8918712
mat4 transpose,cgmath,,71797148.0,9042583
mat4 transpose,cgmath,,72789892.0,9166454
mat4 transpose,cgmath,,73763101.0,9290325
mat4 transpose,cgmath,,74793629.0,9414196
mat4 transpose,cgmath,,75729690.0,9538067
mat4 transpose,cgmath,,76700465.0,9661938
mat4 transpose,cgmath,,77716482.0,9785809
mat4 transpose,cgmath,,78727379.0,9909680
mat4 transpose,cgmath,,79643163.0,10033551
mat4 transpose,cgmath,,80770034.0,10157422
mat4 transpose,cgmath,,81673015.0,10281293
mat4 transpose,cgmath,,82636704.0,10405164
mat4 transpose,cgmath,,83595774.0,10529035
mat4 transpose,cgmath,,84603655.0,10652906
mat4 transpose,cgmath,,85537811.0,10776777
mat4 transpose,cgmath,,86578368.0,10900648
mat4 transpose,cgmath,,87722161.0,11024519
mat4 transpose,cgmath,,88497212.0,11148390
mat4 transpose,cgmath,,89536570.0,11272261
mat4 transpose,cgmath,,91099187.0,11396132
mat4 transpose,cgmath,,91548936.0,11520003
mat4 transpose,cgmath,,95188810.0,11643874
mat4 transpose,cgmath,,93460077.0,11767745
mat4 transpose,cgmath,,94410595.0,11891616
mat4 transpose,cgmath,,95407331.0,12015487
mat4 transpose,cgmath,,96374090.0,12139358
mat4 transpose,cgmath,,97399290.0,12263229
mat4 transpose,cgmath,,98360255.0,12387100
