group,function,value,sample_time_nanos,iteration_count
quat conjugate,cgmath,,984100.0,559287
quat conjugate,cgmath,,1988176.0,1118574
quat conjugate,cgmath,,2953022.0,1677861
quat conjugate,cgmath,,4068154.0,2237148
quat conjugate,cgmath,,4918969.0,2796435
quat conjugate,cgmath,,5901097.0,3355722
quat conjugate,cgmath,,6899478.0,3915009
quat conjugate,cgmath,,7872328.0,4474296
quat conjugate,cgmath,,8851720.0,5033583
quat conjugate,cgmath,,9866812.0,5592870
quat conjugate,cgmath,,10838147.0,6152157
quat conjugate,cgmath,,11794113.0,6711444
quat conjugate,cgmath,,12832423.0,7270731
quat conjugate,cgmath,,13770519.0,7830018
quat conjugate,cgmath,,14734123.0,8389305
quat conjugate,cgmath,,15744991.0,8948592
quat conjugate,cgmath,,16711052.0,9507879
quat conjugate,cgmath,,17695944.0,10067166
quat conjugate,cgmath,,18689209.0,10626453
quat conjugate,cgmath,,19674387.0,11185740
quat conjugate,cgmath,,20650517.0,11745027
quat conjugate,cgmath,,21630884.0,12304314
quat conjugate,cgmath,,22637458.0,12863601
quat conjugate,cgmath,,23592046.0,13422888
quat conjugate,cgmath,,24591393.0,13982175
quat conjugate,cgmath,,25580415.0,14541462
quat conjugate,cgmath,,26568057.0,15100749
quat conjugate,cgmath,,27553281.0,15660036
quat conjugate,cgmath,,28526283.0,16219323
quat conjugate,cgmath,,29515586.0,16778610
quat conjugate,cgmath,,30478870.0,17337897
quat conjugate,cgmath,,31484419.0,17897184
quat conjugate,cgmath,,32594240.0,18456471
quat conjugate,cgmath,,33473435.0,19015758
quat conjugate,cgmath,,34481745.0,19575045
quat conjugate,cgmath,,35458179.0,20134332
quat conjugate,cgmath,,36409678.0,20693619
quat conjugate,cgmath,,37361929.0,21252906
quat conjugate,cgmath,,38359101.0,21812193
quat conjugate,cgmath,,39378386.0,22371480
quat conjugate,cgmath,,40333646.0,22930767
quat conjugate,cgmath,,41282486.0,23490054
quat conjugate,cgmath,,42333629.0,24049341
quat conjugate,cgmath,,43246504.0,24608628
quat conjugate,cgmath,,44296667.0,25167915
quat conjugate,cgmath,,45310228.0,25727202
quat conjugate,cgmath,,46224764.0,26286489
quat conjugate,cgmath,,47199315.0,26845776
quat conjugate,cgmath,,48184753.0,27405063
quat conjugate,cgmath,,49190060.0,27964350
quat conjugate,cgmath,,50143427.0,28523637
quat conjugate,cgmath,,51182479.0,29082924
quat conjugate,cgmath,,52124132.0,29642211
quat conjugate,cgmath,,53135574.0,30201498
quat conjugate,cgmath,,54095083.0,30760785
quat conjugate,cgmath,,55184744.0,31320072
quat conjugate,cgmath,,56078828.0,31879359
quat conjugate,cgmath,,57056120.0,32438646
quat conjugate,cgmath,,58028177.0,32997933
quat conjugate,cgmath,,59025502.0,33557220
quat conjugate,cgmath,,60025635.0,34116507
quat conjugate,cgmath,,60972534.0,34675794
quat conjugate,cgmath,,61982376.0,35235081
quat conjugate,cgmath,,62966290.0,35794368
quat conjugate,cgmath,,63947464.0,36353655
quat conjugate,cgmath,,64877065.0,36912942
quat conjugate,cgmath,,66059923.0,37472229
quat conjugate,cgmath,,66933979.0,38031516
quat conjugate,cgmath,,67880372.0,38590803
quat conjugate,cgmath,,68841291.0,39150090
quat conjugate,cgmath,,69817176.0,39709377
quat conjugate,cgmath,,70908260.0,40268664
quat conjugate,cgmath,,71821148.0,40827951
quat conjugate,cgmath,,72760246.0,41387238
quat conjugate,cgmath,,73778339.0,41946525
quat conjugate,cgmath,,74763178.0,42505812
quat conjugate,cgmath,,75731731.0,43065099
quat conjugate,cgmath,,76789117.0,43624386
quat conjugate,cgmath,,77710797.0,44183673
quat conjugate,cgmath,,78696115.0,44742960
quat conjugate,cgmath,,79691488.0,45302247
quat conjugate,cgmath,,80618895.0,45861534
quat conjugate,cgmath,,81734385.0,46420821
quat conjugate,cgmath,,82655722.0,46980108
quat conjugate,cgmath,,83746224.0,47539395
quat conjugate,cgmath,,84695233.0,48098682
quat conjugate,cgmath,,85572249.0,48657969
quat conjugate,cgmath,,86605190.0,49217256
quat conjugate,cgmath,,87523290.0,49776543
quat conjugate,cgmath,,88618464.0,50335830
quat conjugate,cgmath,,89544912.0,50895117
quat conjugate,cgmath,,90502893.0,51454404
quat conjugate,cgmath,,91457468.0,52013691
quat conjugate,cgmath,,92441095.0,52572978
quat conjugate,cgmath,,93442529.0,53132265
quat conjugate,cgmath,,94524383.0,53691552
quat conjugate,cgmath,,95443181.0,54250839
quat conjugate,cgmath,,96398388.0,54810126
quat conjugate,cgmath,,97370116.0,55369413
quat conjugate,cgmath,,98415842.0,55928700
