group,function,value,sample_time_nanos,iteration_count
quat conjugate,euclid,,986914.0,560823
quat conjugate,euclid,,1970270.0,1121646
quat conjugate,euclid,,2955667.0,1682469
quat conjugate,euclid,,4071361.0,2243292
quat conjugate,euclid,,4923281.0,2804115
quat conjugate,euclid,,5923113.0,3364938
quat conjugate,euclid,,6919571.0,3925761
quat conjugate,euclid,,7879168.0,4486584
quat conjugate,euclid,,8885855.0,5047407
quat conjugate,euclid,,9868217.0,5608230
quat conjugate,euclid,,10835442.0,6169053
quat conjugate,euclid,,11822066.0,6729876
quat conjugate,euclid,,12824881.0,7290699
quat conjugate,euclid,,13788460.0,7851522
quat conjugate,euclid,,14786776.0,8412345
quat conjugate,euclid,,16195191.0,8973168
quat conjugate,euclid,,16784118.0,9533991
quat conjugate,euclid,,17729273.0,10094814
quat conjugate,euclid,,18730719.0,10655637
quat conjugate,euclid,,19705633.0,11216460
quat conjugate,euclid,,20698417.0,11777283
quat conjugate,euclid,,21685801.0,12338106
quat conjugate,euclid,,22646697.0,12898929
quat conjugate,euclid,,23730796.0,13459752
quat conjugate,euclid,,24659262.0,14020575
quat conjugate,euclid,,25622969.0,14581398
quat conjugate,euclid,,26639846.0,15142221
quat conjugate,euclid,,27553967.0,15703044
quat conjugate,euclid,,28605387.0,16263867
quat conjugate,euclid,,29557491.0,16824690
quat conjugate,euclid,,30529540.0,17385513
quat conjugate,euclid,,31573305.0,17946336
quat conjugate,euclid,,32518242.0,18507159
quat conjugate,euclid,,33530546.0,19067982
quat conjugate,euclid,,34498277.0,19628805
quat conjugate,euclid,,35476451.0,20189628
quat conjugate,euclid,,36436530.0,20750451
quat conjugate,euclid,,37442083.0,21311274
quat conjugate,euclid,,38472505.0,21872097
quat conjugate,euclid,,39422862.0,22432920
quat conjugate,euclid,,40429927.0,22993743
quat conjugate,euclid,,41361782.0,23554566
quat conjugate,euclid,,42362238.0,24115389
quat conjugate,euclid,,43359320.0,24676212
quat conjugate,euclid,,44350579.0,25237035
quat conjugate,euclid,,45321267.0,25797858
quat conjugate,euclid,,46285498.0,26358681
quat conjugate,euclid,,47278916.0,26919504
quat conjugate,euclid,,48281410.0,27480327
quat conjugate,euclid,,49276282.0,28041150
quat conjugate,euclid,,50263177.0,28601973
quat conjugate,euclid,,51281423.0,29162796
quat conjugate,euclid,,52218602.0,29723619
quat conjugate,euclid,,53219884.0,30284442
quat conjugate,euclid,,54187273.0,30845265
quat conjugate,euclid,,55179698.0,31406088
quat conjugate,euclid,,56205421.0,31966911
quat conjugate,euclid,,57115410.0,32527734
quat conjugate,euclid,,58096782.0,33088557
quat conjugate,euclid,,59167901.0,33649380
quat conjugate,euclid,,60115892.0,34210203
quat conjugate,euclid,,61062346.0,34771026
quat conjugate,euclid,,62102703.0,35331849
quat conjugate,euclid,,63120375.0,35892672
quat conjugate,euclid,,64066403.0,36453495
quat conjugate,euclid,,65012720.0,37014318
quat conjugate,euclid,,66031623.0,37575141
quat conjugate,euclid,,67606261.0,38135964
quat conjugate,euclid,,68143765.0,38696787
quat conjugate,euclid,,69006625.0,39257610
quat conjugate,euclid,,69951477.0,39818433
quat conjugate,euclid,,70938361.0,40379256
quat conjugate,euclid,,71971241.0,40940079
quat conjugate,euclid,,72976771.0,41500902
quat conjugate,euclid,,73969944.0,42061725
quat conjugate,euclid,,74902280.0,42622548
quat conjugate,euclid,,75850872.0,43183371
quat conjugate,euclid,,76853719.0,43744194
quat conjugate,euclid,,77826554.0,44305017
quat conjugate,euclid,,78855846.0,44865840
quat conjugate,euclid,,79876567.0,45426663
quat conjugate,euclid,,80869277.0,45987486
quat conjugate,euclid,,82449574.0,46548309
quat conjugate,euclid,,91601007.0,47109132
quat conjugate,euclid,,84606310.0,47669955
quat conjugate,euclid,,84991286.0,48230778
quat conjugate,euclid,,85904672.0,48791601
quat conjugate,euclid,,86740070.0,49352424
quat conjugate,euclid,,87761335.0,49913247
quat conjugate,euclid,,88738746.0,50474070
quat conjugate,euclid,,89693036.0,51034893
quat conjugate,euclid,,90674195.0,51595716
quat conjugate,euclid,,91676112.0,52156539
quat conjugate,euclid,,92719061.0,52717362
quat conjugate,euclid,,93634418.0,53278185
quat conjugate,euclid,,94644714.0,53839008
quat conjugate,euclid,,95596537.0,54399831
quat conjugate,euclid,,96710834.0,54960654
quat conjugate,euclid,,97597095.0,55521477
quat conjugate,euclid,,98592333.0,56082300
