group,function,value,sample_time_nanos,iteration_count
vec3 cross,glam,,7721.0,3713
vec3 cross,glam,,15418.0,7426
vec3 cross,glam,,23102.0,11139
vec3 cross,glam,,30808.0,14852
vec3 cross,glam,,38493.0,18565
vec3 cross,glam,,46216.0,22278
vec3 cross,glam,,53942.0,25991
vec3 cross,glam,,61645.0,29704
vec3 cross,glam,,69357.0,33417
vec3 cross,glam,,77021.0,37130
vec3 cross,glam,,84740.0,40843
vec3 cross,glam,,92424.0,44556
vec3 cross,glam,,100210.0,48269
vec3 cross,glam,,107825.0,51982
vec3 cross,glam,,115570.0,55695
vec3 cross,glam,,123233.0,59408
vec3 cross,glam,,130899.0,63121
vec3 cross,glam,,138647.0,66834
vec3 cross,glam,,146375.0,70547
vec3 cross,glam,,155498.0,74260
vec3 cross,glam,,161879.0,77973
vec3 cross,glam,,169464.0,81686
vec3 cross,glam,,177143.0,85399
vec3 cross,glam,,184829.0,89112
vec3 cross,glam,,192544.0,92825
vec3 cross,glam,,200253.0,96538
vec3 cross,glam,,207958.0,100251
vec3 cross,glam,,215651.0,103964
vec3 cross,glam,,223513.0,107677
vec3 cross,glam,,231114.0,111390
vec3 cross,glam,,238761.0,115103
vec3 cross,glam,,246600.0,118816
vec3 cross,glam,,254124.0,122529
vec3 cross,glam,,261830.0,126242
vec3 cross,glam,,269712.0,129955
vec3 cross,glam,,277403.0,133668
vec3 cross,glam,,284952.0,137381
vec3 cross,glam,,292732.0,141094
vec3 cross,glam,,302170.0,144807
vec3 cross,glam,,308168.0,148520
vec3 cross,glam,,335716.0,152233
vec3 cross,glam,,323524.0,155946
vec3 cross,glam,,331257.0,159659
vec3 cross,glam,,338940.0,163372
vec3 cross,glam,,346648.0,167085
vec3 cross,glam,,354358.0,170798
vec3 cross,glam,,362057.0,174511
vec3 cross,glam,,371232.0,178224
vec3 cross,glam,,377428.0,181937
vec3 cross,glam,,385195.0,185650
vec3 cross,glam,,392863.0,189363
vec3 cross,glam,,400599.0,193076
vec3 cross,glam,,409580.0,196789
vec3 cross,glam,,415993.0,200502
vec3 cross,glam,,425082.0,204215
vec3 cross,glam,,431429.0,207928
vec3 cross,glam,,440509.0,211641
vec3 cross,glam,,446750.0,215354
vec3 cross,glam,,454479.0,219067
vec3 cross,glam,,462256.0,222780
vec3 cross,glam,,469951.0,226493
vec3 cross,glam,,477550.0,230206
vec3 cross,glam,,485317.0,233919
vec3 cross,glam,,492900.0,237632
vec3 cross,glam,,500751.0,241345
vec3 cross,glam,,509959.0,245058
vec3 cross,glam,,516042.0,248771
vec3 cross,glam,,523802.0,252484
vec3 cross,glam,,531510.0,256197
vec3 cross,glam,,539192.0,259910
vec3 cross,glam,,546874.0,263623
vec3 cross,glam,,554583.0,267336
vec3 cross,glam,,562241.0,271049
vec3 cross,glam,,570109.0,274762
vec3 cross,glam,,579524.0,278475
vec3 cross,glam,,585457.0,282188
vec3 cross,glam,,593111.0,285901
vec3 cross,glam,,600840.0,289614
vec3 cross,glam,,608548.0,293327
vec3 cross,glam,,616188.0,297040
vec3 cross,glam,,623874.0,300753
vec3 cross,glam,,631642.0,304466
vec3 cross,glam,,639334.0,308179
vec3 cross,glam,,646980.0,311892
vec3 cross,glam,,654684.0,315605
vec3 cross,glam,,662509.0,319318
vec3 cross,glam,,671896.0,323031
vec3 cross,glam,,677948.0,326744
vec3 cross,glam,,685646.0,330457
vec3 cross,glam,,694948.0,334170
vec3 cross,glam,,701076.0,337883
vec3 cross,glam,,708579.0,341596
vec3 cross,glam,,716443.0,345309
vec3 cross,glam,,724002.0,349022
vec3 cross,glam,,733459.0,352735
vec3 cross,glam,,739460.0,356448
vec3 cross,glam,,747173.0,360161
vec3 cross,glam,,756318.0,363874
vec3 cross,glam,,762586.0,367587
vec3 cross,glam,,770339.0,371300
