group,function,value,sample_time_nanos,iteration_count
vec3 dot,glam,,7664.0,5693
vec3 dot,glam,,15292.0,11386
vec3 dot,glam,,22899.0,17079
vec3 dot,glam,,30539.0,22772
vec3 dot,glam,,38434.0,28465
vec3 dot,glam,,45784.0,34158
vec3 dot,glam,,53417.0,39851
vec3 dot,glam,,61456.0,45544
vec3 dot,glam,,68661.0,51237
vec3 dot,glam,,76819.0,56930
vec3 dot,glam,,83941.0,62623
vec3 dot,glam,,91544.0,68316
vec3 dot,glam,,99867.0,74009
vec3 dot,glam,,106818.0,79702
vec3 dot,glam,,114438.0,85395
vec3 dot,glam,,122916.0,91088
vec3 dot,glam,,129677.0,96781
vec3 dot,glam,,137328.0,102474
vec3 dot,glam,,144940.0,108167
vec3 dot,glam,,152595.0,113860
vec3 dot,glam,,160205.0,119553
vec3 dot,glam,,169011.0,125246
vec3 dot,glam,,176600.0,130939
vec3 dot,glam,,184386.0,136632
vec3 dot,glam,,192059.0,142325
vec3 dot,glam,,199719.0,148018
vec3 dot,glam,,207421.0,153711
vec3 dot,glam,,213595.0,159404
vec3 dot,glam,,222782.0,165097
vec3 dot,glam,,237938.0,170790
vec3 dot,glam,,238485.0,176483
vec3 dot,glam,,245745.0,182176
vec3 dot,glam,,253486.0,187869
vec3 dot,glam,,259359.0,193562
vec3 dot,glam,,268846.0,199255
vec3 dot,glam,,274618.0,204948
vec3 dot,glam,,282251.0,210641
vec3 dot,glam,,289884.0,216334
vec3 dot,glam,,299570.0,222027
vec3 dot,glam,,307247.0,227720
vec3 dot,glam,,314876.0,233413
vec3 dot,glam,,320375.0,239106
vec3 dot,glam,,330250.0,244799
vec3 dot,glam,,335642.0,250492
vec3 dot,glam,,345653.0,256185
vec3 dot,glam,,350882.0,261878
vec3 dot,glam,,361007.0,267571
vec3 dot,glam,,366149.0,273264
vec3 dot,glam,,376369.0,278957
vec3 dot,glam,,384073.0,284650
vec3 dot,glam,,389026.0,290343
vec3 dot,glam,,396666.0,296036
vec3 dot,glam,,404303.0,301729
vec3 dot,glam,,411924.0,307422
vec3 dot,glam,,422462.0,313115
vec3 dot,glam,,430160.0,318808
vec3 dot,glam,,434789.0,324501
vec3 dot,glam,,445501.0,330194
vec3 dot,glam,,450059.0,335887
vec3 dot,glam,,460884.0,341580
vec3 dot,glam,,465298.0,347273
vec3 dot,glam,,476187.0,352966
vec3 dot,glam,,483943.0,358659
vec3 dot,glam,,493035.0,364352
vec3 dot,glam,,499607.0,370045
vec3 dot,glam,,503432.0,375738
vec3 dot,glam,,512629.0,381431
vec3 dot,glam,,522331.0,387124
vec3 dot,glam,,530007.0,392817
vec3 dot,glam,,533968.0,398510
vec3 dot,glam,,545366.0,404203
vec3 dot,glam,,553020.0,409896
vec3 dot,glam,,560760.0,415589
vec3 dot,glam,,569350.0,421282
vec3 dot,glam,,572103.0,426975
vec3 dot,glam,,579707.0,432668
vec3 dot,glam,,591496.0,438361
vec3 dot,glam,,599117.0,444054
vec3 dot,glam,,602603.0,449747
vec3 dot,glam,,616161.0,455440
vec3 dot,glam,,622210.0,461133
vec3 dot,glam,,625473.0,466826
vec3 dot,glam,,634629.0,472519
vec3 dot,glam,,645234.0,478212
vec3 dot,glam,,648391.0,483905
vec3 dot,glam,,660641.0,489598
vec3 dot,glam,,663632.0,495291
vec3 dot,glam,,675966.0,500984
vec3 dot,glam,,683666.0,506677
vec3 dot,glam,,691331.0,512370
vec3 dot,glam,,694113.0,518063
vec3 dot,glam,,733064.0,523756
vec3 dot,glam,,714784.0,529449
vec3 dot,glam,,722077.0,535142
vec3 dot,glam,,729718.0,540835
vec3 dot,glam,,732275.0,546528
vec3 dot,glam,,745133.0,552221
vec3 dot,glam,,747538.0,557914
vec3 dot,glam,,760472.0,563607
vec3 dot,glam,,764255.0,569300
