group,function,value,sample_time_nanos,iteration_count
vec3 length,nalgebra,,987761.0,491240
vec3 length,nalgebra,,1971484.0,982480
vec3 length,nalgebra,,2959808.0,1473720
vec3 length,nalgebra,,4025068.0,1964960
vec3 length,nalgebra,,4936888.0,2456200
vec3 length,nalgebra,,5919717.0,2947440
vec3 length,nalgebra,,6933270.0,3438680
vec3 length,nalgebra,,7964708.0,3929920
vec3 length,nalgebra,,8884290.0,4421160
vec3 length,nalgebra,,9930205.0,4912400
vec3 length,nalgebra,,10845446.0,5403640
vec3 length,nalgebra,,11859564.0,5894880
vec3 length,nalgebra,,12878129.0,6386120
vec3 length,nalgebra,,13919759.0,6877360
vec3 length,nalgebra,,14874896.0,7368600
vec3 length,nalgebra,,15809281.0,7859840
vec3 length,nalgebra,,16783526.0,8351080
vec3 length,nalgebra,,17810433.0,8842320
vec3 length,nalgebra,,18758748.0,9333560
vec3 length,nalgebra,,19729991.0,9824800
vec3 length,nalgebra,,20714299.0,10316040
vec3 length,nalgebra,,21697611.0,10807280
vec3 length,nalgebra,,22682704.0,11298520
vec3 length,nalgebra,,23797866.0,11789760
vec3 length,nalgebra,,24728960.0,12281000
vec3 length,nalgebra,,25650184.0,12772240
vec3 length,nalgebra,,26790482.0,13263480
vec3 length,nalgebra,,27642385.0,13754720
vec3 length,nalgebra,,28625013.0,14245960
vec3 length,nalgebra,,29607851.0,14737200
vec3 length,nalgebra,,30640819.0,15228440
vec3 length,nalgebra,,31646220.0,15719680
vec3 length,nalgebra,,32573896.0,16210920
vec3 length,nalgebra,,33613887.0,16702160
vec3 length,nalgebra,,34568309.0,17193400
vec3 length,nalgebra,,35558560.0,17684640
vec3 length,nalgebra,,36894187.0,18175880
vec3 length,nalgebra,,37535876.0,18667120
vec3 length,nalgebra,,38499795.0,19158360
vec3 length,nalgebra,,39501641.0,19649600
vec3 length,nalgebra,,40472758.0,20140840
vec3 length,nalgebra,,41500696.0,20632080
vec3 length,nalgebra,,42468022.0,21123320
vec3 length,nalgebra,,43429062.0,21614560
vec3 length,nalgebra,,44389680.0,22105800
vec3 length,nalgebra,,45403435.0,22597040
vec3 length,nalgebra,,46546785.0,23088280
vec3 length,nalgebra,,47423990.0,23579520
vec3 length,nalgebra,,48361709.0,24070760
vec3 length,nalgebra,,49343573.0,24562000
vec3 length,nalgebra,,50741522.0,25053240
vec3 length,nalgebra,,51426536.0,25544480
vec3 length,nalgebra,,52418880.0,26035720
vec3 length,nalgebra,,53292229.0,26526960
vec3 length,nalgebra,,54393541.0,27018200
vec3 length,nalgebra,,55320196.0,27509440
vec3 length,nalgebra,,56317316.0,28000680
vec3 length,nalgebra,,57567840.0,28491920
vec3 length,nalgebra,,58272377.0,28983160
vec3 length,nalgebra,,59248253.0,29474400
vec3 length,nalgebra,,60198406.0,29965640
vec3 length,nalgebra,,61299324.0,30456880
vec3 length,nalgebra,,62163587.0,30948120
vec3 length,nalgebra,,63187155.0,31439360
vec3 length,nalgebra,,64290881.0,31930600
vec3 length,nalgebra,,65200587.0,32421840
vec3 length,nalgebra,,66157137.0,32913080
vec3 length,nalgebra,,67271031.0,33404320
vec3 length,nalgebra,,68214884.0,33895560
vec3 length,nalgebra,,69858801.0,34386800
vec3 length,nalgebra,,70202810.0,34878040
vec3 length,nalgebra,,71199468.0,35369280
vec3 length,nalgebra,,72254844.0,35860520
vec3 length,nalgebra,,73145750.0,36351760
vec3 length,nalgebra,,74061653.0,36843000
vec3 length,nalgebra,,75096607.0,37334240
vec3 length,nalgebra,,76089596.0,37825480
vec3 length,nalgebra,,77034232.0,38316720
vec3 length,nalgebra,,78138112.0,38807960
vec3 length,nalgebra,,79032356.0,39299200
vec3 length,nalgebra,,80196868.0,39790440
vec3 length,nalgebra,,81065658.0,40281680
vec3 length,nalgebra,,81955345.0,40772920
vec3 length,nalgebra,,83018154.0,41264160
vec3 length,nalgebra,,83926071.0,41755400
vec3 length,nalgebra,,85051961.0,42246640
vec3 length,nalgebra,,85925432.0,42737880
vec3 length,nalgebra,,86964923.0,43229120
vec3 length,nalgebra,,87903719.0,43720360
vec3 length,nalgebra,,88884171.0,44211600
vec3 length,nalgebra,,89976028.0,44702840
vec3 length,nalgebra,,90918795.0,45194080
vec3 length,nalgebra,,91901431.0,45685320
vec3 length,nalgebra,,92972709.0,46176560
vec3 length,nalgebra,,93922930.0,46667800
vec3 length,nalgebra,,94805800.0,47159040
vec3 length,nalgebra,,96150921.0,47650280
vec3 length,nalgebra,,96809834.0,48141520
vec3 length,nalgebra,,97832236.0,48632760
vec3 length,nalgebra,,98713220.0,49124000
