group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
euler 3d,nalgebra,,,,1175639.0,ns,6
euler 3d,nalgebra,,,,2345481.0,ns,12
euler 3d,nalgebra,,,,3521639.0,ns,18
euler 3d,nalgebra,,,,4953411.0,ns,24
euler 3d,nalgebra,,,,5909324.0,ns,30
euler 3d,nalgebra,,,,7098117.0,ns,36
euler 3d,nalgebra,,,,8469359.0,ns,42
euler 3d,nalgebra,,,,9406228.0,ns,48
euler 3d,nalgebra,,,,10613799.0,ns,54
euler 3d,nalgebra,,,,11777077.0,ns,60
euler 3d,nalgebra,,,,12951438.0,ns,66
euler 3d,nalgebra,,,,14163808.0,ns,72
euler 3d,nalgebra,,,,15287484.0,ns,78
euler 3d,nalgebra,,,,16496362.0,ns,84
euler 3d,nalgebra,,,,17625031.0,ns,90
euler 3d,nalgebra,,,,18801929.0,ns,96
euler 3d,nalgebra,,,,19976873.0,ns,102
euler 3d,nalgebra,,,,21189942.0,ns,108
euler 3d,nalgebra,,,,22349974.0,ns,114
euler 3d,nalgebra,,,,23522021.0,ns,120
euler 3d,nalgebra,,,,24667951.0,ns,126
euler 3d,nalgebra,,,,25906445.0,ns,132
euler 3d,nalgebra,,,,27041230.0,ns,138
euler 3d,nalgebra,,,,28210512.0,ns,144
euler 3d,nalgebra,,,,29389945.0,ns,150
euler 3d,nalgebra,,,,30601435.0,ns,156
euler 3d,nalgebra,,,,31755461.0,ns,162
euler 3d,nalgebra,,,,32907202.0,ns,168
euler 3d,nalgebra,,,,34242465.0,ns,174
euler 3d,nalgebra,,,,35454388.0,ns,180
euler 3d,nalgebra,,,,36457217.0,ns,186
euler 3d,nalgebra,,,,38031816.0,ns,192
euler 3d,nalgebra,,,,38793220.0,ns,198
euler 3d,nalgebra,,,,39990407.0,ns,204
euler 3d,nalgebra,,,,41132541.0,ns,210
euler 3d,nalgebra,,,,42413782.0,ns,216
euler 3d,nalgebra,,,,43523150.0,ns,222
euler 3d,nalgebra,,,,44664515.0,ns,228
euler 3d,nalgebra,,,,45857888.0,ns,234
euler 3d,nalgebra,,,,47022321.0,ns,240
euler 3d,nalgebra,,,,48261366.0,ns,246
euler 3d,nalgebra,,,,49353137.0,ns,252
euler 3d,nalgebra,,,,50632744.0,ns,258
euler 3d,nalgebra,,,,51709588.0,ns,264
euler 3d,nalgebra,,,,53225660.0,ns,270
euler 3d,nalgebra,,,,54100262.0,ns,276
euler 3d,nalgebra,,,,55567635.0,ns,282
euler 3d,nalgebra,,,,56413376.0,ns,288
euler 3d,nalgebra,,,,57718870.0,ns,294
euler 3d,nalgebra,,,,58776981.0,ns,300
euler 3d,nalgebra,,,,59980645.0,ns,306
euler 3d,nalgebra,,,,61268596.0,ns,312
euler 3d,nalgebra,,,,62304224.0,ns,318
euler 3d,nalgebra,,,,63460603.0,ns,324
euler 3d,nalgebra,,,,65011989.0,ns,330
euler 3d,nalgebra,,,,65850145.0,ns,336
euler 3d,nalgebra,,,,67133956.0,ns,342
euler 3d,nalgebra,,,,68256652.0,ns,348
euler 3d,nalgebra,,,,69379941.0,ns,354
euler 3d,nalgebra,,,,70966144.0,ns,360
euler 3d,nalgebra,,,,72028791.0,ns,366
euler 3d,nalgebra,,,,72870276.0,ns,372
euler 3d,nalgebra,,,,74140072.0,ns,378
euler 3d,nalgebra,,,,75593032.0,ns,384
euler 3d,nalgebra,,,,76421602.0,ns,390
euler 3d,nalgebra,,,,78033710.0,ns,396
euler 3d,nalgebra,,,,78930874.0,ns,402
euler 3d,nalgebra,,,,80000854.0,ns,408
euler 3d,nalgebra,,,,81189752.0,ns,414
euler 3d,nalgebra,,,,82543934.0,ns,420
euler 3d,nalgebra,,,,83777989.0,ns,426
euler 3d,nalgebra,,,,84726163.0,ns,432
euler 3d,nalgebra,,,,85818561.0,ns,438
euler 3d,nalgebra,,,,86998878.0,ns,444
euler 3d,nalgebra,,,,88205910.0,ns,450
euler 3d,nalgebra,,,,89386661.0,ns,456
euler 3d,nalgebra,,,,90555383.0,ns,462
euler 3d,nalgebra,,,,92112647.0,ns,468
euler 3d,nalgebra,,,,93056215.0,ns,474
euler 3d,nalgebra,,,,94195959.0,ns,480
euler 3d,nalgebra,,,,95244088.0,ns,486
euler 3d,nalgebra,,,,96472997.0,ns,492
euler 3d,nalgebra,,,,97604148.0,ns,498
euler 3d,nalgebra,,,,98743980.0,ns,504
euler 3d,nalgebra,,,,100229357.0,ns,510
euler 3d,nalgebra,,,,101121706.0,ns,516
euler 3d,nalgebra,,,,103009715.0,ns,522
euler 3d,nalgebra,,,,103776296.0,ns,528
euler 3d,nalgebra,,,,104663598.0,ns,534
euler 3d,nalgebra,,,,106154812.0,ns,540
euler 3d,nalgebra,,,,107018651.0,ns,546
euler 3d,nalgebra,,,,108209587.0,ns,552
euler 3d,nalgebra,,,,109402625.0,ns,558
euler 3d,nalgebra,,,,110521697.0,ns,564
euler 3d,nalgebra,,,,112088658.0,ns,570
euler 3d,nalgebra,,,,113267062.0,ns,576
euler 3d,nalgebra,,,,114085538.0,ns,582
euler 3d,nalgebra,,,,115279544.0,ns,588
euler 3d,nalgebra,,,,116439624.0,ns,594
euler 3d,nalgebra,,,,117586172.0,ns,600
