group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mat2 determinant,glam,,,,985427.0,ns,752626
mat2 determinant,glam,,,,1969858.0,ns,1505252
mat2 determinant,glam,,,,2961322.0,ns,2257878
mat2 determinant,glam,,,,4116412.0,ns,3010504
mat2 determinant,glam,,,,5043200.0,ns,3763130
mat2 determinant,glam,,,,5917175.0,ns,4515756
mat2 determinant,glam,,,,7262938.0,ns,5268382
mat2 determinant,glam,,,,7885898.0,ns,6021008
mat2 determinant,glam,,,,8894458.0,ns,6773634
mat2 determinant,glam,,,,9935407.0,ns,7526260
mat2 determinant,glam,,,,10873795.0,ns,8278886
mat2 determinant,glam,,,,11923842.0,ns,9031512
mat2 determinant,glam,,,,12835979.0,ns,9784138
mat2 determinant,glam,,,,13825764.0,ns,10536764
mat2 determinant,glam,,,,14845076.0,ns,11289390
mat2 determinant,glam,,,,15807827.0,ns,12042016
mat2 determinant,glam,,,,16794395.0,ns,12794642
mat2 determinant,glam,,,,17767582.0,ns,13547268
mat2 determinant,glam,,,,18845201.0,ns,14299894
mat2 determinant,glam,,,,19776107.0,ns,15052520
mat2 determinant,glam,,,,20818127.0,ns,15805146
mat2 determinant,glam,,,,21760997.0,ns,16557772
mat2 determinant,glam,,,,22850977.0,ns,17310398
mat2 determinant,glam,,,,23848602.0,ns,18063024
mat2 determinant,glam,,,,24728756.0,ns,18815650
mat2 determinant,glam,,,,25676942.0,ns,19568276
mat2 determinant,glam,,,,26692325.0,ns,20320902
mat2 determinant,glam,,,,27680433.0,ns,21073528
mat2 determinant,glam,,,,29067409.0,ns,21826154
mat2 determinant,glam,,,,29735603.0,ns,22578780
mat2 determinant,glam,,,,30718558.0,ns,23331406
mat2 determinant,glam,,,,31630450.0,ns,24084032
mat2 determinant,glam,,,,32593241.0,ns,24836658
mat2 determinant,glam,,,,33674681.0,ns,25589284
mat2 determinant,glam,,,,34645879.0,ns,26341910
mat2 determinant,glam,,,,35555815.0,ns,27094536
mat2 determinant,glam,,,,36591912.0,ns,27847162
mat2 determinant,glam,,,,37568815.0,ns,28599788
mat2 determinant,glam,,,,38582969.0,ns,29352414
mat2 determinant,glam,,,,39556631.0,ns,30105040
mat2 determinant,glam,,,,40559769.0,ns,30857666
mat2 determinant,glam,,,,41630369.0,ns,31610292
mat2 determinant,glam,,,,42557003.0,ns,32362918
mat2 determinant,glam,,,,43588862.0,ns,33115544
mat2 determinant,glam,,,,44883441.0,ns,33868170
mat2 determinant,glam,,,,45613444.0,ns,34620796
mat2 determinant,glam,,,,46538643.0,ns,35373422
mat2 determinant,glam,,,,47402111.0,ns,36126048
mat2 determinant,glam,,,,48522665.0,ns,36878674
mat2 determinant,glam,,,,49462467.0,ns,37631300
mat2 determinant,glam,,,,50420449.0,ns,38383926
mat2 determinant,glam,,,,51385841.0,ns,39136552
mat2 determinant,glam,,,,52401309.0,ns,39889178
mat2 determinant,glam,,,,53392795.0,ns,40641804
mat2 determinant,glam,,,,54351513.0,ns,41394430
mat2 determinant,glam,,,,55361079.0,ns,42147056
mat2 determinant,glam,,,,56718078.0,ns,42899682
mat2 determinant,glam,,,,57339113.0,ns,43652308
mat2 determinant,glam,,,,58463732.0,ns,44404934
mat2 determinant,glam,,,,59350244.0,ns,45157560
mat2 determinant,glam,,,,60473180.0,ns,45910186
mat2 determinant,glam,,,,61797789.0,ns,46662812
mat2 determinant,glam,,,,62346489.0,ns,47415438
mat2 determinant,glam,,,,63254531.0,ns,48168064
mat2 determinant,glam,,,,64233119.0,ns,48920690
mat2 determinant,glam,,,,65212120.0,ns,49673316
mat2 determinant,glam,,,,66708872.0,ns,50425942
mat2 determinant,glam,,,,67311343.0,ns,51178568
mat2 determinant,glam,,,,68199013.0,ns,51931194
mat2 determinant,glam,,,,69311594.0,ns,52683820
mat2 determinant,glam,,,,70208795.0,ns,53436446
mat2 determinant,glam,,,,71460536.0,ns,54189072
mat2 determinant,glam,,,,72274966.0,ns,54941698
mat2 determinant,glam,,,,73176954.0,ns,55694324
mat2 determinant,glam,,,,74463322.0,ns,56446950
mat2 determinant,glam,,,,75486964.0,ns,57199576
mat2 determinant,glam,,,,76268846.0,ns,57952202
mat2 determinant,glam,,,,77062217.0,ns,58704828
mat2 determinant,glam,,,,78059015.0,ns,59457454
mat2 determinant,glam,,,,79164813.0,ns,60210080
mat2 determinant,glam,,,,80126524.0,ns,60962706
mat2 determinant,glam,,,,81043032.0,ns,61715332
mat2 determinant,glam,,,,82394898.0,ns,62467958
mat2 determinant,glam,,,,83303399.0,ns,63220584
mat2 determinant,glam,,,,84039746.0,ns,63973210
mat2 determinant,glam,,,,84997465.0,ns,64725836
mat2 determinant,glam,,,,86029218.0,ns,65478462
mat2 determinant,glam,,,,87014984.0,ns,66231088
mat2 determinant,glam,,,,88076661.0,ns,66983714
mat2 determinant,glam,,,,89179251.0,ns,67736340
mat2 determinant,glam,,,,89958362.0,ns,68488966
mat2 determinant,glam,,,,90985400.0,ns,69241592
mat2 determinant,glam,,,,92189413.0,ns,69994218
mat2 determinant,glam,,,,92937969.0,ns,70746844
mat2 determinant,glam,,,,93951427.0,ns,71499470
mat2 determinant,glam,,,,94919419.0,ns,72252096
mat2 determinant,glam,,,,95844612.0,ns,73004722
mat2 determinant,glam,,,,96951080.0,ns,73757348
mat2 determinant,glam,,,,97972452.0,ns,74509974
mat2 determinant,glam,,,,98861278.0,ns,75262600
