group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mat2 inverse,cgmath,,,,985876.0,ns,375656
mat2 inverse,cgmath,,,,1964978.0,ns,751312
mat2 inverse,cgmath,,,,2970698.0,ns,1126968
mat2 inverse,cgmath,,,,4090536.0,ns,1502624
mat2 inverse,cgmath,,,,6109272.0,ns,1878280
mat2 inverse,cgmath,,,,5899302.0,ns,2253936
mat2 inverse,cgmath,,,,7681378.0,ns,2629592
mat2 inverse,cgmath,,,,7871779.0,ns,3005248
mat2 inverse,cgmath,,,,8916759.0,ns,3380904
mat2 inverse,cgmath,,,,9878436.0,ns,3756560
mat2 inverse,cgmath,,,,10817298.0,ns,4132216
mat2 inverse,cgmath,,,,11842224.0,ns,4507872
mat2 inverse,cgmath,,,,12867072.0,ns,4883528
mat2 inverse,cgmath,,,,13820019.0,ns,5259184
mat2 inverse,cgmath,,,,14770522.0,ns,5634840
mat2 inverse,cgmath,,,,15755472.0,ns,6010496
mat2 inverse,cgmath,,,,16736900.0,ns,6386152
mat2 inverse,cgmath,,,,18064046.0,ns,6761808
mat2 inverse,cgmath,,,,18744085.0,ns,7137464
mat2 inverse,cgmath,,,,19750206.0,ns,7513120
mat2 inverse,cgmath,,,,20747028.0,ns,7888776
mat2 inverse,cgmath,,,,21654741.0,ns,8264432
mat2 inverse,cgmath,,,,22665800.0,ns,8640088
mat2 inverse,cgmath,,,,23644320.0,ns,9015744
mat2 inverse,cgmath,,,,24628867.0,ns,9391400
mat2 inverse,cgmath,,,,25619574.0,ns,9767056
mat2 inverse,cgmath,,,,26591256.0,ns,10142712
mat2 inverse,cgmath,,,,27600655.0,ns,10518368
mat2 inverse,cgmath,,,,29379853.0,ns,10894024
mat2 inverse,cgmath,,,,29601933.0,ns,11269680
mat2 inverse,cgmath,,,,30562838.0,ns,11645336
mat2 inverse,cgmath,,,,31566654.0,ns,12020992
mat2 inverse,cgmath,,,,32536822.0,ns,12396648
mat2 inverse,cgmath,,,,33478262.0,ns,12772304
mat2 inverse,cgmath,,,,34567601.0,ns,13147960
mat2 inverse,cgmath,,,,35454173.0,ns,13523616
mat2 inverse,cgmath,,,,36495946.0,ns,13899272
mat2 inverse,cgmath,,,,37504009.0,ns,14274928
mat2 inverse,cgmath,,,,38470531.0,ns,14650584
mat2 inverse,cgmath,,,,39504504.0,ns,15026240
mat2 inverse,cgmath,,,,40363424.0,ns,15401896
mat2 inverse,cgmath,,,,41416973.0,ns,15777552
mat2 inverse,cgmath,,,,42427703.0,ns,16153208
mat2 inverse,cgmath,,,,43344612.0,ns,16528864
mat2 inverse,cgmath,,,,45475160.0,ns,16904520
mat2 inverse,cgmath,,,,45438857.0,ns,17280176
mat2 inverse,cgmath,,,,46369528.0,ns,17655832
mat2 inverse,cgmath,,,,47266066.0,ns,18031488
mat2 inverse,cgmath,,,,48636250.0,ns,18407144
mat2 inverse,cgmath,,,,49396811.0,ns,18782800
mat2 inverse,cgmath,,,,50300302.0,ns,19158456
mat2 inverse,cgmath,,,,51193516.0,ns,19534112
mat2 inverse,cgmath,,,,52307071.0,ns,19909768
mat2 inverse,cgmath,,,,53201762.0,ns,20285424
mat2 inverse,cgmath,,,,54236393.0,ns,20661080
mat2 inverse,cgmath,,,,55186052.0,ns,21036736
mat2 inverse,cgmath,,,,56868266.0,ns,21412392
mat2 inverse,cgmath,,,,57208150.0,ns,21788048
mat2 inverse,cgmath,,,,58173626.0,ns,22163704
mat2 inverse,cgmath,,,,59276970.0,ns,22539360
mat2 inverse,cgmath,,,,60124039.0,ns,22915016
mat2 inverse,cgmath,,,,61166181.0,ns,23290672
mat2 inverse,cgmath,,,,62205800.0,ns,23666328
mat2 inverse,cgmath,,,,63228047.0,ns,24041984
mat2 inverse,cgmath,,,,64066218.0,ns,24417640
mat2 inverse,cgmath,,,,65064572.0,ns,24793296
mat2 inverse,cgmath,,,,66841288.0,ns,25168952
mat2 inverse,cgmath,,,,67051450.0,ns,25544608
mat2 inverse,cgmath,,,,68071617.0,ns,25920264
mat2 inverse,cgmath,,,,69015989.0,ns,26295920
mat2 inverse,cgmath,,,,70042651.0,ns,26671576
mat2 inverse,cgmath,,,,70994101.0,ns,27047232
mat2 inverse,cgmath,,,,71930861.0,ns,27422888
mat2 inverse,cgmath,,,,72976134.0,ns,27798544
mat2 inverse,cgmath,,,,74198408.0,ns,28174200
mat2 inverse,cgmath,,,,75541679.0,ns,28549856
mat2 inverse,cgmath,,,,75957654.0,ns,28925512
mat2 inverse,cgmath,,,,76970967.0,ns,29301168
mat2 inverse,cgmath,,,,77972881.0,ns,29676824
mat2 inverse,cgmath,,,,79204082.0,ns,30052480
mat2 inverse,cgmath,,,,79796282.0,ns,30428136
mat2 inverse,cgmath,,,,80820202.0,ns,30803792
mat2 inverse,cgmath,,,,82513380.0,ns,31179448
mat2 inverse,cgmath,,,,82829660.0,ns,31555104
mat2 inverse,cgmath,,,,83874188.0,ns,31930760
mat2 inverse,cgmath,,,,84985433.0,ns,32306416
mat2 inverse,cgmath,,,,85754816.0,ns,32682072
mat2 inverse,cgmath,,,,86801400.0,ns,33057728
mat2 inverse,cgmath,,,,87737891.0,ns,33433384
mat2 inverse,cgmath,,,,89989639.0,ns,33809040
mat2 inverse,cgmath,,,,89806323.0,ns,34184696
mat2 inverse,cgmath,,,,134905862.0,ns,34560352
mat2 inverse,cgmath,,,,157214375.0,ns,34936008
mat2 inverse,cgmath,,,,92674140.0,ns,35311664
mat2 inverse,cgmath,,,,93702724.0,ns,35687320
mat2 inverse,cgmath,,,,94661099.0,ns,36062976
mat2 inverse,cgmath,,,,96149182.0,ns,36438632
mat2 inverse,cgmath,,,,96723889.0,ns,36814288
mat2 inverse,cgmath,,,,97632334.0,ns,37189944
mat2 inverse,cgmath,,,,98556184.0,ns,37565600
