group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mat2 inverse,nalgebra,,,,1002605.0,ns,374610
mat2 inverse,nalgebra,,,,2016001.0,ns,749220
mat2 inverse,nalgebra,,,,2949607.0,ns,1123830
mat2 inverse,nalgebra,,,,4072762.0,ns,1498440
mat2 inverse,nalgebra,,,,6061878.0,ns,1873050
mat2 inverse,nalgebra,,,,5992111.0,ns,2247660
mat2 inverse,nalgebra,,,,7830918.0,ns,2622270
mat2 inverse,nalgebra,,,,8019856.0,ns,2996880
mat2 inverse,nalgebra,,,,8908703.0,ns,3371490
mat2 inverse,nalgebra,,,,9847920.0,ns,3746100
mat2 inverse,nalgebra,,,,11194552.0,ns,4120710
mat2 inverse,nalgebra,,,,11828176.0,ns,4495320
mat2 inverse,nalgebra,,,,13157081.0,ns,4869930
mat2 inverse,nalgebra,,,,13782462.0,ns,5244540
mat2 inverse,nalgebra,,,,14782172.0,ns,5619150
mat2 inverse,nalgebra,,,,15878329.0,ns,5993760
mat2 inverse,nalgebra,,,,16818567.0,ns,6368370
mat2 inverse,nalgebra,,,,17705284.0,ns,6742980
mat2 inverse,nalgebra,,,,18717591.0,ns,7117590
mat2 inverse,nalgebra,,,,19730755.0,ns,7492200
mat2 inverse,nalgebra,,,,20664385.0,ns,7866810
mat2 inverse,nalgebra,,,,21722103.0,ns,8241420
mat2 inverse,nalgebra,,,,23283550.0,ns,8616030
mat2 inverse,nalgebra,,,,23733530.0,ns,8990640
mat2 inverse,nalgebra,,,,24614061.0,ns,9365250
mat2 inverse,nalgebra,,,,25714104.0,ns,9739860
mat2 inverse,nalgebra,,,,26726733.0,ns,10114470
mat2 inverse,nalgebra,,,,27632377.0,ns,10489080
mat2 inverse,nalgebra,,,,28784376.0,ns,10863690
mat2 inverse,nalgebra,,,,29567759.0,ns,11238300
mat2 inverse,nalgebra,,,,30837490.0,ns,11612910
mat2 inverse,nalgebra,,,,31673134.0,ns,11987520
mat2 inverse,nalgebra,,,,32592669.0,ns,12362130
mat2 inverse,nalgebra,,,,33549899.0,ns,12736740
mat2 inverse,nalgebra,,,,34597107.0,ns,13111350
mat2 inverse,nalgebra,,,,35498270.0,ns,13485960
mat2 inverse,nalgebra,,,,36407312.0,ns,13860570
mat2 inverse,nalgebra,,,,37522765.0,ns,14235180
mat2 inverse,nalgebra,,,,38453757.0,ns,14609790
mat2 inverse,nalgebra,,,,39390849.0,ns,14984400
mat2 inverse,nalgebra,,,,40437085.0,ns,15359010
mat2 inverse,nalgebra,,,,41874690.0,ns,15733620
mat2 inverse,nalgebra,,,,42420182.0,ns,16108230
mat2 inverse,nalgebra,,,,43299511.0,ns,16482840
mat2 inverse,nalgebra,,,,44412193.0,ns,16857450
mat2 inverse,nalgebra,,,,45365788.0,ns,17232060
mat2 inverse,nalgebra,,,,46538800.0,ns,17606670
mat2 inverse,nalgebra,,,,47715726.0,ns,17981280
mat2 inverse,nalgebra,,,,48334340.0,ns,18355890
mat2 inverse,nalgebra,,,,49280241.0,ns,18730500
mat2 inverse,nalgebra,,,,50193172.0,ns,19105110
mat2 inverse,nalgebra,,,,51294823.0,ns,19479720
mat2 inverse,nalgebra,,,,52183973.0,ns,19854330
mat2 inverse,nalgebra,,,,53918124.0,ns,20228940
mat2 inverse,nalgebra,,,,54620821.0,ns,20603550
mat2 inverse,nalgebra,,,,55213274.0,ns,20978160
mat2 inverse,nalgebra,,,,56268610.0,ns,21352770
mat2 inverse,nalgebra,,,,57064378.0,ns,21727380
mat2 inverse,nalgebra,,,,58272397.0,ns,22101990
mat2 inverse,nalgebra,,,,59088603.0,ns,22476600
mat2 inverse,nalgebra,,,,60093582.0,ns,22851210
mat2 inverse,nalgebra,,,,61150873.0,ns,23225820
mat2 inverse,nalgebra,,,,62268519.0,ns,23600430
mat2 inverse,nalgebra,,,,63044710.0,ns,23975040
mat2 inverse,nalgebra,,,,64433391.0,ns,24349650
mat2 inverse,nalgebra,,,,65090752.0,ns,24724260
mat2 inverse,nalgebra,,,,66049487.0,ns,25098870
mat2 inverse,nalgebra,,,,66948863.0,ns,25473480
mat2 inverse,nalgebra,,,,67977096.0,ns,25848090
mat2 inverse,nalgebra,,,,68998295.0,ns,26222700
mat2 inverse,nalgebra,,,,70015484.0,ns,26597310
mat2 inverse,nalgebra,,,,70941707.0,ns,26971920
mat2 inverse,nalgebra,,,,72368744.0,ns,27346530
mat2 inverse,nalgebra,,,,73217370.0,ns,27721140
mat2 inverse,nalgebra,,,,74082061.0,ns,28095750
mat2 inverse,nalgebra,,,,74856823.0,ns,28470360
mat2 inverse,nalgebra,,,,76154161.0,ns,28844970
mat2 inverse,nalgebra,,,,77584391.0,ns,29219580
mat2 inverse,nalgebra,,,,77993535.0,ns,29594190
mat2 inverse,nalgebra,,,,78906706.0,ns,29968800
mat2 inverse,nalgebra,,,,80465395.0,ns,30343410
mat2 inverse,nalgebra,,,,80800354.0,ns,30718020
mat2 inverse,nalgebra,,,,81774566.0,ns,31092630
mat2 inverse,nalgebra,,,,82879710.0,ns,31467240
mat2 inverse,nalgebra,,,,83950786.0,ns,31841850
mat2 inverse,nalgebra,,,,84711718.0,ns,32216460
mat2 inverse,nalgebra,,,,85833185.0,ns,32591070
mat2 inverse,nalgebra,,,,87311064.0,ns,32965680
mat2 inverse,nalgebra,,,,87887918.0,ns,33340290
mat2 inverse,nalgebra,,,,88815331.0,ns,33714900
mat2 inverse,nalgebra,,,,89804969.0,ns,34089510
mat2 inverse,nalgebra,,,,90611570.0,ns,34464120
mat2 inverse,nalgebra,,,,91616326.0,ns,34838730
mat2 inverse,nalgebra,,,,92855612.0,ns,35213340
mat2 inverse,nalgebra,,,,93885477.0,ns,35587950
mat2 inverse,nalgebra,,,,94655910.0,ns,35962560
mat2 inverse,nalgebra,,,,95530144.0,ns,36337170
mat2 inverse,nalgebra,,,,96692603.0,ns,36711780
mat2 inverse,nalgebra,,,,97818608.0,ns,37086390
mat2 inverse,nalgebra,,,,98563690.0,ns,37461000
