group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mat2 transform vector2,glam,,,,10347.0,ns,3486
mat2 transform vector2,glam,,,,20705.0,ns,6972
mat2 transform vector2,glam,,,,30980.0,ns,10458
mat2 transform vector2,glam,,,,41365.0,ns,13944
mat2 transform vector2,glam,,,,51633.0,ns,17430
mat2 transform vector2,glam,,,,61951.0,ns,20916
mat2 transform vector2,glam,,,,72219.0,ns,24402
mat2 transform vector2,glam,,,,82545.0,ns,27888
mat2 transform vector2,glam,,,,92850.0,ns,31374
mat2 transform vector2,glam,,,,103164.0,ns,34860
mat2 transform vector2,glam,,,,113515.0,ns,38346
mat2 transform vector2,glam,,,,123919.0,ns,41832
mat2 transform vector2,glam,,,,148843.0,ns,45318
mat2 transform vector2,glam,,,,144540.0,ns,48804
mat2 transform vector2,glam,,,,154768.0,ns,52290
mat2 transform vector2,glam,,,,165175.0,ns,55776
mat2 transform vector2,glam,,,,195028.0,ns,59262
mat2 transform vector2,glam,,,,216003.0,ns,62748
mat2 transform vector2,glam,,,,201985.0,ns,66234
mat2 transform vector2,glam,,,,212599.0,ns,69720
mat2 transform vector2,glam,,,,263839.0,ns,73206
mat2 transform vector2,glam,,,,240609.0,ns,76692
mat2 transform vector2,glam,,,,251849.0,ns,80178
mat2 transform vector2,glam,,,,267548.0,ns,83664
mat2 transform vector2,glam,,,,258068.0,ns,87150
mat2 transform vector2,glam,,,,268294.0,ns,90636
mat2 transform vector2,glam,,,,336343.0,ns,94122
mat2 transform vector2,glam,,,,288904.0,ns,97608
mat2 transform vector2,glam,,,,308057.0,ns,101094
mat2 transform vector2,glam,,,,352521.0,ns,104580
mat2 transform vector2,glam,,,,320013.0,ns,108066
mat2 transform vector2,glam,,,,331617.0,ns,111552
mat2 transform vector2,glam,,,,506074.0,ns,115038
mat2 transform vector2,glam,,,,350917.0,ns,118524
mat2 transform vector2,glam,,,,360985.0,ns,122010
mat2 transform vector2,glam,,,,371338.0,ns,125496
mat2 transform vector2,glam,,,,381570.0,ns,128982
mat2 transform vector2,glam,,,,415712.0,ns,132468
mat2 transform vector2,glam,,,,426938.0,ns,135954
mat2 transform vector2,glam,,,,412803.0,ns,139440
mat2 transform vector2,glam,,,,630062.0,ns,142926
mat2 transform vector2,glam,,,,433630.0,ns,146412
mat2 transform vector2,glam,,,,443470.0,ns,149898
mat2 transform vector2,glam,,,,455547.0,ns,153384
mat2 transform vector2,glam,,,,464393.0,ns,156870
mat2 transform vector2,glam,,,,474808.0,ns,160356
mat2 transform vector2,glam,,,,484950.0,ns,163842
mat2 transform vector2,glam,,,,494991.0,ns,167328
mat2 transform vector2,glam,,,,505746.0,ns,170814
mat2 transform vector2,glam,,,,516032.0,ns,174300
mat2 transform vector2,glam,,,,526274.0,ns,177786
mat2 transform vector2,glam,,,,536462.0,ns,181272
mat2 transform vector2,glam,,,,758183.0,ns,184758
mat2 transform vector2,glam,,,,770995.0,ns,188244
mat2 transform vector2,glam,,,,567680.0,ns,191730
mat2 transform vector2,glam,,,,577866.0,ns,195216
mat2 transform vector2,glam,,,,588101.0,ns,198702
mat2 transform vector2,glam,,,,598322.0,ns,202188
mat2 transform vector2,glam,,,,608599.0,ns,205674
mat2 transform vector2,glam,,,,619168.0,ns,209160
mat2 transform vector2,glam,,,,629405.0,ns,212646
mat2 transform vector2,glam,,,,659773.0,ns,216132
mat2 transform vector2,glam,,,,670235.0,ns,219618
mat2 transform vector2,glam,,,,660148.0,ns,223104
mat2 transform vector2,glam,,,,672302.0,ns,226590
mat2 transform vector2,glam,,,,681264.0,ns,230076
mat2 transform vector2,glam,,,,691173.0,ns,233562
mat2 transform vector2,glam,,,,701358.0,ns,237048
mat2 transform vector2,glam,,,,712288.0,ns,240534
mat2 transform vector2,glam,,,,722619.0,ns,244020
mat2 transform vector2,glam,,,,732511.0,ns,247506
mat2 transform vector2,glam,,,,742909.0,ns,250992
mat2 transform vector2,glam,,,,753048.0,ns,254478
mat2 transform vector2,glam,,,,763793.0,ns,257964
mat2 transform vector2,glam,,,,773828.0,ns,261450
mat2 transform vector2,glam,,,,784264.0,ns,264936
mat2 transform vector2,glam,,,,794380.0,ns,268422
mat2 transform vector2,glam,,,,804956.0,ns,271908
mat2 transform vector2,glam,,,,1126367.0,ns,275394
mat2 transform vector2,glam,,,,1141588.0,ns,278880
mat2 transform vector2,glam,,,,1153351.0,ns,282366
mat2 transform vector2,glam,,,,1191212.0,ns,285852
mat2 transform vector2,glam,,,,1183696.0,ns,289338
mat2 transform vector2,glam,,,,872972.0,ns,292824
mat2 transform vector2,glam,,,,1211609.0,ns,296310
mat2 transform vector2,glam,,,,1223887.0,ns,299796
mat2 transform vector2,glam,,,,897999.0,ns,303282
mat2 transform vector2,glam,,,,908339.0,ns,306768
mat2 transform vector2,glam,,,,918220.0,ns,310254
mat2 transform vector2,glam,,,,928315.0,ns,313740
mat2 transform vector2,glam,,,,938787.0,ns,317226
mat2 transform vector2,glam,,,,1333311.0,ns,320712
mat2 transform vector2,glam,,,,959708.0,ns,324198
mat2 transform vector2,glam,,,,969845.0,ns,327684
mat2 transform vector2,glam,,,,981327.0,ns,331170
mat2 transform vector2,glam,,,,1010900.0,ns,334656
mat2 transform vector2,glam,,,,1000810.0,ns,338142
mat2 transform vector2,glam,,,,1011683.0,ns,341628
mat2 transform vector2,glam,,,,1021467.0,ns,345114
mat2 transform vector2,glam,,,,1033547.0,ns,348600
