group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mat3 mul mat3,glam,,,,7713.0,ns,1589
mat3 mul mat3,glam,,,,15398.0,ns,3178
mat3 mul mat3,glam,,,,23054.0,ns,4767
mat3 mul mat3,glam,,,,32748.0,ns,6356
mat3 mul mat3,glam,,,,38396.0,ns,7945
mat3 mul mat3,glam,,,,46109.0,ns,9534
mat3 mul mat3,glam,,,,55480.0,ns,11123
mat3 mul mat3,glam,,,,61539.0,ns,12712
mat3 mul mat3,glam,,,,69238.0,ns,14301
mat3 mul mat3,glam,,,,76947.0,ns,15890
mat3 mul mat3,glam,,,,84651.0,ns,17479
mat3 mul mat3,glam,,,,92210.0,ns,19068
mat3 mul mat3,glam,,,,99936.0,ns,20657
mat3 mul mat3,glam,,,,109066.0,ns,22246
mat3 mul mat3,glam,,,,115305.0,ns,23835
mat3 mul mat3,glam,,,,122896.0,ns,25424
mat3 mul mat3,glam,,,,130589.0,ns,27013
mat3 mul mat3,glam,,,,138401.0,ns,28602
mat3 mul mat3,glam,,,,146138.0,ns,30191
mat3 mul mat3,glam,,,,153767.0,ns,31780
mat3 mul mat3,glam,,,,161519.0,ns,33369
mat3 mul mat3,glam,,,,169244.0,ns,34958
mat3 mul mat3,glam,,,,176817.0,ns,36547
mat3 mul mat3,glam,,,,184445.0,ns,38136
mat3 mul mat3,glam,,,,192256.0,ns,39725
mat3 mul mat3,glam,,,,199756.0,ns,41314
mat3 mul mat3,glam,,,,207587.0,ns,42903
mat3 mul mat3,glam,,,,215293.0,ns,44492
mat3 mul mat3,glam,,,,222816.0,ns,46081
mat3 mul mat3,glam,,,,230568.0,ns,47670
mat3 mul mat3,glam,,,,238309.0,ns,49259
mat3 mul mat3,glam,,,,246156.0,ns,50848
mat3 mul mat3,glam,,,,253684.0,ns,52437
mat3 mul mat3,glam,,,,261349.0,ns,54026
mat3 mul mat3,glam,,,,269043.0,ns,55615
mat3 mul mat3,glam,,,,276676.0,ns,57204
mat3 mul mat3,glam,,,,284615.0,ns,58793
mat3 mul mat3,glam,,,,292033.0,ns,60382
mat3 mul mat3,glam,,,,299805.0,ns,61971
mat3 mul mat3,glam,,,,307504.0,ns,63560
mat3 mul mat3,glam,,,,315121.0,ns,65149
mat3 mul mat3,glam,,,,342933.0,ns,66738
mat3 mul mat3,glam,,,,330595.0,ns,68327
mat3 mul mat3,glam,,,,338210.0,ns,69916
mat3 mul mat3,glam,,,,345950.0,ns,71505
mat3 mul mat3,glam,,,,353565.0,ns,73094
mat3 mul mat3,glam,,,,361321.0,ns,74683
mat3 mul mat3,glam,,,,369024.0,ns,76272
mat3 mul mat3,glam,,,,376617.0,ns,77861
mat3 mul mat3,glam,,,,384539.0,ns,79450
mat3 mul mat3,glam,,,,393507.0,ns,81039
mat3 mul mat3,glam,,,,399629.0,ns,82628
mat3 mul mat3,glam,,,,407387.0,ns,84217
mat3 mul mat3,glam,,,,415120.0,ns,85806
mat3 mul mat3,glam,,,,422728.0,ns,87395
mat3 mul mat3,glam,,,,430390.0,ns,88984
mat3 mul mat3,glam,,,,438097.0,ns,90573
mat3 mul mat3,glam,,,,445820.0,ns,92162
mat3 mul mat3,glam,,,,453460.0,ns,93751
mat3 mul mat3,glam,,,,461224.0,ns,95340
mat3 mul mat3,glam,,,,470513.0,ns,96929
mat3 mul mat3,glam,,,,476523.0,ns,98518
mat3 mul mat3,glam,,,,485839.0,ns,100107
mat3 mul mat3,glam,,,,492057.0,ns,101696
mat3 mul mat3,glam,,,,501466.0,ns,103285
mat3 mul mat3,glam,,,,507281.0,ns,104874
mat3 mul mat3,glam,,,,515184.0,ns,106463
mat3 mul mat3,glam,,,,522648.0,ns,108052
mat3 mul mat3,glam,,,,530506.0,ns,109641
mat3 mul mat3,glam,,,,537970.0,ns,111230
mat3 mul mat3,glam,,,,565964.0,ns,112819
mat3 mul mat3,glam,,,,553462.0,ns,114408
mat3 mul mat3,glam,,,,561040.0,ns,115997
mat3 mul mat3,glam,,,,570371.0,ns,117586
mat3 mul mat3,glam,,,,576606.0,ns,119175
mat3 mul mat3,glam,,,,584356.0,ns,120764
mat3 mul mat3,glam,,,,591851.0,ns,122353
mat3 mul mat3,glam,,,,599667.0,ns,123942
mat3 mul mat3,glam,,,,607314.0,ns,125531
mat3 mul mat3,glam,,,,635473.0,ns,127120
mat3 mul mat3,glam,,,,622685.0,ns,128709
mat3 mul mat3,glam,,,,630274.0,ns,130298
mat3 mul mat3,glam,,,,659630.0,ns,131887
mat3 mul mat3,glam,,,,645755.0,ns,133476
mat3 mul mat3,glam,,,,654799.0,ns,135065
mat3 mul mat3,glam,,,,661220.0,ns,136654
mat3 mul mat3,glam,,,,668742.0,ns,138243
mat3 mul mat3,glam,,,,676365.0,ns,139832
mat3 mul mat3,glam,,,,684251.0,ns,141421
mat3 mul mat3,glam,,,,691852.0,ns,143010
mat3 mul mat3,glam,,,,699392.0,ns,144599
mat3 mul mat3,glam,,,,727458.0,ns,146188
mat3 mul mat3,glam,,,,714911.0,ns,147777
mat3 mul mat3,glam,,,,722637.0,ns,149366
mat3 mul mat3,glam,,,,751740.0,ns,150955
mat3 mul mat3,glam,,,,737997.0,ns,152544
mat3 mul mat3,glam,,,,745503.0,ns,154133
mat3 mul mat3,glam,,,,753490.0,ns,155722
mat3 mul mat3,glam,,,,761002.0,ns,157311
mat3 mul mat3,glam,,,,768957.0,ns,158900
