group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mat3 transform vector3,nalgebra,,,,8209.0,ns,997
mat3 transform vector3,nalgebra,,,,15461.0,ns,1994
mat3 transform vector3,nalgebra,,,,23172.0,ns,2991
mat3 transform vector3,nalgebra,,,,34868.0,ns,3988
mat3 transform vector3,nalgebra,,,,38605.0,ns,4985
mat3 transform vector3,nalgebra,,,,46314.0,ns,5982
mat3 transform vector3,nalgebra,,,,54024.0,ns,6979
mat3 transform vector3,nalgebra,,,,61759.0,ns,7976
mat3 transform vector3,nalgebra,,,,69467.0,ns,8973
mat3 transform vector3,nalgebra,,,,77179.0,ns,9970
mat3 transform vector3,nalgebra,,,,84901.0,ns,10967
mat3 transform vector3,nalgebra,,,,92610.0,ns,11964
mat3 transform vector3,nalgebra,,,,100333.0,ns,12961
mat3 transform vector3,nalgebra,,,,108042.0,ns,13958
mat3 transform vector3,nalgebra,,,,115753.0,ns,14955
mat3 transform vector3,nalgebra,,,,123474.0,ns,15952
mat3 transform vector3,nalgebra,,,,131197.0,ns,16949
mat3 transform vector3,nalgebra,,,,138908.0,ns,17946
mat3 transform vector3,nalgebra,,,,146618.0,ns,18943
mat3 transform vector3,nalgebra,,,,154339.0,ns,19940
mat3 transform vector3,nalgebra,,,,162051.0,ns,20937
mat3 transform vector3,nalgebra,,,,169772.0,ns,21934
mat3 transform vector3,nalgebra,,,,177482.0,ns,22931
mat3 transform vector3,nalgebra,,,,205266.0,ns,23928
mat3 transform vector3,nalgebra,,,,192914.0,ns,24925
mat3 transform vector3,nalgebra,,,,202127.0,ns,25922
mat3 transform vector3,nalgebra,,,,208346.0,ns,26919
mat3 transform vector3,nalgebra,,,,216055.0,ns,27916
mat3 transform vector3,nalgebra,,,,223778.0,ns,28913
mat3 transform vector3,nalgebra,,,,231489.0,ns,29910
mat3 transform vector3,nalgebra,,,,239198.0,ns,30907
mat3 transform vector3,nalgebra,,,,246922.0,ns,31904
mat3 transform vector3,nalgebra,,,,254643.0,ns,32901
mat3 transform vector3,nalgebra,,,,262352.0,ns,33898
mat3 transform vector3,nalgebra,,,,270075.0,ns,34895
mat3 transform vector3,nalgebra,,,,277773.0,ns,35892
mat3 transform vector3,nalgebra,,,,285495.0,ns,36889
mat3 transform vector3,nalgebra,,,,294715.0,ns,37886
mat3 transform vector3,nalgebra,,,,300927.0,ns,38883
mat3 transform vector3,nalgebra,,,,308638.0,ns,39880
mat3 transform vector3,nalgebra,,,,316359.0,ns,40877
mat3 transform vector3,nalgebra,,,,324081.0,ns,41874
mat3 transform vector3,nalgebra,,,,331793.0,ns,42871
mat3 transform vector3,nalgebra,,,,339501.0,ns,43868
mat3 transform vector3,nalgebra,,,,347223.0,ns,44865
mat3 transform vector3,nalgebra,,,,354933.0,ns,45862
mat3 transform vector3,nalgebra,,,,364121.0,ns,46859
mat3 transform vector3,nalgebra,,,,370365.0,ns,47856
mat3 transform vector3,nalgebra,,,,378077.0,ns,48853
mat3 transform vector3,nalgebra,,,,385797.0,ns,49850
mat3 transform vector3,nalgebra,,,,393510.0,ns,50847
mat3 transform vector3,nalgebra,,,,402684.0,ns,51844
mat3 transform vector3,nalgebra,,,,408941.0,ns,52841
mat3 transform vector3,nalgebra,,,,416662.0,ns,53838
mat3 transform vector3,nalgebra,,,,424373.0,ns,54835
mat3 transform vector3,nalgebra,,,,432085.0,ns,55832
mat3 transform vector3,nalgebra,,,,439805.0,ns,56829
mat3 transform vector3,nalgebra,,,,447526.0,ns,57826
mat3 transform vector3,nalgebra,,,,455237.0,ns,58823
mat3 transform vector3,nalgebra,,,,462960.0,ns,59820
mat3 transform vector3,nalgebra,,,,470671.0,ns,60817
mat3 transform vector3,nalgebra,,,,478380.0,ns,61814
mat3 transform vector3,nalgebra,,,,486101.0,ns,62811
mat3 transform vector3,nalgebra,,,,493812.0,ns,63808
mat3 transform vector3,nalgebra,,,,501534.0,ns,64805
mat3 transform vector3,nalgebra,,,,509244.0,ns,65802
mat3 transform vector3,nalgebra,,,,516953.0,ns,66799
mat3 transform vector3,nalgebra,,,,526136.0,ns,67796
mat3 transform vector3,nalgebra,,,,532387.0,ns,68793
mat3 transform vector3,nalgebra,,,,540109.0,ns,69790
mat3 transform vector3,nalgebra,,,,631280.0,ns,70787
mat3 transform vector3,nalgebra,,,,583568.0,ns,71784
mat3 transform vector3,nalgebra,,,,563250.0,ns,72781
mat3 transform vector3,nalgebra,,,,570972.0,ns,73778
mat3 transform vector3,nalgebra,,,,580368.0,ns,74775
mat3 transform vector3,nalgebra,,,,586405.0,ns,75772
mat3 transform vector3,nalgebra,,,,594114.0,ns,76769
mat3 transform vector3,nalgebra,,,,601826.0,ns,77766
mat3 transform vector3,nalgebra,,,,609546.0,ns,78763
mat3 transform vector3,nalgebra,,,,617256.0,ns,79760
mat3 transform vector3,nalgebra,,,,624979.0,ns,80757
mat3 transform vector3,nalgebra,,,,638246.0,ns,81754
mat3 transform vector3,nalgebra,,,,640400.0,ns,82751
mat3 transform vector3,nalgebra,,,,648121.0,ns,83748
mat3 transform vector3,nalgebra,,,,655843.0,ns,84745
mat3 transform vector3,nalgebra,,,,663554.0,ns,85742
mat3 transform vector3,nalgebra,,,,671264.0,ns,86739
mat3 transform vector3,nalgebra,,,,678986.0,ns,87736
mat3 transform vector3,nalgebra,,,,686696.0,ns,88733
mat3 transform vector3,nalgebra,,,,694420.0,ns,89730
mat3 transform vector3,nalgebra,,,,703594.0,ns,90727
mat3 transform vector3,nalgebra,,,,709850.0,ns,91724
mat3 transform vector3,nalgebra,,,,717560.0,ns,92721
mat3 transform vector3,nalgebra,,,,725269.0,ns,93718
mat3 transform vector3,nalgebra,,,,732992.0,ns,94715
mat3 transform vector3,nalgebra,,,,740704.0,ns,95712
mat3 transform vector3,nalgebra,,,,748424.0,ns,96709
mat3 transform vector3,nalgebra,,,,756134.0,ns,97706
mat3 transform vector3,nalgebra,,,,763858.0,ns,98703
mat3 transform vector3,nalgebra,,,,773044.0,ns,99700
