group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mat3 transpose,cgmath,,,,1111624.0,ns,280679
mat3 transpose,cgmath,,,,2098010.0,ns,561358
mat3 transpose,cgmath,,,,3079901.0,ns,842037
mat3 transpose,cgmath,,,,4266878.0,ns,1122716
mat3 transpose,cgmath,,,,5054258.0,ns,1403395
mat3 transpose,cgmath,,,,6111593.0,ns,1684074
mat3 transpose,cgmath,,,,7349197.0,ns,1964753
mat3 transpose,cgmath,,,,8055057.0,ns,2245432
mat3 transpose,cgmath,,,,9042477.0,ns,2526111
mat3 transpose,cgmath,,,,9988389.0,ns,2806790
mat3 transpose,cgmath,,,,10957639.0,ns,3087469
mat3 transpose,cgmath,,,,11941174.0,ns,3368148
mat3 transpose,cgmath,,,,13022613.0,ns,3648827
mat3 transpose,cgmath,,,,13945057.0,ns,3929506
mat3 transpose,cgmath,,,,14894789.0,ns,4210185
mat3 transpose,cgmath,,,,15876317.0,ns,4490864
mat3 transpose,cgmath,,,,16936564.0,ns,4771543
mat3 transpose,cgmath,,,,18095675.0,ns,5052222
mat3 transpose,cgmath,,,,18905952.0,ns,5332901
mat3 transpose,cgmath,,,,19877778.0,ns,5613580
mat3 transpose,cgmath,,,,20800785.0,ns,5894259
mat3 transpose,cgmath,,,,21785363.0,ns,6174938
mat3 transpose,cgmath,,,,22800035.0,ns,6455617
mat3 transpose,cgmath,,,,23774155.0,ns,6736296
mat3 transpose,cgmath,,,,24755403.0,ns,7016975
mat3 transpose,cgmath,,,,25723388.0,ns,7297654
mat3 transpose,cgmath,,,,26729173.0,ns,7578333
mat3 transpose,cgmath,,,,27757465.0,ns,7859012
mat3 transpose,cgmath,,,,28674735.0,ns,8139691
mat3 transpose,cgmath,,,,29681615.0,ns,8420370
mat3 transpose,cgmath,,,,30790340.0,ns,8701049
mat3 transpose,cgmath,,,,31816294.0,ns,8981728
mat3 transpose,cgmath,,,,32610693.0,ns,9262407
mat3 transpose,cgmath,,,,33791050.0,ns,9543086
mat3 transpose,cgmath,,,,34644283.0,ns,9823765
mat3 transpose,cgmath,,,,35620652.0,ns,10104444
mat3 transpose,cgmath,,,,36589876.0,ns,10385123
mat3 transpose,cgmath,,,,37825260.0,ns,10665802
mat3 transpose,cgmath,,,,39652150.0,ns,10946481
mat3 transpose,cgmath,,,,39948262.0,ns,11227160
mat3 transpose,cgmath,,,,40532518.0,ns,11507839
mat3 transpose,cgmath,,,,41505552.0,ns,11788518
mat3 transpose,cgmath,,,,42461548.0,ns,12069197
mat3 transpose,cgmath,,,,43439273.0,ns,12349876
