group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mat4 determinant,cgmath,,,,1105692.0,ns,87425
mat4 determinant,cgmath,,,,2084271.0,ns,174850
mat4 determinant,cgmath,,,,3081802.0,ns,262275
mat4 determinant,cgmath,,,,4129603.0,ns,349700
mat4 determinant,cgmath,,,,5023285.0,ns,437125
mat4 determinant,cgmath,,,,6066869.0,ns,524550
mat4 determinant,cgmath,,,,7365797.0,ns,611975
mat4 determinant,cgmath,,,,7978365.0,ns,699400
mat4 determinant,cgmath,,,,8984141.0,ns,786825
mat4 determinant,cgmath,,,,9952858.0,ns,874250
mat4 determinant,cgmath,,,,10960331.0,ns,961675
mat4 determinant,cgmath,,,,11913870.0,ns,1049100
mat4 determinant,cgmath,,,,12895002.0,ns,1136525
mat4 determinant,cgmath,,,,13835397.0,ns,1223950
mat4 determinant,cgmath,,,,14823513.0,ns,1311375
mat4 determinant,cgmath,,,,15802520.0,ns,1398800
mat4 determinant,cgmath,,,,16784096.0,ns,1486225
mat4 determinant,cgmath,,,,17764819.0,ns,1573650
mat4 determinant,cgmath,,,,18722644.0,ns,1661075
mat4 determinant,cgmath,,,,19710468.0,ns,1748500
mat4 determinant,cgmath,,,,20764737.0,ns,1835925
mat4 determinant,cgmath,,,,21705028.0,ns,1923350
mat4 determinant,cgmath,,,,22668318.0,ns,2010775
mat4 determinant,cgmath,,,,23701849.0,ns,2098200
mat4 determinant,cgmath,,,,24615664.0,ns,2185625
mat4 determinant,cgmath,,,,25587933.0,ns,2273050
mat4 determinant,cgmath,,,,27189833.0,ns,2360475
mat4 determinant,cgmath,,,,27555738.0,ns,2447900
mat4 determinant,cgmath,,,,28504809.0,ns,2535325
mat4 determinant,cgmath,,,,29652888.0,ns,2622750
mat4 determinant,cgmath,,,,30684836.0,ns,2710175
mat4 determinant,cgmath,,,,31572348.0,ns,2797600
mat4 determinant,cgmath,,,,32475922.0,ns,2885025
mat4 determinant,cgmath,,,,33431540.0,ns,2972450
mat4 determinant,cgmath,,,,34432655.0,ns,3059875
mat4 determinant,cgmath,,,,35472637.0,ns,3147300
mat4 determinant,cgmath,,,,36548480.0,ns,3234725
mat4 determinant,cgmath,,,,37433865.0,ns,3322150
mat4 determinant,cgmath,,,,38358237.0,ns,3409575
mat4 determinant,cgmath,,,,39327624.0,ns,3497000
mat4 determinant,cgmath,,,,40362034.0,ns,3584425
mat4 determinant,cgmath,,,,41330392.0,ns,3671850
mat4 determinant,cgmath,,,,42239133.0,ns,3759275
mat4 determinant,cgmath,,,,43796128.0,ns,3846700
mat4 determinant,cgmath,,,,44199361.0,ns,3934125
mat4 determinant,cgmath,,,,45341155.0,ns,4021550
mat4 determinant,cgmath,,,,46153069.0,ns,4108975
mat4 determinant,cgmath,,,,47188572.0,ns,4196400
mat4 determinant,cgmath,,,,48130360.0,ns,4283825
mat4 determinant,cgmath,,,,49201457.0,ns,4371250
mat4 determinant,cgmath,,,,50288042.0,ns,4458675
mat4 determinant,cgmath,,,,51059491.0,ns,4546100
mat4 determinant,cgmath,,,,52098714.0,ns,4633525
mat4 determinant,cgmath,,,,53247634.0,ns,4720950
mat4 determinant,cgmath,,,,53991032.0,ns,4808375
mat4 determinant,cgmath,,,,55598750.0,ns,4895800
mat4 determinant,cgmath,,,,56042012.0,ns,4983225
mat4 determinant,cgmath,,,,57263964.0,ns,5070650
mat4 determinant,cgmath,,,,57954885.0,ns,5158075
mat4 determinant,cgmath,,,,58893542.0,ns,5245500
mat4 determinant,cgmath,,,,59991503.0,ns,5332925
mat4 determinant,cgmath,,,,60863555.0,ns,5420350
mat4 determinant,cgmath,,,,61858564.0,ns,5507775
mat4 determinant,cgmath,,,,62949039.0,ns,5595200
mat4 determinant,cgmath,,,,64128740.0,ns,5682625
mat4 determinant,cgmath,,,,64805242.0,ns,5770050
mat4 determinant,cgmath,,,,65904763.0,ns,5857475
mat4 determinant,cgmath,,,,66818153.0,ns,5944900
mat4 determinant,cgmath,,,,67748679.0,ns,6032325
mat4 determinant,cgmath,,,,68871539.0,ns,6119750
mat4 determinant,cgmath,,,,69651848.0,ns,6207175
mat4 determinant,cgmath,,,,70690963.0,ns,6294600
mat4 determinant,cgmath,,,,72071094.0,ns,6382025
mat4 determinant,cgmath,,,,72689894.0,ns,6469450
mat4 determinant,cgmath,,,,73654373.0,ns,6556875
mat4 determinant,cgmath,,,,75373596.0,ns,6644300
mat4 determinant,cgmath,,,,76022884.0,ns,6731725
mat4 determinant,cgmath,,,,76677242.0,ns,6819150
mat4 determinant,cgmath,,,,77495185.0,ns,6906575
mat4 determinant,cgmath,,,,78517537.0,ns,6994000
mat4 determinant,cgmath,,,,79572924.0,ns,7081425
mat4 determinant,cgmath,,,,80470227.0,ns,7168850
mat4 determinant,cgmath,,,,81609995.0,ns,7256275
mat4 determinant,cgmath,,,,82438408.0,ns,7343700
mat4 determinant,cgmath,,,,83433929.0,ns,7431125
mat4 determinant,cgmath,,,,85114232.0,ns,7518550
mat4 determinant,cgmath,,,,85363234.0,ns,7605975
mat4 determinant,cgmath,,,,86504033.0,ns,7693400
mat4 determinant,cgmath,,,,87333666.0,ns,7780825
mat4 determinant,cgmath,,,,88400737.0,ns,7868250
mat4 determinant,cgmath,,,,89269710.0,ns,7955675
mat4 determinant,cgmath,,,,90380733.0,ns,8043100
mat4 determinant,cgmath,,,,91308723.0,ns,8130525
mat4 determinant,cgmath,,,,92255129.0,ns,8217950
mat4 determinant,cgmath,,,,93605320.0,ns,8305375
mat4 determinant,cgmath,,,,94177015.0,ns,8392800
mat4 determinant,cgmath,,,,95509586.0,ns,8480225
mat4 determinant,cgmath,,,,96160151.0,ns,8567650
mat4 determinant,cgmath,,,,97386021.0,ns,8655075
mat4 determinant,cgmath,,,,98187546.0,ns,8742500
