group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mat4 determinant,glam,,,,1165323.0,ns,126063
mat4 determinant,glam,,,,2089273.0,ns,252126
mat4 determinant,glam,,,,3077304.0,ns,378189
mat4 determinant,glam,,,,4179548.0,ns,504252
mat4 determinant,glam,,,,5027725.0,ns,630315
mat4 determinant,glam,,,,6172653.0,ns,756378
mat4 determinant,glam,,,,7189964.0,ns,882441
mat4 determinant,glam,,,,8077400.0,ns,1008504
mat4 determinant,glam,,,,9012486.0,ns,1134567
mat4 determinant,glam,,,,10108030.0,ns,1260630
mat4 determinant,glam,,,,11007005.0,ns,1386693
mat4 determinant,glam,,,,11979653.0,ns,1512756
mat4 determinant,glam,,,,12939673.0,ns,1638819
mat4 determinant,glam,,,,13882333.0,ns,1764882
mat4 determinant,glam,,,,15011420.0,ns,1890945
mat4 determinant,glam,,,,15771124.0,ns,2017008
mat4 determinant,glam,,,,16943474.0,ns,2143071
mat4 determinant,glam,,,,17903521.0,ns,2269134
mat4 determinant,glam,,,,18791780.0,ns,2395197
mat4 determinant,glam,,,,19831471.0,ns,2521260
mat4 determinant,glam,,,,20803334.0,ns,2647323
mat4 determinant,glam,,,,21824610.0,ns,2773386
mat4 determinant,glam,,,,22707693.0,ns,2899449
mat4 determinant,glam,,,,23786348.0,ns,3025512
mat4 determinant,glam,,,,24560939.0,ns,3151575
mat4 determinant,glam,,,,25848877.0,ns,3277638
mat4 determinant,glam,,,,26755200.0,ns,3403701
mat4 determinant,glam,,,,27631480.0,ns,3529764
mat4 determinant,glam,,,,28766382.0,ns,3655827
mat4 determinant,glam,,,,29619134.0,ns,3781890
mat4 determinant,glam,,,,30652158.0,ns,3907953
mat4 determinant,glam,,,,31534385.0,ns,4034016
mat4 determinant,glam,,,,32498405.0,ns,4160079
mat4 determinant,glam,,,,34271651.0,ns,4286142
mat4 determinant,glam,,,,34574891.0,ns,4412205
mat4 determinant,glam,,,,35523372.0,ns,4538268
mat4 determinant,glam,,,,36588399.0,ns,4664331
mat4 determinant,glam,,,,37586945.0,ns,4790394
mat4 determinant,glam,,,,38773807.0,ns,4916457
mat4 determinant,glam,,,,39653347.0,ns,5042520
mat4 determinant,glam,,,,40535410.0,ns,5168583
mat4 determinant,glam,,,,41503196.0,ns,5294646
mat4 determinant,glam,,,,42691316.0,ns,5420709
mat4 determinant,glam,,,,43214944.0,ns,5546772
mat4 determinant,glam,,,,44496302.0,ns,5672835
mat4 determinant,glam,,,,45405576.0,ns,5798898
mat4 determinant,glam,,,,46353222.0,ns,5924961
mat4 determinant,glam,,,,47373848.0,ns,6051024
mat4 determinant,glam,,,,48813818.0,ns,6177087
mat4 determinant,glam,,,,49461905.0,ns,6303150
mat4 determinant,glam,,,,50437272.0,ns,6429213
mat4 determinant,glam,,,,51318135.0,ns,6555276
mat4 determinant,glam,,,,52554245.0,ns,6681339
mat4 determinant,glam,,,,53454561.0,ns,6807402
mat4 determinant,glam,,,,55446007.0,ns,6933465
mat4 determinant,glam,,,,55298320.0,ns,7059528
mat4 determinant,glam,,,,56307449.0,ns,7185591
mat4 determinant,glam,,,,57118461.0,ns,7311654
mat4 determinant,glam,,,,58203719.0,ns,7437717
mat4 determinant,glam,,,,59565577.0,ns,7563780
mat4 determinant,glam,,,,60390297.0,ns,7689843
mat4 determinant,glam,,,,61127603.0,ns,7815906
mat4 determinant,glam,,,,62112224.0,ns,7941969
mat4 determinant,glam,,,,63235575.0,ns,8068032
mat4 determinant,glam,,,,64144996.0,ns,8194095
mat4 determinant,glam,,,,64948392.0,ns,8320158
mat4 determinant,glam,,,,66158471.0,ns,8446221
mat4 determinant,glam,,,,66936571.0,ns,8572284
mat4 determinant,glam,,,,68581433.0,ns,8698347
mat4 determinant,glam,,,,68976353.0,ns,8824410
mat4 determinant,glam,,,,70269013.0,ns,8950473
mat4 determinant,glam,,,,71341851.0,ns,9076536
mat4 determinant,glam,,,,72044757.0,ns,9202599
mat4 determinant,glam,,,,73131860.0,ns,9328662
mat4 determinant,glam,,,,74118517.0,ns,9454725
mat4 determinant,glam,,,,74951638.0,ns,9580788
mat4 determinant,glam,,,,76168450.0,ns,9706851
mat4 determinant,glam,,,,76893014.0,ns,9832914
mat4 determinant,glam,,,,77887334.0,ns,9958977
mat4 determinant,glam,,,,79301716.0,ns,10085040
mat4 determinant,glam,,,,80095177.0,ns,10211103
mat4 determinant,glam,,,,81383599.0,ns,10337166
mat4 determinant,glam,,,,82028175.0,ns,10463229
mat4 determinant,glam,,,,82910739.0,ns,10589292
mat4 determinant,glam,,,,84392852.0,ns,10715355
mat4 determinant,glam,,,,84808253.0,ns,10841418
mat4 determinant,glam,,,,86238984.0,ns,10967481
mat4 determinant,glam,,,,86817529.0,ns,11093544
mat4 determinant,glam,,,,87905567.0,ns,11219607
mat4 determinant,glam,,,,88849782.0,ns,11345670
mat4 determinant,glam,,,,90083102.0,ns,11471733
mat4 determinant,glam,,,,91243122.0,ns,11597796
mat4 determinant,glam,,,,93872403.0,ns,11723859
mat4 determinant,glam,,,,95562384.0,ns,11849922
mat4 determinant,glam,,,,96549620.0,ns,11975985
mat4 determinant,glam,,,,96479803.0,ns,12102048
mat4 determinant,glam,,,,95772462.0,ns,12228111
mat4 determinant,glam,,,,97338116.0,ns,12354174
mat4 determinant,glam,,,,97702451.0,ns,12480237
mat4 determinant,glam,,,,98704070.0,ns,12606300
