group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mat4 transform point3,cgmath,,,,7853.0,ns,1332
mat4 transform point3,cgmath,,,,15648.0,ns,2664
mat4 transform point3,cgmath,,,,23531.0,ns,3996
mat4 transform point3,cgmath,,,,49660.0,ns,5328
mat4 transform point3,cgmath,,,,39130.0,ns,6660
mat4 transform point3,cgmath,,,,47004.0,ns,7992
mat4 transform point3,cgmath,,,,54798.0,ns,9324
mat4 transform point3,cgmath,,,,62621.0,ns,10656
mat4 transform point3,cgmath,,,,70308.0,ns,11988
mat4 transform point3,cgmath,,,,78289.0,ns,13320
mat4 transform point3,cgmath,,,,85929.0,ns,14652
mat4 transform point3,cgmath,,,,93753.0,ns,15984
mat4 transform point3,cgmath,,,,101720.0,ns,17316
mat4 transform point3,cgmath,,,,109382.0,ns,18648
mat4 transform point3,cgmath,,,,117342.0,ns,19980
mat4 transform point3,cgmath,,,,125092.0,ns,21312
mat4 transform point3,cgmath,,,,133082.0,ns,22644
mat4 transform point3,cgmath,,,,140879.0,ns,23976
mat4 transform point3,cgmath,,,,148505.0,ns,25308
mat4 transform point3,cgmath,,,,156428.0,ns,26640
mat4 transform point3,cgmath,,,,164229.0,ns,27972
mat4 transform point3,cgmath,,,,171910.0,ns,29304
mat4 transform point3,cgmath,,,,180045.0,ns,30636
mat4 transform point3,cgmath,,,,187554.0,ns,31968
mat4 transform point3,cgmath,,,,195338.0,ns,33300
mat4 transform point3,cgmath,,,,203450.0,ns,34632
mat4 transform point3,cgmath,,,,212576.0,ns,35964
mat4 transform point3,cgmath,,,,219118.0,ns,37296
mat4 transform point3,cgmath,,,,226619.0,ns,38628
mat4 transform point3,cgmath,,,,234826.0,ns,39960
mat4 transform point3,cgmath,,,,242228.0,ns,41292
mat4 transform point3,cgmath,,,,250300.0,ns,42624
mat4 transform point3,cgmath,,,,257829.0,ns,43956
mat4 transform point3,cgmath,,,,265651.0,ns,45288
mat4 transform point3,cgmath,,,,273542.0,ns,46620
mat4 transform point3,cgmath,,,,284767.0,ns,47952
mat4 transform point3,cgmath,,,,289136.0,ns,49284
mat4 transform point3,cgmath,,,,297264.0,ns,50616
mat4 transform point3,cgmath,,,,304685.0,ns,51948
mat4 transform point3,cgmath,,,,312490.0,ns,53280
mat4 transform point3,cgmath,,,,340938.0,ns,54612
mat4 transform point3,cgmath,,,,328063.0,ns,55944
mat4 transform point3,cgmath,,,,335941.0,ns,57276
mat4 transform point3,cgmath,,,,343771.0,ns,58608
mat4 transform point3,cgmath,,,,352067.0,ns,59940
mat4 transform point3,cgmath,,,,359485.0,ns,61272
mat4 transform point3,cgmath,,,,367733.0,ns,62604
mat4 transform point3,cgmath,,,,375658.0,ns,63936
mat4 transform point3,cgmath,,,,382810.0,ns,65268
mat4 transform point3,cgmath,,,,390720.0,ns,66600
mat4 transform point3,cgmath,,,,398341.0,ns,67932
mat4 transform point3,cgmath,,,,406910.0,ns,69264
mat4 transform point3,cgmath,,,,414725.0,ns,70596
mat4 transform point3,cgmath,,,,421791.0,ns,71928
mat4 transform point3,cgmath,,,,430410.0,ns,73260
mat4 transform point3,cgmath,,,,437469.0,ns,74592
mat4 transform point3,cgmath,,,,445381.0,ns,75924
mat4 transform point3,cgmath,,,,453826.0,ns,77256
mat4 transform point3,cgmath,,,,461034.0,ns,78588
mat4 transform point3,cgmath,,,,468644.0,ns,79920
mat4 transform point3,cgmath,,,,476464.0,ns,81252
mat4 transform point3,cgmath,,,,484233.0,ns,82584
mat4 transform point3,cgmath,,,,492980.0,ns,83916
mat4 transform point3,cgmath,,,,500775.0,ns,85248
mat4 transform point3,cgmath,,,,508601.0,ns,86580
mat4 transform point3,cgmath,,,,515581.0,ns,87912
mat4 transform point3,cgmath,,,,523326.0,ns,89244
mat4 transform point3,cgmath,,,,531152.0,ns,90576
mat4 transform point3,cgmath,,,,539886.0,ns,91908
mat4 transform point3,cgmath,,,,547569.0,ns,93240
mat4 transform point3,cgmath,,,,555445.0,ns,94572
mat4 transform point3,cgmath,,,,562502.0,ns,95904
mat4 transform point3,cgmath,,,,570217.0,ns,97236
mat4 transform point3,cgmath,,,,579000.0,ns,98568
mat4 transform point3,cgmath,,,,585796.0,ns,99900
mat4 transform point3,cgmath,,,,594652.0,ns,101232
mat4 transform point3,cgmath,,,,602494.0,ns,102564
mat4 transform point3,cgmath,,,,609453.0,ns,103896
mat4 transform point3,cgmath,,,,618140.0,ns,105228
mat4 transform point3,cgmath,,,,624869.0,ns,106560
mat4 transform point3,cgmath,,,,633775.0,ns,107892
mat4 transform point3,cgmath,,,,641620.0,ns,109224
mat4 transform point3,cgmath,,,,649620.0,ns,110556
mat4 transform point3,cgmath,,,,656265.0,ns,111888
mat4 transform point3,cgmath,,,,663931.0,ns,113220
mat4 transform point3,cgmath,,,,672820.0,ns,114552
mat4 transform point3,cgmath,,,,680740.0,ns,115884
mat4 transform point3,cgmath,,,,687562.0,ns,117216
mat4 transform point3,cgmath,,,,697207.0,ns,118548
mat4 transform point3,cgmath,,,,703156.0,ns,119880
mat4 transform point3,cgmath,,,,710973.0,ns,121212
mat4 transform point3,cgmath,,,,718765.0,ns,122544
