group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mat4 transform point3,euclid,,,,7750.0,ns,1258
mat4 transform point3,euclid,,,,15684.0,ns,2516
mat4 transform point3,euclid,,,,23344.0,ns,3774
mat4 transform point3,euclid,,,,43002.0,ns,5032
mat4 transform point3,euclid,,,,38853.0,ns,6290
mat4 transform point3,euclid,,,,46652.0,ns,7548
mat4 transform point3,euclid,,,,54401.0,ns,8806
mat4 transform point3,euclid,,,,62169.0,ns,10064
mat4 transform point3,euclid,,,,69953.0,ns,11322
mat4 transform point3,euclid,,,,77146.0,ns,12580
mat4 transform point3,euclid,,,,85460.0,ns,13838
mat4 transform point3,euclid,,,,93261.0,ns,15096
mat4 transform point3,euclid,,,,100957.0,ns,16354
mat4 transform point3,euclid,,,,108702.0,ns,17612
mat4 transform point3,euclid,,,,116515.0,ns,18870
mat4 transform point3,euclid,,,,124289.0,ns,20128
mat4 transform point3,euclid,,,,132067.0,ns,21386
mat4 transform point3,euclid,,,,139792.0,ns,22644
mat4 transform point3,euclid,,,,147573.0,ns,23902
mat4 transform point3,euclid,,,,155302.0,ns,25160
mat4 transform point3,euclid,,,,163151.0,ns,26418
mat4 transform point3,euclid,,,,170911.0,ns,27676
mat4 transform point3,euclid,,,,178645.0,ns,28934
mat4 transform point3,euclid,,,,186414.0,ns,30192
mat4 transform point3,euclid,,,,194159.0,ns,31450
mat4 transform point3,euclid,,,,201964.0,ns,32708
mat4 transform point3,euclid,,,,209643.0,ns,33966
mat4 transform point3,euclid,,,,217393.0,ns,35224
mat4 transform point3,euclid,,,,225203.0,ns,36482
mat4 transform point3,euclid,,,,232951.0,ns,37740
mat4 transform point3,euclid,,,,240772.0,ns,38998
mat4 transform point3,euclid,,,,248495.0,ns,40256
mat4 transform point3,euclid,,,,256269.0,ns,41514
mat4 transform point3,euclid,,,,264000.0,ns,42772
mat4 transform point3,euclid,,,,271725.0,ns,44030
mat4 transform point3,euclid,,,,279499.0,ns,45288
mat4 transform point3,euclid,,,,289117.0,ns,46546
mat4 transform point3,euclid,,,,295158.0,ns,47804
mat4 transform point3,euclid,,,,302923.0,ns,49062
mat4 transform point3,euclid,,,,310580.0,ns,50320
mat4 transform point3,euclid,,,,318390.0,ns,51578
mat4 transform point3,euclid,,,,326146.0,ns,52836
mat4 transform point3,euclid,,,,333649.0,ns,54094
mat4 transform point3,euclid,,,,341663.0,ns,55352
mat4 transform point3,euclid,,,,349420.0,ns,56610
mat4 transform point3,euclid,,,,357165.0,ns,57868
mat4 transform point3,euclid,,,,364955.0,ns,59126
mat4 transform point3,euclid,,,,372679.0,ns,60384
mat4 transform point3,euclid,,,,382055.0,ns,61642
mat4 transform point3,euclid,,,,388329.0,ns,62900
mat4 transform point3,euclid,,,,396022.0,ns,64158
mat4 transform point3,euclid,,,,403953.0,ns,65416
mat4 transform point3,euclid,,,,411520.0,ns,66674
mat4 transform point3,euclid,,,,419284.0,ns,67932
mat4 transform point3,euclid,,,,427092.0,ns,69190
mat4 transform point3,euclid,,,,436334.0,ns,70448
mat4 transform point3,euclid,,,,442581.0,ns,71706
mat4 transform point3,euclid,,,,450270.0,ns,72964
mat4 transform point3,euclid,,,,458104.0,ns,74222
mat4 transform point3,euclid,,,,465947.0,ns,75480
mat4 transform point3,euclid,,,,473731.0,ns,76738
mat4 transform point3,euclid,,,,481244.0,ns,77996
mat4 transform point3,euclid,,,,489062.0,ns,79254
mat4 transform point3,euclid,,,,496998.0,ns,80512
mat4 transform point3,euclid,,,,504635.0,ns,81770
mat4 transform point3,euclid,,,,512369.0,ns,83028
mat4 transform point3,euclid,,,,520074.0,ns,84286
mat4 transform point3,euclid,,,,527917.0,ns,85544
mat4 transform point3,euclid,,,,535752.0,ns,86802
mat4 transform point3,euclid,,,,559559.0,ns,88060
mat4 transform point3,euclid,,,,567515.0,ns,89318
mat4 transform point3,euclid,,,,575429.0,ns,90576
mat4 transform point3,euclid,,,,583460.0,ns,91834
mat4 transform point3,euclid,,,,591396.0,ns,93092
mat4 transform point3,euclid,,,,601215.0,ns,94350
mat4 transform point3,euclid,,,,607478.0,ns,95608
mat4 transform point3,euclid,,,,615424.0,ns,96866
mat4 transform point3,euclid,,,,623514.0,ns,98124
mat4 transform point3,euclid,,,,631265.0,ns,99382
mat4 transform point3,euclid,,,,639265.0,ns,100640
mat4 transform point3,euclid,,,,647441.0,ns,101898
mat4 transform point3,euclid,,,,638420.0,ns,103156
mat4 transform point3,euclid,,,,644482.0,ns,104414
mat4 transform point3,euclid,,,,652167.0,ns,105672
mat4 transform point3,euclid,,,,659922.0,ns,106930
mat4 transform point3,euclid,,,,667748.0,ns,108188
mat4 transform point3,euclid,,,,675328.0,ns,109446
mat4 transform point3,euclid,,,,683137.0,ns,110704
mat4 transform point3,euclid,,,,690960.0,ns,111962
mat4 transform point3,euclid,,,,698653.0,ns,113220
mat4 transform point3,euclid,,,,727319.0,ns,114478
mat4 transform point3,euclid,,,,735301.0,ns,115736
mat4 transform point3,euclid,,,,739870.0,ns,116994
mat4 transform point3,euclid,,,,751222.0,ns,118252
mat4 transform point3,euclid,,,,759098.0,ns,119510
mat4 transform point3,euclid,,,,745398.0,ns,120768
mat4 transform point3,euclid,,,,752956.0,ns,122026
mat4 transform point3,euclid,,,,766249.0,ns,123284
mat4 transform point3,euclid,,,,768546.0,ns,124542
mat4 transform point3,euclid,,,,776341.0,ns,125800
