group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mat4 transform point3,glam,,,,7705.0,ns,3194
mat4 transform point3,glam,,,,15398.0,ns,6388
mat4 transform point3,glam,,,,23073.0,ns,9582
mat4 transform point3,glam,,,,40599.0,ns,12776
mat4 transform point3,glam,,,,38435.0,ns,15970
mat4 transform point3,glam,,,,46135.0,ns,19164
mat4 transform point3,glam,,,,55373.0,ns,22358
mat4 transform point3,glam,,,,63342.0,ns,25552
mat4 transform point3,glam,,,,69173.0,ns,28746
mat4 transform point3,glam,,,,76866.0,ns,31940
mat4 transform point3,glam,,,,84546.0,ns,35134
mat4 transform point3,glam,,,,92250.0,ns,38328
mat4 transform point3,glam,,,,99918.0,ns,41522
mat4 transform point3,glam,,,,109339.0,ns,44716
mat4 transform point3,glam,,,,115347.0,ns,47910
mat4 transform point3,glam,,,,122977.0,ns,51104
mat4 transform point3,glam,,,,130653.0,ns,54298
mat4 transform point3,glam,,,,138321.0,ns,57492
mat4 transform point3,glam,,,,146055.0,ns,60686
mat4 transform point3,glam,,,,153728.0,ns,63880
mat4 transform point3,glam,,,,161383.0,ns,67074
mat4 transform point3,glam,,,,169161.0,ns,70268
mat4 transform point3,glam,,,,176784.0,ns,73462
mat4 transform point3,glam,,,,184424.0,ns,76656
mat4 transform point3,glam,,,,192197.0,ns,79850
mat4 transform point3,glam,,,,199820.0,ns,83044
mat4 transform point3,glam,,,,207533.0,ns,86238
mat4 transform point3,glam,,,,215220.0,ns,89432
mat4 transform point3,glam,,,,222953.0,ns,92626
mat4 transform point3,glam,,,,230576.0,ns,95820
mat4 transform point3,glam,,,,258495.0,ns,99014
mat4 transform point3,glam,,,,245934.0,ns,102208
mat4 transform point3,glam,,,,253619.0,ns,105402
mat4 transform point3,glam,,,,261323.0,ns,108596
mat4 transform point3,glam,,,,302816.0,ns,111790
mat4 transform point3,glam,,,,276709.0,ns,114984
mat4 transform point3,glam,,,,284326.0,ns,118178
mat4 transform point3,glam,,,,292027.0,ns,121372
mat4 transform point3,glam,,,,299717.0,ns,124566
mat4 transform point3,glam,,,,307364.0,ns,127760
mat4 transform point3,glam,,,,316533.0,ns,130954
mat4 transform point3,glam,,,,322812.0,ns,134148
mat4 transform point3,glam,,,,340003.0,ns,137342
mat4 transform point3,glam,,,,339662.0,ns,140536
mat4 transform point3,glam,,,,345848.0,ns,143730
mat4 transform point3,glam,,,,353494.0,ns,146924
mat4 transform point3,glam,,,,361216.0,ns,150118
mat4 transform point3,glam,,,,368955.0,ns,153312
mat4 transform point3,glam,,,,376494.0,ns,156506
mat4 transform point3,glam,,,,384245.0,ns,159700
mat4 transform point3,glam,,,,391935.0,ns,162894
mat4 transform point3,glam,,,,399741.0,ns,166088
mat4 transform point3,glam,,,,407335.0,ns,169282
mat4 transform point3,glam,,,,414994.0,ns,172476
mat4 transform point3,glam,,,,422767.0,ns,175670
mat4 transform point3,glam,,,,430381.0,ns,178864
mat4 transform point3,glam,,,,438085.0,ns,182058
mat4 transform point3,glam,,,,445775.0,ns,185252
mat4 transform point3,glam,,,,453457.0,ns,188446
mat4 transform point3,glam,,,,460957.0,ns,191640
mat4 transform point3,glam,,,,468727.0,ns,194834
mat4 transform point3,glam,,,,476516.0,ns,198028
mat4 transform point3,glam,,,,484176.0,ns,201222
mat4 transform point3,glam,,,,491800.0,ns,204416
mat4 transform point3,glam,,,,499469.0,ns,207610
mat4 transform point3,glam,,,,507232.0,ns,210804
mat4 transform point3,glam,,,,514968.0,ns,213998
mat4 transform point3,glam,,,,522664.0,ns,217192
mat4 transform point3,glam,,,,530359.0,ns,220386
mat4 transform point3,glam,,,,538013.0,ns,223580
mat4 transform point3,glam,,,,545744.0,ns,226774
mat4 transform point3,glam,,,,573946.0,ns,229968
mat4 transform point3,glam,,,,581351.0,ns,233162
mat4 transform point3,glam,,,,568663.0,ns,236356
mat4 transform point3,glam,,,,576304.0,ns,239550
mat4 transform point3,glam,,,,583934.0,ns,242744
mat4 transform point3,glam,,,,596641.0,ns,245938
mat4 transform point3,glam,,,,599481.0,ns,249132
mat4 transform point3,glam,,,,608561.0,ns,252326
mat4 transform point3,glam,,,,614790.0,ns,255520
mat4 transform point3,glam,,,,622521.0,ns,258714
mat4 transform point3,glam,,,,630121.0,ns,261908
mat4 transform point3,glam,,,,637932.0,ns,265102
mat4 transform point3,glam,,,,645610.0,ns,268296
mat4 transform point3,glam,,,,653285.0,ns,271490
mat4 transform point3,glam,,,,660948.0,ns,274684
mat4 transform point3,glam,,,,668582.0,ns,277878
mat4 transform point3,glam,,,,676263.0,ns,281072
mat4 transform point3,glam,,,,684001.0,ns,284266
mat4 transform point3,glam,,,,702095.0,ns,287460
mat4 transform point3,glam,,,,701031.0,ns,290654
mat4 transform point3,glam,,,,708688.0,ns,293848
mat4 transform point3,glam,,,,736572.0,ns,297042
mat4 transform point3,glam,,,,722414.0,ns,300236
mat4 transform point3,glam,,,,730296.0,ns,303430
mat4 transform point3,glam,,,,737747.0,ns,306624
mat4 transform point3,glam,,,,745380.0,ns,309818
mat4 transform point3,glam,,,,753155.0,ns,313012
mat4 transform point3,glam,,,,760624.0,ns,316206
mat4 transform point3,glam,,,,768552.0,ns,319400
