group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mat4 transform vector3,euclid,,,,7649.0,ns,1884
mat4 transform vector3,euclid,,,,15268.0,ns,3768
mat4 transform vector3,euclid,,,,22872.0,ns,5652
mat4 transform vector3,euclid,,,,31409.0,ns,7536
mat4 transform vector3,euclid,,,,38156.0,ns,9420
mat4 transform vector3,euclid,,,,45747.0,ns,11304
mat4 transform vector3,euclid,,,,67551.0,ns,13188
mat4 transform vector3,euclid,,,,60980.0,ns,15072
mat4 transform vector3,euclid,,,,68622.0,ns,16956
mat4 transform vector3,euclid,,,,76240.0,ns,18840
mat4 transform vector3,euclid,,,,83871.0,ns,20724
mat4 transform vector3,euclid,,,,91497.0,ns,22608
mat4 transform vector3,euclid,,,,99133.0,ns,24492
mat4 transform vector3,euclid,,,,106761.0,ns,26376
mat4 transform vector3,euclid,,,,149844.0,ns,28260
mat4 transform vector3,euclid,,,,121998.0,ns,30144
mat4 transform vector3,euclid,,,,129571.0,ns,32028
mat4 transform vector3,euclid,,,,137198.0,ns,33912
mat4 transform vector3,euclid,,,,144781.0,ns,35796
mat4 transform vector3,euclid,,,,152430.0,ns,37680
mat4 transform vector3,euclid,,,,160063.0,ns,39564
mat4 transform vector3,euclid,,,,167705.0,ns,41448
mat4 transform vector3,euclid,,,,175307.0,ns,43332
mat4 transform vector3,euclid,,,,182931.0,ns,45216
mat4 transform vector3,euclid,,,,190522.0,ns,47100
mat4 transform vector3,euclid,,,,198162.0,ns,48984
mat4 transform vector3,euclid,,,,205805.0,ns,50868
mat4 transform vector3,euclid,,,,213414.0,ns,52752
mat4 transform vector3,euclid,,,,221019.0,ns,54636
mat4 transform vector3,euclid,,,,228615.0,ns,56520
mat4 transform vector3,euclid,,,,236331.0,ns,58404
mat4 transform vector3,euclid,,,,243906.0,ns,60288
mat4 transform vector3,euclid,,,,251532.0,ns,62172
mat4 transform vector3,euclid,,,,259063.0,ns,64056
mat4 transform vector3,euclid,,,,266723.0,ns,65940
mat4 transform vector3,euclid,,,,274420.0,ns,67824
mat4 transform vector3,euclid,,,,281982.0,ns,69708
mat4 transform vector3,euclid,,,,289581.0,ns,71592
mat4 transform vector3,euclid,,,,297287.0,ns,73476
mat4 transform vector3,euclid,,,,304801.0,ns,75360
mat4 transform vector3,euclid,,,,312573.0,ns,77244
mat4 transform vector3,euclid,,,,320048.0,ns,79128
mat4 transform vector3,euclid,,,,327717.0,ns,81012
mat4 transform vector3,euclid,,,,335338.0,ns,82896
mat4 transform vector3,euclid,,,,342929.0,ns,84780
mat4 transform vector3,euclid,,,,350654.0,ns,86664
mat4 transform vector3,euclid,,,,358177.0,ns,88548
mat4 transform vector3,euclid,,,,365848.0,ns,90432
mat4 transform vector3,euclid,,,,373435.0,ns,92316
mat4 transform vector3,euclid,,,,381109.0,ns,94200
mat4 transform vector3,euclid,,,,390108.0,ns,96084
mat4 transform vector3,euclid,,,,396338.0,ns,97968
mat4 transform vector3,euclid,,,,403992.0,ns,99852
mat4 transform vector3,euclid,,,,413061.0,ns,101736
mat4 transform vector3,euclid,,,,419173.0,ns,103620
mat4 transform vector3,euclid,,,,446600.0,ns,105504
mat4 transform vector3,euclid,,,,434321.0,ns,107388
mat4 transform vector3,euclid,,,,442041.0,ns,109272
mat4 transform vector3,euclid,,,,451339.0,ns,111156
mat4 transform vector3,euclid,,,,457257.0,ns,113040
mat4 transform vector3,euclid,,,,464858.0,ns,114924
mat4 transform vector3,euclid,,,,472460.0,ns,116808
mat4 transform vector3,euclid,,,,480134.0,ns,118692
mat4 transform vector3,euclid,,,,487722.0,ns,120576
mat4 transform vector3,euclid,,,,495343.0,ns,122460
mat4 transform vector3,euclid,,,,503007.0,ns,124344
mat4 transform vector3,euclid,,,,510503.0,ns,126228
mat4 transform vector3,euclid,,,,518111.0,ns,128112
mat4 transform vector3,euclid,,,,525874.0,ns,129996
mat4 transform vector3,euclid,,,,533483.0,ns,131880
mat4 transform vector3,euclid,,,,542585.0,ns,133764
mat4 transform vector3,euclid,,,,548801.0,ns,135648
mat4 transform vector3,euclid,,,,556325.0,ns,137532
mat4 transform vector3,euclid,,,,563979.0,ns,139416
mat4 transform vector3,euclid,,,,572998.0,ns,141300
mat4 transform vector3,euclid,,,,579220.0,ns,143184
mat4 transform vector3,euclid,,,,607009.0,ns,145068
mat4 transform vector3,euclid,,,,594397.0,ns,146952
mat4 transform vector3,euclid,,,,602088.0,ns,148836
mat4 transform vector3,euclid,,,,609632.0,ns,150720
mat4 transform vector3,euclid,,,,617286.0,ns,152604
mat4 transform vector3,euclid,,,,624975.0,ns,154488
mat4 transform vector3,euclid,,,,632545.0,ns,156372
