group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mat4 transform vector4,cgmath,,,,7723.0,ns,2160
mat4 transform vector4,cgmath,,,,15368.0,ns,4320
mat4 transform vector4,cgmath,,,,23059.0,ns,6480
mat4 transform vector4,cgmath,,,,42683.0,ns,8640
mat4 transform vector4,cgmath,,,,38401.0,ns,10800
mat4 transform vector4,cgmath,,,,46092.0,ns,12960
mat4 transform vector4,cgmath,,,,57020.0,ns,15120
mat4 transform vector4,cgmath,,,,61443.0,ns,17280
mat4 transform vector4,cgmath,,,,69089.0,ns,19440
mat4 transform vector4,cgmath,,,,76781.0,ns,21600
mat4 transform vector4,cgmath,,,,84440.0,ns,23760
mat4 transform vector4,cgmath,,,,92122.0,ns,25920
mat4 transform vector4,cgmath,,,,99800.0,ns,28080
mat4 transform vector4,cgmath,,,,107472.0,ns,30240
mat4 transform vector4,cgmath,,,,115142.0,ns,32400
mat4 transform vector4,cgmath,,,,122820.0,ns,34560
mat4 transform vector4,cgmath,,,,130491.0,ns,36720
mat4 transform vector4,cgmath,,,,138182.0,ns,38880
mat4 transform vector4,cgmath,,,,145851.0,ns,41040
mat4 transform vector4,cgmath,,,,153520.0,ns,43200
mat4 transform vector4,cgmath,,,,161200.0,ns,45360
mat4 transform vector4,cgmath,,,,168872.0,ns,47520
mat4 transform vector4,cgmath,,,,176553.0,ns,49680
mat4 transform vector4,cgmath,,,,184223.0,ns,51840
mat4 transform vector4,cgmath,,,,191892.0,ns,54000
mat4 transform vector4,cgmath,,,,201091.0,ns,56160
mat4 transform vector4,cgmath,,,,207241.0,ns,58320
mat4 transform vector4,cgmath,,,,214913.0,ns,60480
mat4 transform vector4,cgmath,,,,222592.0,ns,62640
mat4 transform vector4,cgmath,,,,230261.0,ns,64800
mat4 transform vector4,cgmath,,,,240859.0,ns,66960
mat4 transform vector4,cgmath,,,,247325.0,ns,69120
mat4 transform vector4,cgmath,,,,253292.0,ns,71280
mat4 transform vector4,cgmath,,,,260962.0,ns,73440
mat4 transform vector4,cgmath,,,,268631.0,ns,75600
mat4 transform vector4,cgmath,,,,279704.0,ns,77760
mat4 transform vector4,cgmath,,,,287464.0,ns,79920
mat4 transform vector4,cgmath,,,,291662.0,ns,82080
mat4 transform vector4,cgmath,,,,299346.0,ns,84240
mat4 transform vector4,cgmath,,,,307012.0,ns,86400
mat4 transform vector4,cgmath,,,,318539.0,ns,88560
mat4 transform vector4,cgmath,,,,326323.0,ns,90720
mat4 transform vector4,cgmath,,,,330032.0,ns,92880
mat4 transform vector4,cgmath,,,,357936.0,ns,95040
mat4 transform vector4,cgmath,,,,345373.0,ns,97200
mat4 transform vector4,cgmath,,,,353052.0,ns,99360
mat4 transform vector4,cgmath,,,,362192.0,ns,101520
mat4 transform vector4,cgmath,,,,368416.0,ns,103680
mat4 transform vector4,cgmath,,,,377552.0,ns,105840
mat4 transform vector4,cgmath,,,,383753.0,ns,108000
mat4 transform vector4,cgmath,,,,396233.0,ns,110160
mat4 transform vector4,cgmath,,,,400556.0,ns,112320
mat4 transform vector4,cgmath,,,,406776.0,ns,114480
mat4 transform vector4,cgmath,,,,414455.0,ns,116640
mat4 transform vector4,cgmath,,,,422126.0,ns,118800
mat4 transform vector4,cgmath,,,,431278.0,ns,120960
mat4 transform vector4,cgmath,,,,442851.0,ns,123120
mat4 transform vector4,cgmath,,,,445132.0,ns,125280
mat4 transform vector4,cgmath,,,,452815.0,ns,127440
mat4 transform vector4,cgmath,,,,461963.0,ns,129600
mat4 transform vector4,cgmath,,,,473923.0,ns,131760
mat4 transform vector4,cgmath,,,,475858.0,ns,133920
mat4 transform vector4,cgmath,,,,489468.0,ns,136080
mat4 transform vector4,cgmath,,,,497240.0,ns,138240
mat4 transform vector4,cgmath,,,,504999.0,ns,140400
mat4 transform vector4,cgmath,,,,506533.0,ns,142560
mat4 transform vector4,cgmath,,,,520542.0,ns,144720
mat4 transform vector4,cgmath,,,,521886.0,ns,146880
mat4 transform vector4,cgmath,,,,536073.0,ns,149040
mat4 transform vector4,cgmath,,,,537234.0,ns,151200
mat4 transform vector4,cgmath,,,,551617.0,ns,153360
mat4 transform vector4,cgmath,,,,554105.0,ns,155520
mat4 transform vector4,cgmath,,,,567162.0,ns,157680
mat4 transform vector4,cgmath,,,,574930.0,ns,159840
mat4 transform vector4,cgmath,,,,582692.0,ns,162000
mat4 transform vector4,cgmath,,,,584762.0,ns,164160
mat4 transform vector4,cgmath,,,,598234.0,ns,166320
mat4 transform vector4,cgmath,,,,620450.0,ns,168480
mat4 transform vector4,cgmath,,,,607783.0,ns,170640
mat4 transform vector4,cgmath,,,,613964.0,ns,172800
mat4 transform vector4,cgmath,,,,621635.0,ns,174960
mat4 transform vector4,cgmath,,,,629329.0,ns,177120
mat4 transform vector4,cgmath,,,,637005.0,ns,179280
mat4 transform vector4,cgmath,,,,652610.0,ns,181440
mat4 transform vector4,cgmath,,,,652357.0,ns,183600
mat4 transform vector4,cgmath,,,,661539.0,ns,185760
mat4 transform vector4,cgmath,,,,667709.0,ns,187920
mat4 transform vector4,cgmath,,,,675379.0,ns,190080
mat4 transform vector4,cgmath,,,,703132.0,ns,192240
mat4 transform vector4,cgmath,,,,692427.0,ns,194400
mat4 transform vector4,cgmath,,,,706999.0,ns,196560
mat4 transform vector4,cgmath,,,,714771.0,ns,198720
mat4 transform vector4,cgmath,,,,722543.0,ns,200880
mat4 transform vector4,cgmath,,,,721429.0,ns,203040
mat4 transform vector4,cgmath,,,,738076.0,ns,205200
mat4 transform vector4,cgmath,,,,739402.0,ns,207360
mat4 transform vector4,cgmath,,,,753608.0,ns,209520
mat4 transform vector4,cgmath,,,,761378.0,ns,211680
mat4 transform vector4,cgmath,,,,766853.0,ns,213840
mat4 transform vector4,cgmath,,,,776920.0,ns,216000
