group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mat4 transform vector4,vek,,,,7744.0,ns,165
mat4 transform vector4,vek,,,,15437.0,ns,330
mat4 transform vector4,vek,,,,23137.0,ns,495
mat4 transform vector4,vek,,,,33083.0,ns,660
mat4 transform vector4,vek,,,,38587.0,ns,825
mat4 transform vector4,vek,,,,46289.0,ns,990
mat4 transform vector4,vek,,,,55569.0,ns,1155
mat4 transform vector4,vek,,,,61652.0,ns,1320
mat4 transform vector4,vek,,,,69414.0,ns,1485
mat4 transform vector4,vek,,,,77089.0,ns,1650
mat4 transform vector4,vek,,,,84829.0,ns,1815
mat4 transform vector4,vek,,,,92516.0,ns,1980
mat4 transform vector4,vek,,,,100205.0,ns,2145
mat4 transform vector4,vek,,,,107929.0,ns,2310
mat4 transform vector4,vek,,,,115605.0,ns,2475
mat4 transform vector4,vek,,,,123317.0,ns,2640
mat4 transform vector4,vek,,,,131017.0,ns,2805
mat4 transform vector4,vek,,,,138757.0,ns,2970
mat4 transform vector4,vek,,,,146471.0,ns,3135
mat4 transform vector4,vek,,,,154159.0,ns,3300
mat4 transform vector4,vek,,,,161834.0,ns,3465
mat4 transform vector4,vek,,,,169545.0,ns,3630
mat4 transform vector4,vek,,,,177258.0,ns,3795
mat4 transform vector4,vek,,,,184945.0,ns,3960
mat4 transform vector4,vek,,,,192709.0,ns,4125
mat4 transform vector4,vek,,,,200372.0,ns,4290
mat4 transform vector4,vek,,,,208085.0,ns,4455
mat4 transform vector4,vek,,,,215774.0,ns,4620
mat4 transform vector4,vek,,,,223477.0,ns,4785
mat4 transform vector4,vek,,,,231212.0,ns,4950
mat4 transform vector4,vek,,,,259032.0,ns,5115
mat4 transform vector4,vek,,,,246600.0,ns,5280
mat4 transform vector4,vek,,,,254300.0,ns,5445
mat4 transform vector4,vek,,,,262029.0,ns,5610
mat4 transform vector4,vek,,,,269738.0,ns,5775
mat4 transform vector4,vek,,,,277438.0,ns,5940
mat4 transform vector4,vek,,,,285103.0,ns,6105
mat4 transform vector4,vek,,,,292828.0,ns,6270
mat4 transform vector4,vek,,,,300542.0,ns,6435
mat4 transform vector4,vek,,,,308242.0,ns,6600
mat4 transform vector4,vek,,,,315979.0,ns,6765
mat4 transform vector4,vek,,,,323668.0,ns,6930
mat4 transform vector4,vek,,,,336125.0,ns,7095
mat4 transform vector4,vek,,,,340631.0,ns,7260
mat4 transform vector4,vek,,,,346781.0,ns,7425
mat4 transform vector4,vek,,,,354484.0,ns,7590
mat4 transform vector4,vek,,,,362146.0,ns,7755
mat4 transform vector4,vek,,,,369895.0,ns,7920
mat4 transform vector4,vek,,,,377548.0,ns,8085
mat4 transform vector4,vek,,,,385247.0,ns,8250
mat4 transform vector4,vek,,,,392984.0,ns,8415
mat4 transform vector4,vek,,,,400709.0,ns,8580
mat4 transform vector4,vek,,,,408410.0,ns,8745
mat4 transform vector4,vek,,,,416124.0,ns,8910
mat4 transform vector4,vek,,,,423810.0,ns,9075
mat4 transform vector4,vek,,,,451706.0,ns,9240
mat4 transform vector4,vek,,,,439212.0,ns,9405
mat4 transform vector4,vek,,,,448753.0,ns,9570
mat4 transform vector4,vek,,,,454627.0,ns,9735
mat4 transform vector4,vek,,,,462361.0,ns,9900
mat4 transform vector4,vek,,,,470002.0,ns,10065
mat4 transform vector4,vek,,,,479547.0,ns,10230
mat4 transform vector4,vek,,,,485404.0,ns,10395
mat4 transform vector4,vek,,,,493104.0,ns,10560
mat4 transform vector4,vek,,,,500781.0,ns,10725
mat4 transform vector4,vek,,,,545525.0,ns,10890
mat4 transform vector4,vek,,,,516310.0,ns,11055
mat4 transform vector4,vek,,,,523764.0,ns,11220
mat4 transform vector4,vek,,,,531652.0,ns,11385
mat4 transform vector4,vek,,,,541187.0,ns,11550
mat4 transform vector4,vek,,,,547052.0,ns,11715
mat4 transform vector4,vek,,,,554828.0,ns,11880
mat4 transform vector4,vek,,,,562500.0,ns,12045
mat4 transform vector4,vek,,,,570228.0,ns,12210
mat4 transform vector4,vek,,,,577903.0,ns,12375
mat4 transform vector4,vek,,,,585640.0,ns,12540
mat4 transform vector4,vek,,,,593329.0,ns,12705
mat4 transform vector4,vek,,,,601041.0,ns,12870
mat4 transform vector4,vek,,,,608740.0,ns,13035
mat4 transform vector4,vek,,,,616386.0,ns,13200
mat4 transform vector4,vek,,,,624143.0,ns,13365
mat4 transform vector4,vek,,,,631843.0,ns,13530
mat4 transform vector4,vek,,,,639572.0,ns,13695
mat4 transform vector4,vek,,,,668981.0,ns,13860
mat4 transform vector4,vek,,,,654951.0,ns,14025
mat4 transform vector4,vek,,,,662682.0,ns,14190
mat4 transform vector4,vek,,,,672137.0,ns,14355
mat4 transform vector4,vek,,,,678119.0,ns,14520
mat4 transform vector4,vek,,,,685797.0,ns,14685
mat4 transform vector4,vek,,,,693512.0,ns,14850
mat4 transform vector4,vek,,,,700924.0,ns,15015
mat4 transform vector4,vek,,,,708851.0,ns,15180
mat4 transform vector4,vek,,,,716609.0,ns,15345
mat4 transform vector4,vek,,,,724310.0,ns,15510
mat4 transform vector4,vek,,,,732026.0,ns,15675
mat4 transform vector4,vek,,,,759246.0,ns,15840
mat4 transform vector4,vek,,,,747412.0,ns,16005
mat4 transform vector4,vek,,,,755135.0,ns,16170
mat4 transform vector4,vek,,,,784569.0,ns,16335
mat4 transform vector4,vek,,,,770548.0,ns,16500
