group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mat4 transpose,nalgebra,,,,1064284.0,ns,85633
mat4 transpose,nalgebra,,,,2004343.0,ns,171266
mat4 transpose,nalgebra,,,,2973462.0,ns,256899
mat4 transpose,nalgebra,,,,4235613.0,ns,342532
mat4 transpose,nalgebra,,,,4959461.0,ns,428165
mat4 transpose,nalgebra,,,,6010995.0,ns,513798
mat4 transpose,nalgebra,,,,6849761.0,ns,599431
mat4 transpose,nalgebra,,,,7647686.0,ns,685064
mat4 transpose,nalgebra,,,,8695498.0,ns,770697
mat4 transpose,nalgebra,,,,9595143.0,ns,856330
mat4 transpose,nalgebra,,,,10487256.0,ns,941963
mat4 transpose,nalgebra,,,,11432474.0,ns,1027596
mat4 transpose,nalgebra,,,,12318503.0,ns,1113229
mat4 transpose,nalgebra,,,,13329629.0,ns,1198862
mat4 transpose,nalgebra,,,,14234484.0,ns,1284495
mat4 transpose,nalgebra,,,,15186749.0,ns,1370128
mat4 transpose,nalgebra,,,,16115259.0,ns,1455761
mat4 transpose,nalgebra,,,,17027134.0,ns,1541394
mat4 transpose,nalgebra,,,,17993926.0,ns,1627027
mat4 transpose,nalgebra,,,,18940616.0,ns,1712660
mat4 transpose,nalgebra,,,,19861182.0,ns,1798293
mat4 transpose,nalgebra,,,,20807818.0,ns,1883926
mat4 transpose,nalgebra,,,,21756755.0,ns,1969559
mat4 transpose,nalgebra,,,,22664755.0,ns,2055192
mat4 transpose,nalgebra,,,,23675342.0,ns,2140825
mat4 transpose,nalgebra,,,,24631667.0,ns,2226458
mat4 transpose,nalgebra,,,,25510648.0,ns,2312091
mat4 transpose,nalgebra,,,,26603650.0,ns,2397724
mat4 transpose,nalgebra,,,,27443531.0,ns,2483357
mat4 transpose,nalgebra,,,,28396287.0,ns,2568990
mat4 transpose,nalgebra,,,,29345938.0,ns,2654623
mat4 transpose,nalgebra,,,,30247300.0,ns,2740256
mat4 transpose,nalgebra,,,,31218093.0,ns,2825889
