group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mat4 transpose,vek,,,,1106266.0,ns,129786
mat4 transpose,vek,,,,2087050.0,ns,259572
mat4 transpose,vek,,,,3064635.0,ns,389358
mat4 transpose,vek,,,,4300175.0,ns,519144
mat4 transpose,vek,,,,5029358.0,ns,648930
mat4 transpose,vek,,,,6083513.0,ns,778716
mat4 transpose,vek,,,,7078782.0,ns,908502
mat4 transpose,vek,,,,7982453.0,ns,1038288
mat4 transpose,vek,,,,8983508.0,ns,1168074
mat4 transpose,vek,,,,9962758.0,ns,1297860
mat4 transpose,vek,,,,10918842.0,ns,1427646
mat4 transpose,vek,,,,11878480.0,ns,1557432
mat4 transpose,vek,,,,12875522.0,ns,1687218
mat4 transpose,vek,,,,13853010.0,ns,1817004
mat4 transpose,vek,,,,14849138.0,ns,1946790
mat4 transpose,vek,,,,15814592.0,ns,2076576
mat4 transpose,vek,,,,16835302.0,ns,2206362
mat4 transpose,vek,,,,17792953.0,ns,2336148
mat4 transpose,vek,,,,18789671.0,ns,2465934
mat4 transpose,vek,,,,19750424.0,ns,2595720
mat4 transpose,vek,,,,20709163.0,ns,2725506
mat4 transpose,vek,,,,21713343.0,ns,2855292
mat4 transpose,vek,,,,22666008.0,ns,2985078
mat4 transpose,vek,,,,23682903.0,ns,3114864
mat4 transpose,vek,,,,24625590.0,ns,3244650
mat4 transpose,vek,,,,25669861.0,ns,3374436
mat4 transpose,vek,,,,26626960.0,ns,3504222
mat4 transpose,vek,,,,27583995.0,ns,3634008
mat4 transpose,vek,,,,28545178.0,ns,3763794
mat4 transpose,vek,,,,29544763.0,ns,3893580
mat4 transpose,vek,,,,30628694.0,ns,4023366
mat4 transpose,vek,,,,31501385.0,ns,4153152
mat4 transpose,vek,,,,32500264.0,ns,4282938
mat4 transpose,vek,,,,34115905.0,ns,4412724
mat4 transpose,vek,,,,34657861.0,ns,4542510
mat4 transpose,vek,,,,35417924.0,ns,4672296
mat4 transpose,vek,,,,36493377.0,ns,4802082
mat4 transpose,vek,,,,37412817.0,ns,4931868
mat4 transpose,vek,,,,38411592.0,ns,5061654
mat4 transpose,vek,,,,39451980.0,ns,5191440
mat4 transpose,vek,,,,40334981.0,ns,5321226
mat4 transpose,vek,,,,41358337.0,ns,5451012
mat4 transpose,vek,,,,42268304.0,ns,5580798
mat4 transpose,vek,,,,43453695.0,ns,5710584
mat4 transpose,vek,,,,44259761.0,ns,5840370
mat4 transpose,vek,,,,45246907.0,ns,5970156
mat4 transpose,vek,,,,46212386.0,ns,6099942
mat4 transpose,vek,,,,47267808.0,ns,6229728
mat4 transpose,vek,,,,48592126.0,ns,6359514
mat4 transpose,vek,,,,49194626.0,ns,6489300
mat4 transpose,vek,,,,50149181.0,ns,6619086
mat4 transpose,vek,,,,51284031.0,ns,6748872
mat4 transpose,vek,,,,52183570.0,ns,6878658
mat4 transpose,vek,,,,53082646.0,ns,7008444
mat4 transpose,vek,,,,54134855.0,ns,7138230
mat4 transpose,vek,,,,55097974.0,ns,7268016
mat4 transpose,vek,,,,56029328.0,ns,7397802
mat4 transpose,vek,,,,57016746.0,ns,7527588
mat4 transpose,vek,,,,58166996.0,ns,7657374
mat4 transpose,vek,,,,59698617.0,ns,7787160
mat4 transpose,vek,,,,59963641.0,ns,7916946
mat4 transpose,vek,,,,60912027.0,ns,8046732
mat4 transpose,vek,,,,61960312.0,ns,8176518
mat4 transpose,vek,,,,62894773.0,ns,8306304
mat4 transpose,vek,,,,63861512.0,ns,8436090
mat4 transpose,vek,,,,65214793.0,ns,8565876
mat4 transpose,vek,,,,65860231.0,ns,8695662
mat4 transpose,vek,,,,66822066.0,ns,8825448
mat4 transpose,vek,,,,68241282.0,ns,8955234
mat4 transpose,vek,,,,68773763.0,ns,9085020
mat4 transpose,vek,,,,70443188.0,ns,9214806
mat4 transpose,vek,,,,70779474.0,ns,9344592
mat4 transpose,vek,,,,71769743.0,ns,9474378
mat4 transpose,vek,,,,72709332.0,ns,9604164
mat4 transpose,vek,,,,73879744.0,ns,9733950
mat4 transpose,vek,,,,74763847.0,ns,9863736
mat4 transpose,vek,,,,76259118.0,ns,9993522
mat4 transpose,vek,,,,76675820.0,ns,10123308
mat4 transpose,vek,,,,77625379.0,ns,10253094
mat4 transpose,vek,,,,78625519.0,ns,10382880
mat4 transpose,vek,,,,79567723.0,ns,10512666
mat4 transpose,vek,,,,85144764.0,ns,10642452
mat4 transpose,vek,,,,81551059.0,ns,10772238
mat4 transpose,vek,,,,82569813.0,ns,10902024
mat4 transpose,vek,,,,83925130.0,ns,11031810
mat4 transpose,vek,,,,84504745.0,ns,11161596
mat4 transpose,vek,,,,85931778.0,ns,11291382
mat4 transpose,vek,,,,87069483.0,ns,11421168
mat4 transpose,vek,,,,87708529.0,ns,11550954
mat4 transpose,vek,,,,88467321.0,ns,11680740
mat4 transpose,vek,,,,89404489.0,ns,11810526
mat4 transpose,vek,,,,90769372.0,ns,11940312
mat4 transpose,vek,,,,91421002.0,ns,12070098
mat4 transpose,vek,,,,92374300.0,ns,12199884
mat4 transpose,vek,,,,93369148.0,ns,12329670
mat4 transpose,vek,,,,94667184.0,ns,12459456
mat4 transpose,vek,,,,95335083.0,ns,12589242
mat4 transpose,vek,,,,97119628.0,ns,12719028
mat4 transpose,vek,,,,97229456.0,ns,12848814
mat4 transpose,vek,,,,98254773.0,ns,12978600
