group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
quat conjugate,cgmath,,,,1449494.0,ns,557785
quat conjugate,cgmath,,,,2778536.0,ns,1115570
quat conjugate,cgmath,,,,3482152.0,ns,1673355
quat conjugate,cgmath,,,,4124264.0,ns,2231140
quat conjugate,cgmath,,,,5090597.0,ns,2788925
quat conjugate,cgmath,,,,6127938.0,ns,3346710
quat conjugate,cgmath,,,,7426075.0,ns,3904495
quat conjugate,cgmath,,,,7989923.0,ns,4462280
quat conjugate,cgmath,,,,9021801.0,ns,5020065
quat conjugate,cgmath,,,,9962140.0,ns,5577850
quat conjugate,cgmath,,,,10894466.0,ns,6135635
quat conjugate,cgmath,,,,11878342.0,ns,6693420
quat conjugate,cgmath,,,,12879433.0,ns,7251205
quat conjugate,cgmath,,,,13862751.0,ns,7808990
quat conjugate,cgmath,,,,14829601.0,ns,8366775
quat conjugate,cgmath,,,,15824026.0,ns,8924560
quat conjugate,cgmath,,,,16799774.0,ns,9482345
quat conjugate,cgmath,,,,17767574.0,ns,10040130
quat conjugate,cgmath,,,,18762180.0,ns,10597915
quat conjugate,cgmath,,,,19917800.0,ns,11155700
quat conjugate,cgmath,,,,20852218.0,ns,11713485
quat conjugate,cgmath,,,,21702725.0,ns,12271270
quat conjugate,cgmath,,,,22685808.0,ns,12829055
quat conjugate,cgmath,,,,23662275.0,ns,13386840
quat conjugate,cgmath,,,,24650672.0,ns,13944625
quat conjugate,cgmath,,,,25652681.0,ns,14502410
quat conjugate,cgmath,,,,26723351.0,ns,15060195
quat conjugate,cgmath,,,,27600075.0,ns,15617980
quat conjugate,cgmath,,,,28671533.0,ns,16175765
quat conjugate,cgmath,,,,30383868.0,ns,16733550
quat conjugate,cgmath,,,,30529655.0,ns,17291335
quat conjugate,cgmath,,,,31608170.0,ns,17849120
quat conjugate,cgmath,,,,32476278.0,ns,18406905
quat conjugate,cgmath,,,,33474898.0,ns,18964690
quat conjugate,cgmath,,,,35291371.0,ns,19522475
quat conjugate,cgmath,,,,35434085.0,ns,20080260
quat conjugate,cgmath,,,,36431572.0,ns,20638045
quat conjugate,cgmath,,,,37390845.0,ns,21195830
quat conjugate,cgmath,,,,38356538.0,ns,21753615
quat conjugate,cgmath,,,,39474006.0,ns,22311400
quat conjugate,cgmath,,,,40352292.0,ns,22869185
quat conjugate,cgmath,,,,41342611.0,ns,23426970
quat conjugate,cgmath,,,,42327454.0,ns,23984755
quat conjugate,cgmath,,,,43349619.0,ns,24542540
quat conjugate,cgmath,,,,44583928.0,ns,25100325
quat conjugate,cgmath,,,,45256658.0,ns,25658110
quat conjugate,cgmath,,,,46226250.0,ns,26215895
quat conjugate,cgmath,,,,47186642.0,ns,26773680
quat conjugate,cgmath,,,,48974683.0,ns,27331465
quat conjugate,cgmath,,,,49145364.0,ns,27889250
quat conjugate,cgmath,,,,50152398.0,ns,28447035
quat conjugate,cgmath,,,,51108192.0,ns,29004820
quat conjugate,cgmath,,,,52222358.0,ns,29562605
quat conjugate,cgmath,,,,53836460.0,ns,30120390
quat conjugate,cgmath,,,,54082904.0,ns,30678175
