group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
quat conjugate,nalgebra,,,,1112908.0,ns,557654
quat conjugate,nalgebra,,,,2095636.0,ns,1115308
quat conjugate,nalgebra,,,,3070722.0,ns,1672962
quat conjugate,nalgebra,,,,4277497.0,ns,2230616
quat conjugate,nalgebra,,,,5052734.0,ns,2788270
quat conjugate,nalgebra,,,,6063731.0,ns,3345924
quat conjugate,nalgebra,,,,7232547.0,ns,3903578
quat conjugate,nalgebra,,,,8033073.0,ns,4461232
quat conjugate,nalgebra,,,,8973111.0,ns,5018886
quat conjugate,nalgebra,,,,9976592.0,ns,5576540
quat conjugate,nalgebra,,,,10997918.0,ns,6134194
quat conjugate,nalgebra,,,,11924009.0,ns,6691848
quat conjugate,nalgebra,,,,13358307.0,ns,7249502
quat conjugate,nalgebra,,,,13896828.0,ns,7807156
quat conjugate,nalgebra,,,,14901300.0,ns,8364810
quat conjugate,nalgebra,,,,15836765.0,ns,8922464
quat conjugate,nalgebra,,,,16849359.0,ns,9480118
quat conjugate,nalgebra,,,,17876995.0,ns,10037772
quat conjugate,nalgebra,,,,18815621.0,ns,10595426
quat conjugate,nalgebra,,,,19785934.0,ns,11153080
quat conjugate,nalgebra,,,,20778736.0,ns,11710734
quat conjugate,nalgebra,,,,21816530.0,ns,12268388
quat conjugate,nalgebra,,,,22868966.0,ns,12826042
quat conjugate,nalgebra,,,,23802395.0,ns,13383696
quat conjugate,nalgebra,,,,24880783.0,ns,13941350
quat conjugate,nalgebra,,,,25794241.0,ns,14499004
quat conjugate,nalgebra,,,,26716008.0,ns,15056658
quat conjugate,nalgebra,,,,27692869.0,ns,15614312
quat conjugate,nalgebra,,,,28640664.0,ns,16171966
quat conjugate,nalgebra,,,,29630176.0,ns,16729620
quat conjugate,nalgebra,,,,30927142.0,ns,17287274
quat conjugate,nalgebra,,,,31593199.0,ns,17844928
quat conjugate,nalgebra,,,,32541248.0,ns,18402582
quat conjugate,nalgebra,,,,33518140.0,ns,18960236
quat conjugate,nalgebra,,,,34556144.0,ns,19517890
quat conjugate,nalgebra,,,,35594938.0,ns,20075544
quat conjugate,nalgebra,,,,36818131.0,ns,20633198
quat conjugate,nalgebra,,,,37596026.0,ns,21190852
quat conjugate,nalgebra,,,,38493938.0,ns,21748506
quat conjugate,nalgebra,,,,39496503.0,ns,22306160
quat conjugate,nalgebra,,,,40364635.0,ns,22863814
quat conjugate,nalgebra,,,,41529713.0,ns,23421468
quat conjugate,nalgebra,,,,42482330.0,ns,23979122
quat conjugate,nalgebra,,,,43414359.0,ns,24536776
quat conjugate,nalgebra,,,,44506453.0,ns,25094430
quat conjugate,nalgebra,,,,45439746.0,ns,25652084
quat conjugate,nalgebra,,,,46382725.0,ns,26209738
quat conjugate,nalgebra,,,,47318540.0,ns,26767392
quat conjugate,nalgebra,,,,48417797.0,ns,27325046
quat conjugate,nalgebra,,,,49388446.0,ns,27882700
quat conjugate,nalgebra,,,,50882334.0,ns,28440354
quat conjugate,nalgebra,,,,51344418.0,ns,28998008
quat conjugate,nalgebra,,,,52186974.0,ns,29555662
quat conjugate,nalgebra,,,,53265599.0,ns,30113316
quat conjugate,nalgebra,,,,54159030.0,ns,30670970
quat conjugate,nalgebra,,,,55268085.0,ns,31228624
quat conjugate,nalgebra,,,,56202294.0,ns,31786278
quat conjugate,nalgebra,,,,57240434.0,ns,32343932
quat conjugate,nalgebra,,,,58427168.0,ns,32901586
quat conjugate,nalgebra,,,,59215642.0,ns,33459240
quat conjugate,nalgebra,,,,60203969.0,ns,34016894
quat conjugate,nalgebra,,,,61057001.0,ns,34574548
quat conjugate,nalgebra,,,,62098026.0,ns,35132202
quat conjugate,nalgebra,,,,63224301.0,ns,35689856
quat conjugate,nalgebra,,,,64118178.0,ns,36247510
quat conjugate,nalgebra,,,,64917156.0,ns,36805164
quat conjugate,nalgebra,,,,66017597.0,ns,37362818
quat conjugate,nalgebra,,,,67150937.0,ns,37920472
quat conjugate,nalgebra,,,,67941727.0,ns,38478126
quat conjugate,nalgebra,,,,68966939.0,ns,39035780
quat conjugate,nalgebra,,,,70064223.0,ns,39593434
quat conjugate,nalgebra,,,,70957792.0,ns,40151088
quat conjugate,nalgebra,,,,71909076.0,ns,40708742
quat conjugate,nalgebra,,,,72937107.0,ns,41266396
quat conjugate,nalgebra,,,,73869148.0,ns,41824050
quat conjugate,nalgebra,,,,75145854.0,ns,42381704
quat conjugate,nalgebra,,,,75944733.0,ns,42939358
quat conjugate,nalgebra,,,,76797448.0,ns,43497012
quat conjugate,nalgebra,,,,77729222.0,ns,44054666
quat conjugate,nalgebra,,,,78671627.0,ns,44612320
quat conjugate,nalgebra,,,,79910758.0,ns,45169974
quat conjugate,nalgebra,,,,80860857.0,ns,45727628
quat conjugate,nalgebra,,,,81863920.0,ns,46285282
quat conjugate,nalgebra,,,,82711427.0,ns,46842936
quat conjugate,nalgebra,,,,83656872.0,ns,47400590
quat conjugate,nalgebra,,,,85127460.0,ns,47958244
quat conjugate,nalgebra,,,,85787069.0,ns,48515898
quat conjugate,nalgebra,,,,86628264.0,ns,49073552
quat conjugate,nalgebra,,,,87622669.0,ns,49631206
quat conjugate,nalgebra,,,,88621312.0,ns,50188860
quat conjugate,nalgebra,,,,89735047.0,ns,50746514
quat conjugate,nalgebra,,,,90499389.0,ns,51304168
quat conjugate,nalgebra,,,,91931579.0,ns,51861822
quat conjugate,nalgebra,,,,92578302.0,ns,52419476
quat conjugate,nalgebra,,,,93880589.0,ns,52977130
quat conjugate,nalgebra,,,,94423733.0,ns,53534784
quat conjugate,nalgebra,,,,95562628.0,ns,54092438
quat conjugate,nalgebra,,,,96445595.0,ns,54650092
quat conjugate,nalgebra,,,,97529957.0,ns,55207746
quat conjugate,nalgebra,,,,98498471.0,ns,55765400
