group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
quat conjugate,vek,,,,1112530.0,ns,557711
quat conjugate,vek,,,,2094363.0,ns,1115422
quat conjugate,vek,,,,3069559.0,ns,1673133
quat conjugate,vek,,,,4306371.0,ns,2230844
quat conjugate,vek,,,,5075665.0,ns,2788555
quat conjugate,vek,,,,6034446.0,ns,3346266
quat conjugate,vek,,,,7359866.0,ns,3903977
quat conjugate,vek,,,,8020295.0,ns,4461688
quat conjugate,vek,,,,8972871.0,ns,5019399
quat conjugate,vek,,,,9988490.0,ns,5577110
quat conjugate,vek,,,,10923828.0,ns,6134821
quat conjugate,vek,,,,11906712.0,ns,6692532
quat conjugate,vek,,,,12913435.0,ns,7250243
quat conjugate,vek,,,,13916099.0,ns,7807954
quat conjugate,vek,,,,14894064.0,ns,8365665
quat conjugate,vek,,,,15901025.0,ns,8923376
quat conjugate,vek,,,,17052964.0,ns,9481087
quat conjugate,vek,,,,17932408.0,ns,10038798
quat conjugate,vek,,,,18910776.0,ns,10596509
quat conjugate,vek,,,,19938049.0,ns,11154220
quat conjugate,vek,,,,20801962.0,ns,11711931
quat conjugate,vek,,,,21789929.0,ns,12269642
quat conjugate,vek,,,,22748309.0,ns,12827353
quat conjugate,vek,,,,23743779.0,ns,13385064
quat conjugate,vek,,,,24833729.0,ns,13942775
quat conjugate,vek,,,,25751953.0,ns,14500486
quat conjugate,vek,,,,26719629.0,ns,15058197
quat conjugate,vek,,,,28183237.0,ns,15615908
quat conjugate,vek,,,,28683209.0,ns,16173619
quat conjugate,vek,,,,29740040.0,ns,16731330
quat conjugate,vek,,,,30550477.0,ns,17289041
quat conjugate,vek,,,,31695091.0,ns,17846752
quat conjugate,vek,,,,32599878.0,ns,18404463
quat conjugate,vek,,,,33503015.0,ns,18962174
quat conjugate,vek,,,,34589929.0,ns,19519885
quat conjugate,vek,,,,35468310.0,ns,20077596
quat conjugate,vek,,,,36572597.0,ns,20635307
quat conjugate,vek,,,,37502506.0,ns,21193018
quat conjugate,vek,,,,38454669.0,ns,21750729
quat conjugate,vek,,,,39518564.0,ns,22308440
quat conjugate,vek,,,,40445273.0,ns,22866151
quat conjugate,vek,,,,41521269.0,ns,23423862
quat conjugate,vek,,,,42729629.0,ns,23981573
quat conjugate,vek,,,,43608691.0,ns,24539284
quat conjugate,vek,,,,44713505.0,ns,25096995
quat conjugate,vek,,,,45430502.0,ns,25654706
quat conjugate,vek,,,,46444201.0,ns,26212417
quat conjugate,vek,,,,47380852.0,ns,26770128
quat conjugate,vek,,,,48404320.0,ns,27327839
quat conjugate,vek,,,,49254682.0,ns,27885550
quat conjugate,vek,,,,50380947.0,ns,28443261
quat conjugate,vek,,,,51208349.0,ns,29000972
quat conjugate,vek,,,,52489778.0,ns,29558683
quat conjugate,vek,,,,53368561.0,ns,30116394
quat conjugate,vek,,,,54485376.0,ns,30674105
quat conjugate,vek,,,,55552762.0,ns,31231816
quat conjugate,vek,,,,56271438.0,ns,31789527
quat conjugate,vek,,,,57218630.0,ns,32347238
quat conjugate,vek,,,,58497232.0,ns,32904949
quat conjugate,vek,,,,59271318.0,ns,33462660
quat conjugate,vek,,,,60102701.0,ns,34020371
quat conjugate,vek,,,,61415288.0,ns,34578082
quat conjugate,vek,,,,62261391.0,ns,35135793
quat conjugate,vek,,,,63155461.0,ns,35693504
quat conjugate,vek,,,,64184970.0,ns,36251215
quat conjugate,vek,,,,65339519.0,ns,36808926
quat conjugate,vek,,,,66030766.0,ns,37366637
quat conjugate,vek,,,,67155181.0,ns,37924348
quat conjugate,vek,,,,68083096.0,ns,38482059
quat conjugate,vek,,,,69250016.0,ns,39039770
quat conjugate,vek,,,,70360417.0,ns,39597481
quat conjugate,vek,,,,70984904.0,ns,40155192
quat conjugate,vek,,,,71962410.0,ns,40712903
quat conjugate,vek,,,,73004712.0,ns,41270614
quat conjugate,vek,,,,74373824.0,ns,41828325
quat conjugate,vek,,,,75256619.0,ns,42386036
quat conjugate,vek,,,,75924490.0,ns,42943747
quat conjugate,vek,,,,76859587.0,ns,43501458
quat conjugate,vek,,,,78020540.0,ns,44059169
quat conjugate,vek,,,,78845584.0,ns,44616880
quat conjugate,vek,,,,79845227.0,ns,45174591
quat conjugate,vek,,,,80963670.0,ns,45732302
quat conjugate,vek,,,,82086164.0,ns,46290013
quat conjugate,vek,,,,82718705.0,ns,46847724
quat conjugate,vek,,,,83778649.0,ns,47405435
quat conjugate,vek,,,,84747481.0,ns,47963146
quat conjugate,vek,,,,85745522.0,ns,48520857
quat conjugate,vek,,,,87605806.0,ns,49078568
quat conjugate,vek,,,,88011041.0,ns,49636279
quat conjugate,vek,,,,89053862.0,ns,50193990
quat conjugate,vek,,,,90133103.0,ns,50751701
quat conjugate,vek,,,,90662305.0,ns,51309412
quat conjugate,vek,,,,91761852.0,ns,51867123
quat conjugate,vek,,,,92589107.0,ns,52424834
quat conjugate,vek,,,,93918175.0,ns,52982545
quat conjugate,vek,,,,94885915.0,ns,53540256
quat conjugate,vek,,,,95634018.0,ns,54097967
quat conjugate,vek,,,,96533431.0,ns,54655678
quat conjugate,vek,,,,97509046.0,ns,55213389
quat conjugate,vek,,,,98828512.0,ns,55771100
