group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
quat mul quat,vek,,,,7972.0,ns,1007
quat mul quat,vek,,,,15962.0,ns,2014
quat mul quat,vek,,,,23229.0,ns,3021
quat mul quat,vek,,,,31791.0,ns,4028
quat mul quat,vek,,,,38685.0,ns,5035
quat mul quat,vek,,,,46258.0,ns,6042
quat mul quat,vek,,,,54062.0,ns,7049
quat mul quat,vek,,,,61913.0,ns,8056
quat mul quat,vek,,,,69372.0,ns,9063
quat mul quat,vek,,,,77131.0,ns,10070
quat mul quat,vek,,,,84759.0,ns,11077
quat mul quat,vek,,,,92495.0,ns,12084
quat mul quat,vek,,,,100493.0,ns,13091
quat mul quat,vek,,,,108253.0,ns,14098
quat mul quat,vek,,,,115562.0,ns,15105
quat mul quat,vek,,,,123677.0,ns,16112
quat mul quat,vek,,,,130973.0,ns,17119
quat mul quat,vek,,,,138802.0,ns,18126
quat mul quat,vek,,,,146830.0,ns,19133
quat mul quat,vek,,,,154136.0,ns,20140
quat mul quat,vek,,,,162266.0,ns,21147
quat mul quat,vek,,,,170065.0,ns,22154
quat mul quat,vek,,,,177694.0,ns,23161
quat mul quat,vek,,,,184995.0,ns,24168
quat mul quat,vek,,,,193165.0,ns,25175
quat mul quat,vek,,,,201002.0,ns,26182
quat mul quat,vek,,,,209569.0,ns,27189
quat mul quat,vek,,,,216379.0,ns,28196
quat mul quat,vek,,,,224027.0,ns,29203
quat mul quat,vek,,,,231822.0,ns,30210
quat mul quat,vek,,,,238787.0,ns,31217
quat mul quat,vek,,,,247343.0,ns,32224
quat mul quat,vek,,,,265317.0,ns,33231
quat mul quat,vek,,,,263668.0,ns,34238
quat mul quat,vek,,,,269621.0,ns,35245
quat mul quat,vek,,,,278226.0,ns,36252
quat mul quat,vek,,,,285911.0,ns,37259
quat mul quat,vek,,,,292940.0,ns,38266
quat mul quat,vek,,,,301253.0,ns,39273
quat mul quat,vek,,,,308287.0,ns,40280
quat mul quat,vek,,,,316757.0,ns,41287
quat mul quat,vek,,,,324627.0,ns,42294
quat mul quat,vek,,,,331199.0,ns,43301
quat mul quat,vek,,,,340107.0,ns,44308
quat mul quat,vek,,,,347609.0,ns,45315
quat mul quat,vek,,,,356193.0,ns,46322
quat mul quat,vek,,,,363114.0,ns,47329
quat mul quat,vek,,,,370008.0,ns,48336
quat mul quat,vek,,,,378511.0,ns,49343
quat mul quat,vek,,,,386306.0,ns,50350
quat mul quat,vek,,,,395429.0,ns,51357
quat mul quat,vek,,,,401837.0,ns,52364
quat mul quat,vek,,,,409409.0,ns,53371
quat mul quat,vek,,,,417281.0,ns,54378
quat mul quat,vek,,,,423644.0,ns,55385
quat mul quat,vek,,,,432859.0,ns,56392
quat mul quat,vek,,,,440241.0,ns,57399
quat mul quat,vek,,,,448193.0,ns,58406
quat mul quat,vek,,,,454412.0,ns,59413
quat mul quat,vek,,,,462415.0,ns,60420
quat mul quat,vek,,,,469689.0,ns,61427
quat mul quat,vek,,,,479099.0,ns,62434
quat mul quat,vek,,,,486709.0,ns,63441
quat mul quat,vek,,,,514740.0,ns,64448
quat mul quat,vek,,,,502170.0,ns,65455
quat mul quat,vek,,,,511685.0,ns,66462
quat mul quat,vek,,,,516030.0,ns,67469
quat mul quat,vek,,,,525566.0,ns,68476
quat mul quat,vek,,,,531292.0,ns,69483
quat mul quat,vek,,,,541429.0,ns,70490
quat mul quat,vek,,,,548524.0,ns,71497
quat mul quat,vek,,,,554852.0,ns,72504
quat mul quat,vek,,,,563922.0,ns,73511
quat mul quat,vek,,,,573752.0,ns,74518
quat mul quat,vek,,,,579330.0,ns,75525
quat mul quat,vek,,,,585781.0,ns,76532
quat mul quat,vek,,,,593107.0,ns,77539
quat mul quat,vek,,,,622185.0,ns,78546
quat mul quat,vek,,,,611055.0,ns,79553
quat mul quat,vek,,,,616516.0,ns,80560
quat mul quat,vek,,,,626142.0,ns,81567
quat mul quat,vek,,,,631951.0,ns,82574
quat mul quat,vek,,,,661636.0,ns,83581
quat mul quat,vek,,,,646930.0,ns,84588
quat mul quat,vek,,,,658513.0,ns,85595
quat mul quat,vek,,,,685773.0,ns,86602
quat mul quat,vek,,,,671613.0,ns,87609
quat mul quat,vek,,,,679934.0,ns,88616
quat mul quat,vek,,,,687525.0,ns,89623
quat mul quat,vek,,,,695407.0,ns,90630
quat mul quat,vek,,,,700809.0,ns,91637
quat mul quat,vek,,,,710986.0,ns,92644
quat mul quat,vek,,,,716208.0,ns,93651
quat mul quat,vek,,,,725586.0,ns,94658
quat mul quat,vek,,,,733770.0,ns,95665
quat mul quat,vek,,,,739797.0,ns,96672
quat mul quat,vek,,,,749351.0,ns,97679
quat mul quat,vek,,,,830230.0,ns,98686
quat mul quat,vek,,,,762457.0,ns,99693
quat mul quat,vek,,,,770659.0,ns,100700
