group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
vec3 cross,glam,,,,7715.0,ns,3795
vec3 cross,glam,,,,15403.0,ns,7590
vec3 cross,glam,,,,23092.0,ns,11385
vec3 cross,glam,,,,30780.0,ns,15180
vec3 cross,glam,,,,38458.0,ns,18975
vec3 cross,glam,,,,46155.0,ns,22770
vec3 cross,glam,,,,55426.0,ns,26565
vec3 cross,glam,,,,61541.0,ns,30360
vec3 cross,glam,,,,69211.0,ns,34155
vec3 cross,glam,,,,76902.0,ns,37950
vec3 cross,glam,,,,84592.0,ns,41745
vec3 cross,glam,,,,92285.0,ns,45540
vec3 cross,glam,,,,99959.0,ns,49335
vec3 cross,glam,,,,107671.0,ns,53130
vec3 cross,glam,,,,115347.0,ns,56925
vec3 cross,glam,,,,123023.0,ns,60720
vec3 cross,glam,,,,130726.0,ns,64515
vec3 cross,glam,,,,138410.0,ns,68310
vec3 cross,glam,,,,147863.0,ns,72105
vec3 cross,glam,,,,157596.0,ns,75900
vec3 cross,glam,,,,161463.0,ns,79695
vec3 cross,glam,,,,169175.0,ns,83490
vec3 cross,glam,,,,176842.0,ns,87285
vec3 cross,glam,,,,184528.0,ns,91080
vec3 cross,glam,,,,192225.0,ns,94875
vec3 cross,glam,,,,199912.0,ns,98670
vec3 cross,glam,,,,207603.0,ns,102465
vec3 cross,glam,,,,220342.0,ns,106260
vec3 cross,glam,,,,222987.0,ns,110055
vec3 cross,glam,,,,230648.0,ns,113850
vec3 cross,glam,,,,238356.0,ns,117645
vec3 cross,glam,,,,246073.0,ns,121440
vec3 cross,glam,,,,253748.0,ns,125235
vec3 cross,glam,,,,261404.0,ns,129030
vec3 cross,glam,,,,269153.0,ns,132825
vec3 cross,glam,,,,276831.0,ns,136620
vec3 cross,glam,,,,284443.0,ns,140415
vec3 cross,glam,,,,292171.0,ns,144210
vec3 cross,glam,,,,301366.0,ns,148005
vec3 cross,glam,,,,307541.0,ns,151800
vec3 cross,glam,,,,316743.0,ns,155595
vec3 cross,glam,,,,322927.0,ns,159390
vec3 cross,glam,,,,352594.0,ns,163185
vec3 cross,glam,,,,376772.0,ns,166980
vec3 cross,glam,,,,345974.0,ns,170775
vec3 cross,glam,,,,353699.0,ns,174570
vec3 cross,glam,,,,361343.0,ns,178365
vec3 cross,glam,,,,370515.0,ns,182160
vec3 cross,glam,,,,376771.0,ns,185955
vec3 cross,glam,,,,384367.0,ns,189750
vec3 cross,glam,,,,392141.0,ns,193545
vec3 cross,glam,,,,399881.0,ns,197340
vec3 cross,glam,,,,408976.0,ns,201135
vec3 cross,glam,,,,415128.0,ns,204930
vec3 cross,glam,,,,424437.0,ns,208725
vec3 cross,glam,,,,430558.0,ns,212520
vec3 cross,glam,,,,443820.0,ns,216315
vec3 cross,glam,,,,445869.0,ns,220110
vec3 cross,glam,,,,453639.0,ns,223905
vec3 cross,glam,,,,461348.0,ns,227700
vec3 cross,glam,,,,469109.0,ns,231495
vec3 cross,glam,,,,476700.0,ns,235290
vec3 cross,glam,,,,484396.0,ns,239085
vec3 cross,glam,,,,492012.0,ns,242880
vec3 cross,glam,,,,499802.0,ns,246675
vec3 cross,glam,,,,508969.0,ns,250470
vec3 cross,glam,,,,515087.0,ns,254265
vec3 cross,glam,,,,522765.0,ns,258060
vec3 cross,glam,,,,530528.0,ns,261855
vec3 cross,glam,,,,538222.0,ns,265650
vec3 cross,glam,,,,545917.0,ns,269445
vec3 cross,glam,,,,575453.0,ns,273240
vec3 cross,glam,,,,561284.0,ns,277035
vec3 cross,glam,,,,568975.0,ns,280830
vec3 cross,glam,,,,578150.0,ns,284625
vec3 cross,glam,,,,606146.0,ns,288420
vec3 cross,glam,,,,591951.0,ns,292215
vec3 cross,glam,,,,599693.0,ns,296010
vec3 cross,glam,,,,607446.0,ns,299805
vec3 cross,glam,,,,615103.0,ns,303600
vec3 cross,glam,,,,622708.0,ns,307395
vec3 cross,glam,,,,630553.0,ns,311190
vec3 cross,glam,,,,638073.0,ns,314985
vec3 cross,glam,,,,667358.0,ns,318780
vec3 cross,glam,,,,655012.0,ns,322575
vec3 cross,glam,,,,661198.0,ns,326370
vec3 cross,glam,,,,668883.0,ns,330165
vec3 cross,glam,,,,678007.0,ns,333960
vec3 cross,glam,,,,685969.0,ns,337755
vec3 cross,glam,,,,691900.0,ns,341550
vec3 cross,glam,,,,699736.0,ns,345345
vec3 cross,glam,,,,707308.0,ns,349140
vec3 cross,glam,,,,714965.0,ns,352935
vec3 cross,glam,,,,722733.0,ns,356730
vec3 cross,glam,,,,730470.0,ns,360525
vec3 cross,glam,,,,745595.0,ns,364320
vec3 cross,glam,,,,747265.0,ns,368115
vec3 cross,glam,,,,753437.0,ns,371910
vec3 cross,glam,,,,761213.0,ns,375705
vec3 cross,glam,,,,768833.0,ns,379500
