group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
vec3 cross,vek,,,,7666.0,ns,2706
vec3 cross,vek,,,,15289.0,ns,5412
vec3 cross,vek,,,,22925.0,ns,8118
vec3 cross,vek,,,,30559.0,ns,10824
vec3 cross,vek,,,,38201.0,ns,13530
vec3 cross,vek,,,,45849.0,ns,16236
vec3 cross,vek,,,,53498.0,ns,18942
vec3 cross,vek,,,,64851.0,ns,21648
vec3 cross,vek,,,,68781.0,ns,24354
vec3 cross,vek,,,,76414.0,ns,27060
vec3 cross,vek,,,,84067.0,ns,29766
vec3 cross,vek,,,,91691.0,ns,32472
vec3 cross,vek,,,,99282.0,ns,35178
vec3 cross,vek,,,,106854.0,ns,37884
vec3 cross,vek,,,,114535.0,ns,40590
vec3 cross,vek,,,,122235.0,ns,43296
vec3 cross,vek,,,,129765.0,ns,46002
vec3 cross,vek,,,,137525.0,ns,48708
vec3 cross,vek,,,,145008.0,ns,51414
vec3 cross,vek,,,,152639.0,ns,54120
vec3 cross,vek,,,,160283.0,ns,56826
vec3 cross,vek,,,,168072.0,ns,59532
vec3 cross,vek,,,,175528.0,ns,62238
vec3 cross,vek,,,,183126.0,ns,64944
vec3 cross,vek,,,,190996.0,ns,67650
vec3 cross,vek,,,,198618.0,ns,70356
vec3 cross,vek,,,,206254.0,ns,73062
vec3 cross,vek,,,,213685.0,ns,75768
vec3 cross,vek,,,,221315.0,ns,78474
vec3 cross,vek,,,,229158.0,ns,81180
vec3 cross,vek,,,,236830.0,ns,83886
vec3 cross,vek,,,,264524.0,ns,86592
vec3 cross,vek,,,,267364.0,ns,89298
vec3 cross,vek,,,,259743.0,ns,92004
vec3 cross,vek,,,,267136.0,ns,94710
vec3 cross,vek,,,,274988.0,ns,97416
vec3 cross,vek,,,,282423.0,ns,100122
vec3 cross,vek,,,,310332.0,ns,102828
vec3 cross,vek,,,,297950.0,ns,105534
vec3 cross,vek,,,,305310.0,ns,108240
vec3 cross,vek,,,,312951.0,ns,110946
vec3 cross,vek,,,,320578.0,ns,113652
vec3 cross,vek,,,,328217.0,ns,116358
vec3 cross,vek,,,,336185.0,ns,119064
vec3 cross,vek,,,,343816.0,ns,121770
vec3 cross,vek,,,,351103.0,ns,124476
vec3 cross,vek,,,,358869.0,ns,127182
vec3 cross,vek,,,,366638.0,ns,129888
vec3 cross,vek,,,,373976.0,ns,132594
vec3 cross,vek,,,,381998.0,ns,135300
vec3 cross,vek,,,,391019.0,ns,138006
vec3 cross,vek,,,,397308.0,ns,140712
vec3 cross,vek,,,,404532.0,ns,143418
vec3 cross,vek,,,,413667.0,ns,146124
vec3 cross,vek,,,,420189.0,ns,148830
vec3 cross,vek,,,,427417.0,ns,151536
vec3 cross,vek,,,,435356.0,ns,154242
vec3 cross,vek,,,,442731.0,ns,156948
vec3 cross,vek,,,,450317.0,ns,159654
vec3 cross,vek,,,,458315.0,ns,162360
vec3 cross,vek,,,,465954.0,ns,165066
vec3 cross,vek,,,,479699.0,ns,167772
vec3 cross,vek,,,,482860.0,ns,170478
vec3 cross,vek,,,,488542.0,ns,173184
vec3 cross,vek,,,,496488.0,ns,175890
vec3 cross,vek,,,,505061.0,ns,178596
vec3 cross,vek,,,,511843.0,ns,181302
vec3 cross,vek,,,,519357.0,ns,184008
vec3 cross,vek,,,,527166.0,ns,186714
vec3 cross,vek,,,,535986.0,ns,189420
vec3 cross,vek,,,,542435.0,ns,192126
vec3 cross,vek,,,,549538.0,ns,194832
vec3 cross,vek,,,,557230.0,ns,197538
vec3 cross,vek,,,,565202.0,ns,200244
vec3 cross,vek,,,,574794.0,ns,202950
vec3 cross,vek,,,,583602.0,ns,205656
vec3 cross,vek,,,,599819.0,ns,208362
vec3 cross,vek,,,,595393.0,ns,211068
vec3 cross,vek,,,,603438.0,ns,213774
vec3 cross,vek,,,,611203.0,ns,216480
vec3 cross,vek,,,,639134.0,ns,219186
vec3 cross,vek,,,,626366.0,ns,221892
vec3 cross,vek,,,,635712.0,ns,224598
vec3 cross,vek,,,,641186.0,ns,227304
vec3 cross,vek,,,,652288.0,ns,230010
vec3 cross,vek,,,,661095.0,ns,232716
vec3 cross,vek,,,,696966.0,ns,235422
vec3 cross,vek,,,,672253.0,ns,238128
vec3 cross,vek,,,,679358.0,ns,240834
vec3 cross,vek,,,,712809.0,ns,243540
vec3 cross,vek,,,,702779.0,ns,246246
vec3 cross,vek,,,,702281.0,ns,248952
vec3 cross,vek,,,,710439.0,ns,251658
vec3 cross,vek,,,,723084.0,ns,254364
vec3 cross,vek,,,,728707.0,ns,257070
vec3 cross,vek,,,,732804.0,ns,259776
vec3 cross,vek,,,,871386.0,ns,262482
vec3 cross,vek,,,,748620.0,ns,265188
vec3 cross,vek,,,,756255.0,ns,267894
vec3 cross,vek,,,,763830.0,ns,270600
