group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
vec3 dot,euclid,,,,7689.0,ns,4577
vec3 dot,euclid,,,,15352.0,ns,9154
vec3 dot,euclid,,,,23014.0,ns,13731
vec3 dot,euclid,,,,30677.0,ns,18308
vec3 dot,euclid,,,,38340.0,ns,22885
vec3 dot,euclid,,,,46015.0,ns,27462
vec3 dot,euclid,,,,53676.0,ns,32039
vec3 dot,euclid,,,,61338.0,ns,36616
vec3 dot,euclid,,,,69001.0,ns,41193
vec3 dot,euclid,,,,76665.0,ns,45770
vec3 dot,euclid,,,,84338.0,ns,50347
vec3 dot,euclid,,,,91991.0,ns,54924
vec3 dot,euclid,,,,101227.0,ns,59501
vec3 dot,euclid,,,,107338.0,ns,64078
vec3 dot,euclid,,,,114987.0,ns,68655
vec3 dot,euclid,,,,122651.0,ns,73232
vec3 dot,euclid,,,,130313.0,ns,77809
vec3 dot,euclid,,,,137975.0,ns,82386
vec3 dot,euclid,,,,145651.0,ns,86963
vec3 dot,euclid,,,,153312.0,ns,91540
vec3 dot,euclid,,,,160978.0,ns,96117
vec3 dot,euclid,,,,168652.0,ns,100694
vec3 dot,euclid,,,,176298.0,ns,105271
vec3 dot,euclid,,,,203880.0,ns,109848
vec3 dot,euclid,,,,191640.0,ns,114425
vec3 dot,euclid,,,,199300.0,ns,119002
vec3 dot,euclid,,,,208701.0,ns,123579
vec3 dot,euclid,,,,214625.0,ns,128156
vec3 dot,euclid,,,,222302.0,ns,132733
vec3 dot,euclid,,,,229951.0,ns,137310
vec3 dot,euclid,,,,237626.0,ns,141887
vec3 dot,euclid,,,,245291.0,ns,146464
vec3 dot,euclid,,,,252950.0,ns,151041
vec3 dot,euclid,,,,260612.0,ns,155618
vec3 dot,euclid,,,,268288.0,ns,160195
vec3 dot,euclid,,,,275949.0,ns,164772
vec3 dot,euclid,,,,283617.0,ns,169349
vec3 dot,euclid,,,,303497.0,ns,173926
vec3 dot,euclid,,,,298936.0,ns,178503
vec3 dot,euclid,,,,306612.0,ns,183080
vec3 dot,euclid,,,,314274.0,ns,187657
vec3 dot,euclid,,,,321936.0,ns,192234
vec3 dot,euclid,,,,329611.0,ns,196811
vec3 dot,euclid,,,,337261.0,ns,201388
vec3 dot,euclid,,,,344936.0,ns,205965
vec3 dot,euclid,,,,352583.0,ns,210542
vec3 dot,euclid,,,,360259.0,ns,215119
vec3 dot,euclid,,,,367921.0,ns,219696
vec3 dot,euclid,,,,375586.0,ns,224273
vec3 dot,euclid,,,,385013.0,ns,228850
vec3 dot,euclid,,,,390923.0,ns,233427
vec3 dot,euclid,,,,398588.0,ns,238004
vec3 dot,euclid,,,,406249.0,ns,242581
vec3 dot,euclid,,,,413911.0,ns,247158
vec3 dot,euclid,,,,421574.0,ns,251735
vec3 dot,euclid,,,,429248.0,ns,256312
vec3 dot,euclid,,,,436910.0,ns,260889
vec3 dot,euclid,,,,444574.0,ns,265466
vec3 dot,euclid,,,,452235.0,ns,270043
vec3 dot,euclid,,,,459900.0,ns,274620
vec3 dot,euclid,,,,467560.0,ns,279197
vec3 dot,euclid,,,,475235.0,ns,283774
vec3 dot,euclid,,,,482903.0,ns,288351
vec3 dot,euclid,,,,490562.0,ns,292928
vec3 dot,euclid,,,,498217.0,ns,297505
vec3 dot,euclid,,,,505900.0,ns,302082
vec3 dot,euclid,,,,513543.0,ns,306659
vec3 dot,euclid,,,,521212.0,ns,311236
vec3 dot,euclid,,,,530652.0,ns,315813
vec3 dot,euclid,,,,536561.0,ns,320390
vec3 dot,euclid,,,,544206.0,ns,324967
vec3 dot,euclid,,,,551870.0,ns,329544
vec3 dot,euclid,,,,559532.0,ns,334121
vec3 dot,euclid,,,,568763.0,ns,338698
vec3 dot,euclid,,,,574870.0,ns,343275
vec3 dot,euclid,,,,602568.0,ns,347852
vec3 dot,euclid,,,,590200.0,ns,352429
vec3 dot,euclid,,,,597860.0,ns,357006
vec3 dot,euclid,,,,605538.0,ns,361583
vec3 dot,euclid,,,,614958.0,ns,366160
vec3 dot,euclid,,,,622396.0,ns,370737
vec3 dot,euclid,,,,628525.0,ns,375314
vec3 dot,euclid,,,,636197.0,ns,379891
vec3 dot,euclid,,,,643858.0,ns,384468
vec3 dot,euclid,,,,651508.0,ns,389045
vec3 dot,euclid,,,,660738.0,ns,393622
vec3 dot,euclid,,,,666849.0,ns,398199
vec3 dot,euclid,,,,675892.0,ns,402776
vec3 dot,euclid,,,,682165.0,ns,407353
vec3 dot,euclid,,,,689838.0,ns,411930
vec3 dot,euclid,,,,699241.0,ns,416507
vec3 dot,euclid,,,,705171.0,ns,421084
vec3 dot,euclid,,,,712833.0,ns,425661
vec3 dot,euclid,,,,722270.0,ns,430238
vec3 dot,euclid,,,,728172.0,ns,434815
vec3 dot,euclid,,,,735837.0,ns,439392
vec3 dot,euclid,,,,743512.0,ns,443969
vec3 dot,euclid,,,,751152.0,ns,448546
vec3 dot,euclid,,,,771320.0,ns,453123
vec3 dot,euclid,,,,786402.0,ns,457700
