group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
vec3 length,glam,,,,1004819.0,ns,471854
vec3 length,glam,,,,1971844.0,ns,943708
vec3 length,glam,,,,2977244.0,ns,1415562
vec3 length,glam,,,,3988652.0,ns,1887416
vec3 length,glam,,,,5045889.0,ns,2359270
vec3 length,glam,,,,5941640.0,ns,2831124
vec3 length,glam,,,,6970753.0,ns,3302978
vec3 length,glam,,,,8144077.0,ns,3774832
vec3 length,glam,,,,8866430.0,ns,4246686
vec3 length,glam,,,,9935064.0,ns,4718540
vec3 length,glam,,,,10879995.0,ns,5190394
vec3 length,glam,,,,11820589.0,ns,5662248
vec3 length,glam,,,,12835291.0,ns,6134102
vec3 length,glam,,,,13836850.0,ns,6605956
vec3 length,glam,,,,14835228.0,ns,7077810
vec3 length,glam,,,,15780480.0,ns,7549664
vec3 length,glam,,,,16764224.0,ns,8021518
vec3 length,glam,,,,17749815.0,ns,8493372
vec3 length,glam,,,,18736956.0,ns,8965226
vec3 length,glam,,,,19782756.0,ns,9437080
vec3 length,glam,,,,20718853.0,ns,9908934
vec3 length,glam,,,,21689010.0,ns,10380788
vec3 length,glam,,,,22775204.0,ns,10852642
vec3 length,glam,,,,23661835.0,ns,11324496
vec3 length,glam,,,,24727255.0,ns,11796350
vec3 length,glam,,,,25632225.0,ns,12268204
vec3 length,glam,,,,26638174.0,ns,12740058
vec3 length,glam,,,,27641369.0,ns,13211912
vec3 length,glam,,,,28625382.0,ns,13683766
vec3 length,glam,,,,29611238.0,ns,14155620
vec3 length,glam,,,,30579967.0,ns,14627474
vec3 length,glam,,,,31639857.0,ns,15099328
vec3 length,glam,,,,32566553.0,ns,15571182
vec3 length,glam,,,,33530461.0,ns,16043036
vec3 length,glam,,,,34849020.0,ns,16514890
vec3 length,glam,,,,35647178.0,ns,16986744
vec3 length,glam,,,,36587613.0,ns,17458598
vec3 length,glam,,,,37529684.0,ns,17930452
vec3 length,glam,,,,38533034.0,ns,18402306
vec3 length,glam,,,,39482761.0,ns,18874160
vec3 length,glam,,,,40458967.0,ns,19346014
vec3 length,glam,,,,41417869.0,ns,19817868
vec3 length,glam,,,,42477972.0,ns,20289722
vec3 length,glam,,,,43473025.0,ns,20761576
vec3 length,glam,,,,44411502.0,ns,21233430
vec3 length,glam,,,,45397771.0,ns,21705284
vec3 length,glam,,,,46420376.0,ns,22177138
vec3 length,glam,,,,47345641.0,ns,22648992
vec3 length,glam,,,,48643054.0,ns,23120846
vec3 length,glam,,,,49361001.0,ns,23592700
vec3 length,glam,,,,50488637.0,ns,24064554
vec3 length,glam,,,,51307005.0,ns,24536408
vec3 length,glam,,,,52331537.0,ns,25008262
vec3 length,glam,,,,53435241.0,ns,25480116
vec3 length,glam,,,,54380800.0,ns,25951970
vec3 length,glam,,,,55272699.0,ns,26423824
vec3 length,glam,,,,56326100.0,ns,26895678
vec3 length,glam,,,,57212055.0,ns,27367532
vec3 length,glam,,,,58262076.0,ns,27839386
vec3 length,glam,,,,59503411.0,ns,28311240
vec3 length,glam,,,,60380917.0,ns,28783094
vec3 length,glam,,,,61237824.0,ns,29254948
vec3 length,glam,,,,62201696.0,ns,29726802
vec3 length,glam,,,,63212678.0,ns,30198656
vec3 length,glam,,,,64191013.0,ns,30670510
vec3 length,glam,,,,65098840.0,ns,31142364
vec3 length,glam,,,,66138888.0,ns,31614218
vec3 length,glam,,,,67392357.0,ns,32086072
vec3 length,glam,,,,68064277.0,ns,32557926
vec3 length,glam,,,,69373636.0,ns,33029780
vec3 length,glam,,,,70130914.0,ns,33501634
vec3 length,glam,,,,71084235.0,ns,33973488
vec3 length,glam,,,,72040694.0,ns,34445342
vec3 length,glam,,,,73052598.0,ns,34917196
vec3 length,glam,,,,74073932.0,ns,35389050
vec3 length,glam,,,,74978707.0,ns,35860904
vec3 length,glam,,,,76190924.0,ns,36332758
vec3 length,glam,,,,77320375.0,ns,36804612
vec3 length,glam,,,,78185501.0,ns,37276466
vec3 length,glam,,,,78972098.0,ns,37748320
vec3 length,glam,,,,79947873.0,ns,38220174
vec3 length,glam,,,,80936054.0,ns,38692028
vec3 length,glam,,,,81920806.0,ns,39163882
vec3 length,glam,,,,82995027.0,ns,39635736
vec3 length,glam,,,,84149052.0,ns,40107590
vec3 length,glam,,,,84903755.0,ns,40579444
vec3 length,glam,,,,85843577.0,ns,41051298
vec3 length,glam,,,,87030812.0,ns,41523152
vec3 length,glam,,,,87940736.0,ns,41995006
vec3 length,glam,,,,88940805.0,ns,42466860
vec3 length,glam,,,,89843757.0,ns,42938714
vec3 length,glam,,,,91090968.0,ns,43410568
vec3 length,glam,,,,91870409.0,ns,43882422
vec3 length,glam,,,,92772766.0,ns,44354276
vec3 length,glam,,,,93785715.0,ns,44826130
vec3 length,glam,,,,94847500.0,ns,45297984
vec3 length,glam,,,,95918454.0,ns,45769838
vec3 length,glam,,,,96720008.0,ns,46241692
vec3 length,glam,,,,98186766.0,ns,46713546
vec3 length,glam,,,,98727243.0,ns,47185400
