group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
vec3 length,nalgebra,,,,984016.0,ns,490754
vec3 length,nalgebra,,,,1967644.0,ns,981508
vec3 length,nalgebra,,,,2957109.0,ns,1472262
vec3 length,nalgebra,,,,3954126.0,ns,1963016
vec3 length,nalgebra,,,,5165467.0,ns,2453770
vec3 length,nalgebra,,,,5911580.0,ns,2944524
vec3 length,nalgebra,,,,7218271.0,ns,3435278
vec3 length,nalgebra,,,,7935601.0,ns,3926032
vec3 length,nalgebra,,,,9048899.0,ns,4416786
vec3 length,nalgebra,,,,9931066.0,ns,4907540
vec3 length,nalgebra,,,,10928892.0,ns,5398294
vec3 length,nalgebra,,,,11844145.0,ns,5889048
vec3 length,nalgebra,,,,12823284.0,ns,6379802
vec3 length,nalgebra,,,,13846343.0,ns,6870556
vec3 length,nalgebra,,,,14771393.0,ns,7361310
vec3 length,nalgebra,,,,15754628.0,ns,7852064
vec3 length,nalgebra,,,,16810664.0,ns,8342818
vec3 length,nalgebra,,,,17726394.0,ns,8833572
vec3 length,nalgebra,,,,18706870.0,ns,9324326
vec3 length,nalgebra,,,,19732951.0,ns,9815080
vec3 length,nalgebra,,,,20826653.0,ns,10305834
vec3 length,nalgebra,,,,21784444.0,ns,10796588
vec3 length,nalgebra,,,,22652452.0,ns,11287342
vec3 length,nalgebra,,,,23677440.0,ns,11778096
vec3 length,nalgebra,,,,24709070.0,ns,12268850
vec3 length,nalgebra,,,,25641912.0,ns,12759604
vec3 length,nalgebra,,,,26637926.0,ns,13250358
vec3 length,nalgebra,,,,27572161.0,ns,13741112
vec3 length,nalgebra,,,,29003646.0,ns,14231866
vec3 length,nalgebra,,,,29606956.0,ns,14722620
vec3 length,nalgebra,,,,30824680.0,ns,15213374
vec3 length,nalgebra,,,,31508279.0,ns,15704128
vec3 length,nalgebra,,,,32573710.0,ns,16194882
vec3 length,nalgebra,,,,33479309.0,ns,16685636
vec3 length,nalgebra,,,,34661751.0,ns,17176390
vec3 length,nalgebra,,,,35518101.0,ns,17667144
vec3 length,nalgebra,,,,36472640.0,ns,18157898
vec3 length,nalgebra,,,,37458684.0,ns,18648652
vec3 length,nalgebra,,,,38447021.0,ns,19139406
vec3 length,nalgebra,,,,39412440.0,ns,19630160
vec3 length,nalgebra,,,,40436392.0,ns,20120914
vec3 length,nalgebra,,,,41393109.0,ns,20611668
vec3 length,nalgebra,,,,42343700.0,ns,21102422
vec3 length,nalgebra,,,,43361434.0,ns,21593176
vec3 length,nalgebra,,,,44776537.0,ns,22083930
vec3 length,nalgebra,,,,45525861.0,ns,22574684
vec3 length,nalgebra,,,,46399566.0,ns,23065438
vec3 length,nalgebra,,,,47325728.0,ns,23556192
vec3 length,nalgebra,,,,48251209.0,ns,24046946
vec3 length,nalgebra,,,,49277953.0,ns,24537700
vec3 length,nalgebra,,,,50267439.0,ns,25028454
vec3 length,nalgebra,,,,51241337.0,ns,25519208
vec3 length,nalgebra,,,,52209841.0,ns,26009962
vec3 length,nalgebra,,,,53217075.0,ns,26500716
vec3 length,nalgebra,,,,54172925.0,ns,26991470
vec3 length,nalgebra,,,,55208392.0,ns,27482224
vec3 length,nalgebra,,,,56526609.0,ns,27972978
vec3 length,nalgebra,,,,57157887.0,ns,28463732
vec3 length,nalgebra,,,,58191486.0,ns,28954486
vec3 length,nalgebra,,,,59103768.0,ns,29445240
vec3 length,nalgebra,,,,60327452.0,ns,29935994
vec3 length,nalgebra,,,,61043883.0,ns,30426748
vec3 length,nalgebra,,,,62076907.0,ns,30917502
vec3 length,nalgebra,,,,63076175.0,ns,31408256
vec3 length,nalgebra,,,,64062911.0,ns,31899010
vec3 length,nalgebra,,,,65041931.0,ns,32389764
vec3 length,nalgebra,,,,66383640.0,ns,32880518
vec3 length,nalgebra,,,,67142387.0,ns,33371272
vec3 length,nalgebra,,,,67997560.0,ns,33862026
vec3 length,nalgebra,,,,68997741.0,ns,34352780
vec3 length,nalgebra,,,,69903381.0,ns,34843534
vec3 length,nalgebra,,,,70955026.0,ns,35334288
vec3 length,nalgebra,,,,72197389.0,ns,35825042
vec3 length,nalgebra,,,,73039922.0,ns,36315796
vec3 length,nalgebra,,,,74221258.0,ns,36806550
vec3 length,nalgebra,,,,74943484.0,ns,37297304
vec3 length,nalgebra,,,,75856016.0,ns,37788058
vec3 length,nalgebra,,,,76844644.0,ns,38278812
vec3 length,nalgebra,,,,77867521.0,ns,38769566
vec3 length,nalgebra,,,,78855361.0,ns,39260320
vec3 length,nalgebra,,,,79841074.0,ns,39751074
vec3 length,nalgebra,,,,80865117.0,ns,40241828
vec3 length,nalgebra,,,,82310662.0,ns,40732582
vec3 length,nalgebra,,,,82730989.0,ns,41223336
vec3 length,nalgebra,,,,83739454.0,ns,41714090
vec3 length,nalgebra,,,,84796977.0,ns,42204844
vec3 length,nalgebra,,,,85744404.0,ns,42695598
vec3 length,nalgebra,,,,86724948.0,ns,43186352
vec3 length,nalgebra,,,,87708135.0,ns,43677106
vec3 length,nalgebra,,,,88987795.0,ns,44167860
vec3 length,nalgebra,,,,89687989.0,ns,44658614
vec3 length,nalgebra,,,,90765226.0,ns,45149368
vec3 length,nalgebra,,,,91777771.0,ns,45640122
vec3 length,nalgebra,,,,92620097.0,ns,46130876
vec3 length,nalgebra,,,,93744792.0,ns,46621630
vec3 length,nalgebra,,,,94562047.0,ns,47112384
vec3 length,nalgebra,,,,97280607.0,ns,47603138
vec3 length,nalgebra,,,,96565541.0,ns,48093892
vec3 length,nalgebra,,,,97578333.0,ns,48584646
vec3 length,nalgebra,,,,98565864.0,ns,49075400
