group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
vec3 normalize,euclid,,,,984563.0,ns,122349
vec3 normalize,euclid,,,,1972356.0,ns,244698
vec3 normalize,euclid,,,,2982681.0,ns,367047
vec3 normalize,euclid,,,,3945885.0,ns,489396
vec3 normalize,euclid,,,,5120102.0,ns,611745
vec3 normalize,euclid,,,,5931726.0,ns,734094
vec3 normalize,euclid,,,,7005516.0,ns,856443
vec3 normalize,euclid,,,,7884221.0,ns,978792
vec3 normalize,euclid,,,,9191753.0,ns,1101141
vec3 normalize,euclid,,,,9872933.0,ns,1223490
vec3 normalize,euclid,,,,10883182.0,ns,1345839
vec3 normalize,euclid,,,,11935410.0,ns,1468188
vec3 normalize,euclid,,,,12830790.0,ns,1590537
vec3 normalize,euclid,,,,13819054.0,ns,1712886
vec3 normalize,euclid,,,,14797086.0,ns,1835235
vec3 normalize,euclid,,,,15800743.0,ns,1957584
vec3 normalize,euclid,,,,16775518.0,ns,2079933
vec3 normalize,euclid,,,,17755518.0,ns,2202282
vec3 normalize,euclid,,,,18820897.0,ns,2324631
vec3 normalize,euclid,,,,19723389.0,ns,2446980
vec3 normalize,euclid,,,,20775377.0,ns,2569329
vec3 normalize,euclid,,,,21698777.0,ns,2691678
vec3 normalize,euclid,,,,22736923.0,ns,2814027
vec3 normalize,euclid,,,,23727081.0,ns,2936376
vec3 normalize,euclid,,,,24772173.0,ns,3058725
vec3 normalize,euclid,,,,25757411.0,ns,3181074
vec3 normalize,euclid,,,,26763585.0,ns,3303423
vec3 normalize,euclid,,,,27657804.0,ns,3425772
vec3 normalize,euclid,,,,28611755.0,ns,3548121
vec3 normalize,euclid,,,,29624784.0,ns,3670470
vec3 normalize,euclid,,,,31001520.0,ns,3792819
vec3 normalize,euclid,,,,31599599.0,ns,3915168
vec3 normalize,euclid,,,,32552803.0,ns,4037517
vec3 normalize,euclid,,,,33643984.0,ns,4159866
vec3 normalize,euclid,,,,34530552.0,ns,4282215
vec3 normalize,euclid,,,,35576585.0,ns,4404564
vec3 normalize,euclid,,,,36665818.0,ns,4526913
vec3 normalize,euclid,,,,37637810.0,ns,4649262
vec3 normalize,euclid,,,,38512171.0,ns,4771611
vec3 normalize,euclid,,,,39531555.0,ns,4893960
vec3 normalize,euclid,,,,40481693.0,ns,5016309
vec3 normalize,euclid,,,,41520804.0,ns,5138658
vec3 normalize,euclid,,,,42434105.0,ns,5261007
vec3 normalize,euclid,,,,43457735.0,ns,5383356
vec3 normalize,euclid,,,,44419026.0,ns,5505705
vec3 normalize,euclid,,,,45410747.0,ns,5628054
vec3 normalize,euclid,,,,46754530.0,ns,5750403
vec3 normalize,euclid,,,,47569062.0,ns,5872752
vec3 normalize,euclid,,,,48442841.0,ns,5995101
vec3 normalize,euclid,,,,49348350.0,ns,6117450
vec3 normalize,euclid,,,,50424158.0,ns,6239799
vec3 normalize,euclid,,,,51294575.0,ns,6362148
vec3 normalize,euclid,,,,52431985.0,ns,6484497
vec3 normalize,euclid,,,,53312956.0,ns,6606846
vec3 normalize,euclid,,,,54333851.0,ns,6729195
vec3 normalize,euclid,,,,55343063.0,ns,6851544
vec3 normalize,euclid,,,,56244683.0,ns,6973893
vec3 normalize,euclid,,,,57824602.0,ns,7096242
vec3 normalize,euclid,,,,58295630.0,ns,7218591
vec3 normalize,euclid,,,,59296238.0,ns,7340940
vec3 normalize,euclid,,,,60272855.0,ns,7463289
vec3 normalize,euclid,,,,61373144.0,ns,7585638
vec3 normalize,euclid,,,,62296852.0,ns,7707987
vec3 normalize,euclid,,,,63156741.0,ns,7830336
vec3 normalize,euclid,,,,64206505.0,ns,7952685
vec3 normalize,euclid,,,,65192463.0,ns,8075034
vec3 normalize,euclid,,,,66157196.0,ns,8197383
vec3 normalize,euclid,,,,67540996.0,ns,8319732
vec3 normalize,euclid,,,,68252405.0,ns,8442081
vec3 normalize,euclid,,,,69097793.0,ns,8564430
vec3 normalize,euclid,,,,70130120.0,ns,8686779
vec3 normalize,euclid,,,,71152111.0,ns,8809128
vec3 normalize,euclid,,,,72130852.0,ns,8931477
vec3 normalize,euclid,,,,73366043.0,ns,9053826
vec3 normalize,euclid,,,,74123187.0,ns,9176175
vec3 normalize,euclid,,,,75405712.0,ns,9298524
vec3 normalize,euclid,,,,76015451.0,ns,9420873
vec3 normalize,euclid,,,,76973085.0,ns,9543222
vec3 normalize,euclid,,,,78042794.0,ns,9665571
vec3 normalize,euclid,,,,79076412.0,ns,9787920
vec3 normalize,euclid,,,,80015376.0,ns,9910269
vec3 normalize,euclid,,,,80946641.0,ns,10032618
vec3 normalize,euclid,,,,82284309.0,ns,10154967
vec3 normalize,euclid,,,,83441428.0,ns,10277316
vec3 normalize,euclid,,,,84110397.0,ns,10399665
vec3 normalize,euclid,,,,84966827.0,ns,10522014
vec3 normalize,euclid,,,,85974088.0,ns,10644363
vec3 normalize,euclid,,,,86957332.0,ns,10766712
vec3 normalize,euclid,,,,87785334.0,ns,10889061
vec3 normalize,euclid,,,,88901074.0,ns,11011410
vec3 normalize,euclid,,,,90111389.0,ns,11133759
vec3 normalize,euclid,,,,90892512.0,ns,11256108
vec3 normalize,euclid,,,,91999423.0,ns,11378457
vec3 normalize,euclid,,,,93013935.0,ns,11500806
vec3 normalize,euclid,,,,93822255.0,ns,11623155
vec3 normalize,euclid,,,,94813915.0,ns,11745504
vec3 normalize,euclid,,,,96339666.0,ns,11867853
vec3 normalize,euclid,,,,96900251.0,ns,11990202
vec3 normalize,euclid,,,,97779490.0,ns,12112551
vec3 normalize,euclid,,,,98780962.0,ns,12234900
