group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
euler 2d,euclid,,,,1007392.0,ns,74
euler 2d,euclid,,,,1954197.0,ns,148
euler 2d,euclid,,,,2939760.0,ns,222
euler 2d,euclid,,,,4010599.0,ns,296
euler 2d,euclid,,,,5378433.0,ns,370
euler 2d,euclid,,,,5969468.0,ns,444
euler 2d,euclid,,,,7379577.0,ns,518
euler 2d,euclid,,,,8044759.0,ns,592
euler 2d,euclid,,,,8881803.0,ns,666
euler 2d,euclid,,,,9886083.0,ns,740
euler 2d,euclid,,,,10960358.0,ns,814
euler 2d,euclid,,,,11874319.0,ns,888
euler 2d,euclid,,,,12887841.0,ns,962
euler 2d,euclid,,,,13754675.0,ns,1036
euler 2d,euclid,,,,15279244.0,ns,1110
euler 2d,euclid,,,,15783801.0,ns,1184
euler 2d,euclid,,,,16773060.0,ns,1258
euler 2d,euclid,,,,17701044.0,ns,1332
euler 2d,euclid,,,,18868548.0,ns,1406
euler 2d,euclid,,,,19724844.0,ns,1480
euler 2d,euclid,,,,20677586.0,ns,1554
euler 2d,euclid,,,,21702066.0,ns,1628
euler 2d,euclid,,,,22637259.0,ns,1702
euler 2d,euclid,,,,23607475.0,ns,1776
euler 2d,euclid,,,,24679840.0,ns,1850
euler 2d,euclid,,,,25592849.0,ns,1924
euler 2d,euclid,,,,26544324.0,ns,1998
euler 2d,euclid,,,,27546914.0,ns,2072
euler 2d,euclid,,,,28580439.0,ns,2146
euler 2d,euclid,,,,29565586.0,ns,2220
euler 2d,euclid,,,,30480925.0,ns,2294
euler 2d,euclid,,,,31571798.0,ns,2368
euler 2d,euclid,,,,32464849.0,ns,2442
euler 2d,euclid,,,,33455435.0,ns,2516
euler 2d,euclid,,,,34597511.0,ns,2590
euler 2d,euclid,,,,35473626.0,ns,2664
euler 2d,euclid,,,,36416960.0,ns,2738
euler 2d,euclid,,,,37860992.0,ns,2812
euler 2d,euclid,,,,38759303.0,ns,2886
euler 2d,euclid,,,,39571503.0,ns,2960
euler 2d,euclid,,,,40538272.0,ns,3034
euler 2d,euclid,,,,41510463.0,ns,3108
euler 2d,euclid,,,,42365140.0,ns,3182
euler 2d,euclid,,,,43299499.0,ns,3256
euler 2d,euclid,,,,44486956.0,ns,3330
euler 2d,euclid,,,,45308645.0,ns,3404
euler 2d,euclid,,,,46336452.0,ns,3478
euler 2d,euclid,,,,47249803.0,ns,3552
euler 2d,euclid,,,,48287420.0,ns,3626
euler 2d,euclid,,,,49241161.0,ns,3700
euler 2d,euclid,,,,50569686.0,ns,3774
euler 2d,euclid,,,,51221422.0,ns,3848
euler 2d,euclid,,,,52234756.0,ns,3922
euler 2d,euclid,,,,53161840.0,ns,3996
euler 2d,euclid,,,,54161719.0,ns,4070
euler 2d,euclid,,,,55163957.0,ns,4144
euler 2d,euclid,,,,56187236.0,ns,4218
euler 2d,euclid,,,,57726166.0,ns,4292
euler 2d,euclid,,,,58236905.0,ns,4366
euler 2d,euclid,,,,59161792.0,ns,4440
euler 2d,euclid,,,,60155090.0,ns,4514
euler 2d,euclid,,,,61479251.0,ns,4588
euler 2d,euclid,,,,61981513.0,ns,4662
euler 2d,euclid,,,,63278135.0,ns,4736
euler 2d,euclid,,,,64009767.0,ns,4810
euler 2d,euclid,,,,64970975.0,ns,4884
euler 2d,euclid,,,,66027724.0,ns,4958
euler 2d,euclid,,,,67004820.0,ns,5032
euler 2d,euclid,,,,67905372.0,ns,5106
euler 2d,euclid,,,,69647322.0,ns,5180
euler 2d,euclid,,,,70574481.0,ns,5254
euler 2d,euclid,,,,70859796.0,ns,5328
euler 2d,euclid,,,,72030648.0,ns,5402
euler 2d,euclid,,,,72864985.0,ns,5476
euler 2d,euclid,,,,74028290.0,ns,5550
euler 2d,euclid,,,,74875304.0,ns,5624
euler 2d,euclid,,,,75820672.0,ns,5698
euler 2d,euclid,,,,76921176.0,ns,5772
euler 2d,euclid,,,,78309581.0,ns,5846
euler 2d,euclid,,,,78773426.0,ns,5920
euler 2d,euclid,,,,79963461.0,ns,5994
euler 2d,euclid,,,,80807385.0,ns,6068
euler 2d,euclid,,,,81765418.0,ns,6142
euler 2d,euclid,,,,82709668.0,ns,6216
euler 2d,euclid,,,,83906789.0,ns,6290
euler 2d,euclid,,,,84853872.0,ns,6364
euler 2d,euclid,,,,86048991.0,ns,6438
euler 2d,euclid,,,,86801168.0,ns,6512
euler 2d,euclid,,,,87666092.0,ns,6586
euler 2d,euclid,,,,88790393.0,ns,6660
euler 2d,euclid,,,,89798386.0,ns,6734
euler 2d,euclid,,,,90715603.0,ns,6808
euler 2d,euclid,,,,92167457.0,ns,6882
euler 2d,euclid,,,,92570192.0,ns,6956
euler 2d,euclid,,,,93561920.0,ns,7030
euler 2d,euclid,,,,94555403.0,ns,7104
euler 2d,euclid,,,,96035912.0,ns,7178
euler 2d,euclid,,,,96482807.0,ns,7252
euler 2d,euclid,,,,97985727.0,ns,7326
euler 2d,euclid,,,,98804346.0,ns,7400
