group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
euler 2d,vek,,,,1009593.0,ns,118
euler 2d,vek,,,,1968000.0,ns,236
euler 2d,vek,,,,2984514.0,ns,354
euler 2d,vek,,,,3951747.0,ns,472
euler 2d,vek,,,,5237259.0,ns,590
euler 2d,vek,,,,5930820.0,ns,708
euler 2d,vek,,,,7229767.0,ns,826
euler 2d,vek,,,,8184699.0,ns,944
euler 2d,vek,,,,9023119.0,ns,1062
euler 2d,vek,,,,9904721.0,ns,1180
euler 2d,vek,,,,10910022.0,ns,1298
euler 2d,vek,,,,11962174.0,ns,1416
euler 2d,vek,,,,12855743.0,ns,1534
euler 2d,vek,,,,13859758.0,ns,1652
euler 2d,vek,,,,14858809.0,ns,1770
euler 2d,vek,,,,15903681.0,ns,1888
euler 2d,vek,,,,16829153.0,ns,2006
euler 2d,vek,,,,17842609.0,ns,2124
euler 2d,vek,,,,18885672.0,ns,2242
euler 2d,vek,,,,19788164.0,ns,2360
euler 2d,vek,,,,20847858.0,ns,2478
euler 2d,vek,,,,21834784.0,ns,2596
euler 2d,vek,,,,22790978.0,ns,2714
euler 2d,vek,,,,23769137.0,ns,2832
euler 2d,vek,,,,24837026.0,ns,2950
euler 2d,vek,,,,25817123.0,ns,3068
euler 2d,vek,,,,26929668.0,ns,3186
euler 2d,vek,,,,27755467.0,ns,3304
euler 2d,vek,,,,28768329.0,ns,3422
euler 2d,vek,,,,29710461.0,ns,3540
euler 2d,vek,,,,30706311.0,ns,3658
euler 2d,vek,,,,31673273.0,ns,3776
euler 2d,vek,,,,32737138.0,ns,3894
euler 2d,vek,,,,33711138.0,ns,4012
euler 2d,vek,,,,35350739.0,ns,4130
euler 2d,vek,,,,35680671.0,ns,4248
euler 2d,vek,,,,36646793.0,ns,4366
euler 2d,vek,,,,37691604.0,ns,4484
euler 2d,vek,,,,38661056.0,ns,4602
euler 2d,vek,,,,39598653.0,ns,4720
euler 2d,vek,,,,40648482.0,ns,4838
euler 2d,vek,,,,41607948.0,ns,4956
euler 2d,vek,,,,42639511.0,ns,5074
euler 2d,vek,,,,43614203.0,ns,5192
euler 2d,vek,,,,44568954.0,ns,5310
euler 2d,vek,,,,45545576.0,ns,5428
euler 2d,vek,,,,46564403.0,ns,5546
euler 2d,vek,,,,47646745.0,ns,5664
euler 2d,vek,,,,48979149.0,ns,5782
euler 2d,vek,,,,49907761.0,ns,5900
euler 2d,vek,,,,50575704.0,ns,6018
euler 2d,vek,,,,51720036.0,ns,6136
euler 2d,vek,,,,52799972.0,ns,6254
euler 2d,vek,,,,53517364.0,ns,6372
euler 2d,vek,,,,54529424.0,ns,6490
euler 2d,vek,,,,55495354.0,ns,6608
euler 2d,vek,,,,56488134.0,ns,6726
euler 2d,vek,,,,57439092.0,ns,6844
euler 2d,vek,,,,58502182.0,ns,6962
euler 2d,vek,,,,60005535.0,ns,7080
euler 2d,vek,,,,60553059.0,ns,7198
euler 2d,vek,,,,61472069.0,ns,7316
euler 2d,vek,,,,62481001.0,ns,7434
euler 2d,vek,,,,63436613.0,ns,7552
euler 2d,vek,,,,64462103.0,ns,7670
euler 2d,vek,,,,65607907.0,ns,7788
euler 2d,vek,,,,66497206.0,ns,7906
euler 2d,vek,,,,67378406.0,ns,8024
euler 2d,vek,,,,68531988.0,ns,8142
euler 2d,vek,,,,69863161.0,ns,8260
euler 2d,vek,,,,70368544.0,ns,8378
euler 2d,vek,,,,71328371.0,ns,8496
euler 2d,vek,,,,72339862.0,ns,8614
euler 2d,vek,,,,73326740.0,ns,8732
euler 2d,vek,,,,74464507.0,ns,8850
euler 2d,vek,,,,75324229.0,ns,8968
euler 2d,vek,,,,76508845.0,ns,9086
euler 2d,vek,,,,78031489.0,ns,9204
euler 2d,vek,,,,78321324.0,ns,9322
euler 2d,vek,,,,79293816.0,ns,9440
euler 2d,vek,,,,80295098.0,ns,9558
euler 2d,vek,,,,81392563.0,ns,9676
euler 2d,vek,,,,82365197.0,ns,9794
euler 2d,vek,,,,83287646.0,ns,9912
euler 2d,vek,,,,84681438.0,ns,10030
euler 2d,vek,,,,85725353.0,ns,10148
euler 2d,vek,,,,86625108.0,ns,10266
euler 2d,vek,,,,87225760.0,ns,10384
euler 2d,vek,,,,88289074.0,ns,10502
euler 2d,vek,,,,89197493.0,ns,10620
euler 2d,vek,,,,90198546.0,ns,10738
euler 2d,vek,,,,91725838.0,ns,10856
euler 2d,vek,,,,92180127.0,ns,10974
euler 2d,vek,,,,93601524.0,ns,11092
euler 2d,vek,,,,94170638.0,ns,11210
euler 2d,vek,,,,95265562.0,ns,11328
euler 2d,vek,,,,96087976.0,ns,11446
euler 2d,vek,,,,97102065.0,ns,11564
euler 2d,vek,,,,98478267.0,ns,11682
euler 2d,vek,,,,99136781.0,ns,11800
