group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
euler 3d,nalgebra,,,,1035565.0,ns,12
euler 3d,nalgebra,,,,2065792.0,ns,24
euler 3d,nalgebra,,,,3119695.0,ns,36
euler 3d,nalgebra,,,,4367169.0,ns,48
euler 3d,nalgebra,,,,5209373.0,ns,60
euler 3d,nalgebra,,,,6217368.0,ns,72
euler 3d,nalgebra,,,,7593162.0,ns,84
euler 3d,nalgebra,,,,8308811.0,ns,96
euler 3d,nalgebra,,,,9345949.0,ns,108
euler 3d,nalgebra,,,,10371674.0,ns,120
euler 3d,nalgebra,,,,11386989.0,ns,132
euler 3d,nalgebra,,,,12401609.0,ns,144
euler 3d,nalgebra,,,,13491393.0,ns,156
euler 3d,nalgebra,,,,14507450.0,ns,168
euler 3d,nalgebra,,,,15544447.0,ns,180
euler 3d,nalgebra,,,,16579060.0,ns,192
euler 3d,nalgebra,,,,17610830.0,ns,204
euler 3d,nalgebra,,,,18648492.0,ns,216
euler 3d,nalgebra,,,,19762176.0,ns,228
euler 3d,nalgebra,,,,20741734.0,ns,240
euler 3d,nalgebra,,,,21791134.0,ns,252
euler 3d,nalgebra,,,,22805142.0,ns,264
euler 3d,nalgebra,,,,23842925.0,ns,276
euler 3d,nalgebra,,,,24875966.0,ns,288
euler 3d,nalgebra,,,,25892057.0,ns,300
euler 3d,nalgebra,,,,27295942.0,ns,312
euler 3d,nalgebra,,,,28007832.0,ns,324
euler 3d,nalgebra,,,,29035535.0,ns,336
euler 3d,nalgebra,,,,30084281.0,ns,348
euler 3d,nalgebra,,,,31066228.0,ns,360
euler 3d,nalgebra,,,,32110935.0,ns,372
euler 3d,nalgebra,,,,33103679.0,ns,384
euler 3d,nalgebra,,,,34181468.0,ns,396
euler 3d,nalgebra,,,,35195383.0,ns,408
euler 3d,nalgebra,,,,36244814.0,ns,420
euler 3d,nalgebra,,,,37329306.0,ns,432
euler 3d,nalgebra,,,,38531782.0,ns,444
euler 3d,nalgebra,,,,39361119.0,ns,456
euler 3d,nalgebra,,,,40461407.0,ns,468
euler 3d,nalgebra,,,,41470453.0,ns,480
euler 3d,nalgebra,,,,42493857.0,ns,492
euler 3d,nalgebra,,,,43521693.0,ns,504
euler 3d,nalgebra,,,,45176136.0,ns,516
euler 3d,nalgebra,,,,45601988.0,ns,528
euler 3d,nalgebra,,,,46534173.0,ns,540
euler 3d,nalgebra,,,,47685389.0,ns,552
euler 3d,nalgebra,,,,48700913.0,ns,564
euler 3d,nalgebra,,,,49863659.0,ns,576
euler 3d,nalgebra,,,,50831132.0,ns,588
euler 3d,nalgebra,,,,51815439.0,ns,600
euler 3d,nalgebra,,,,52837805.0,ns,612
euler 3d,nalgebra,,,,53950599.0,ns,624
euler 3d,nalgebra,,,,54859300.0,ns,636
euler 3d,nalgebra,,,,56105311.0,ns,648
euler 3d,nalgebra,,,,57252033.0,ns,660
euler 3d,nalgebra,,,,59844360.0,ns,672
euler 3d,nalgebra,,,,59841395.0,ns,684
euler 3d,nalgebra,,,,60082592.0,ns,696
euler 3d,nalgebra,,,,61133321.0,ns,708
euler 3d,nalgebra,,,,62103594.0,ns,720
euler 3d,nalgebra,,,,63102682.0,ns,732
euler 3d,nalgebra,,,,64239824.0,ns,744
euler 3d,nalgebra,,,,65191776.0,ns,756
euler 3d,nalgebra,,,,66667793.0,ns,768
euler 3d,nalgebra,,,,67486125.0,ns,780
euler 3d,nalgebra,,,,68666364.0,ns,792
euler 3d,nalgebra,,,,69461490.0,ns,804
euler 3d,nalgebra,,,,70523268.0,ns,816
euler 3d,nalgebra,,,,71539514.0,ns,828
euler 3d,nalgebra,,,,72536316.0,ns,840
euler 3d,nalgebra,,,,73965327.0,ns,852
euler 3d,nalgebra,,,,75451606.0,ns,864
euler 3d,nalgebra,,,,76013718.0,ns,876
euler 3d,nalgebra,,,,76693252.0,ns,888
euler 3d,nalgebra,,,,77707408.0,ns,900
euler 3d,nalgebra,,,,78708063.0,ns,912
euler 3d,nalgebra,,,,79871742.0,ns,924
euler 3d,nalgebra,,,,80943564.0,ns,936
euler 3d,nalgebra,,,,81795759.0,ns,948
euler 3d,nalgebra,,,,83076794.0,ns,960
euler 3d,nalgebra,,,,84011776.0,ns,972
euler 3d,nalgebra,,,,84893836.0,ns,984
euler 3d,nalgebra,,,,85920573.0,ns,996
euler 3d,nalgebra,,,,86999240.0,ns,1008
euler 3d,nalgebra,,,,87966758.0,ns,1020
euler 3d,nalgebra,,,,89043406.0,ns,1032
euler 3d,nalgebra,,,,90696119.0,ns,1044
euler 3d,nalgebra,,,,91307679.0,ns,1056
euler 3d,nalgebra,,,,92351975.0,ns,1068
euler 3d,nalgebra,,,,93381598.0,ns,1080
euler 3d,nalgebra,,,,94291233.0,ns,1092
euler 3d,nalgebra,,,,95345013.0,ns,1104
euler 3d,nalgebra,,,,96271854.0,ns,1116
euler 3d,nalgebra,,,,97728555.0,ns,1128
euler 3d,nalgebra,,,,98582345.0,ns,1140
euler 3d,nalgebra,,,,99569874.0,ns,1152
euler 3d,nalgebra,,,,100404342.0,ns,1164
euler 3d,nalgebra,,,,101463329.0,ns,1176
euler 3d,nalgebra,,,,102454794.0,ns,1188
euler 3d,nalgebra,,,,103936442.0,ns,1200
