group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mat2 inverse,pathfinder,,,,989615.0,ns,358913
mat2 inverse,pathfinder,,,,1980330.0,ns,717826
mat2 inverse,pathfinder,,,,2967323.0,ns,1076739
mat2 inverse,pathfinder,,,,4027445.0,ns,1435652
mat2 inverse,pathfinder,,,,4971040.0,ns,1794565
mat2 inverse,pathfinder,,,,5935552.0,ns,2153478
mat2 inverse,pathfinder,,,,6946814.0,ns,2512391
mat2 inverse,pathfinder,,,,7916479.0,ns,2871304
mat2 inverse,pathfinder,,,,8904068.0,ns,3230217
mat2 inverse,pathfinder,,,,9916146.0,ns,3589130
mat2 inverse,pathfinder,,,,10889993.0,ns,3948043
mat2 inverse,pathfinder,,,,11873430.0,ns,4306956
mat2 inverse,pathfinder,,,,12870701.0,ns,4665869
mat2 inverse,pathfinder,,,,13872360.0,ns,5024782
mat2 inverse,pathfinder,,,,14875104.0,ns,5383695
mat2 inverse,pathfinder,,,,15858408.0,ns,5742608
mat2 inverse,pathfinder,,,,16845441.0,ns,6101521
mat2 inverse,pathfinder,,,,17817489.0,ns,6460434
mat2 inverse,pathfinder,,,,18800281.0,ns,6819347
mat2 inverse,pathfinder,,,,19844386.0,ns,7178260
mat2 inverse,pathfinder,,,,20814150.0,ns,7537173
mat2 inverse,pathfinder,,,,21773831.0,ns,7896086
mat2 inverse,pathfinder,,,,22785407.0,ns,8254999
mat2 inverse,pathfinder,,,,23756573.0,ns,8613912
mat2 inverse,pathfinder,,,,24769303.0,ns,8972825
mat2 inverse,pathfinder,,,,25757399.0,ns,9331738
mat2 inverse,pathfinder,,,,26722981.0,ns,9690651
mat2 inverse,pathfinder,,,,27753728.0,ns,10049564
mat2 inverse,pathfinder,,,,28841312.0,ns,10408477
mat2 inverse,pathfinder,,,,29686595.0,ns,10767390
mat2 inverse,pathfinder,,,,30729007.0,ns,11126303
mat2 inverse,pathfinder,,,,31703480.0,ns,11485216
mat2 inverse,pathfinder,,,,32677169.0,ns,11844129
mat2 inverse,pathfinder,,,,33648969.0,ns,12203042
mat2 inverse,pathfinder,,,,34717997.0,ns,12561955
mat2 inverse,pathfinder,,,,35632857.0,ns,12920868
mat2 inverse,pathfinder,,,,36615639.0,ns,13279781
mat2 inverse,pathfinder,,,,37669895.0,ns,13638694
mat2 inverse,pathfinder,,,,38604189.0,ns,13997607
mat2 inverse,pathfinder,,,,39664134.0,ns,14356520
mat2 inverse,pathfinder,,,,40625068.0,ns,14715433
mat2 inverse,pathfinder,,,,41576278.0,ns,15074346
mat2 inverse,pathfinder,,,,42655526.0,ns,15433259
mat2 inverse,pathfinder,,,,43568281.0,ns,15792172
mat2 inverse,pathfinder,,,,44591227.0,ns,16151085
mat2 inverse,pathfinder,,,,45519615.0,ns,16509998
mat2 inverse,pathfinder,,,,46569959.0,ns,16868911
mat2 inverse,pathfinder,,,,47639428.0,ns,17227824
mat2 inverse,pathfinder,,,,48566897.0,ns,17586737
mat2 inverse,pathfinder,,,,49511398.0,ns,17945650
mat2 inverse,pathfinder,,,,50504754.0,ns,18304563
mat2 inverse,pathfinder,,,,51493908.0,ns,18663476
mat2 inverse,pathfinder,,,,52552695.0,ns,19022389
mat2 inverse,pathfinder,,,,53513681.0,ns,19381302
mat2 inverse,pathfinder,,,,54511451.0,ns,19740215
