group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mat2 return self,vek,,,,1005650.0,ns,379885
mat2 return self,vek,,,,1973881.0,ns,759770
mat2 return self,vek,,,,2959606.0,ns,1139655
mat2 return self,vek,,,,4034382.0,ns,1519540
mat2 return self,vek,,,,5123380.0,ns,1899425
mat2 return self,vek,,,,5916813.0,ns,2279310
mat2 return self,vek,,,,7404946.0,ns,2659195
mat2 return self,vek,,,,8252718.0,ns,3039080
mat2 return self,vek,,,,8973264.0,ns,3418965
mat2 return self,vek,,,,9922898.0,ns,3798850
mat2 return self,vek,,,,10869445.0,ns,4178735
mat2 return self,vek,,,,11893625.0,ns,4558620
mat2 return self,vek,,,,12840735.0,ns,4938505
mat2 return self,vek,,,,13828233.0,ns,5318390
mat2 return self,vek,,,,14860704.0,ns,5698275
mat2 return self,vek,,,,15798834.0,ns,6078160
mat2 return self,vek,,,,16836778.0,ns,6458045
mat2 return self,vek,,,,17813456.0,ns,6837930
mat2 return self,vek,,,,18758772.0,ns,7217815
mat2 return self,vek,,,,19785458.0,ns,7597700
mat2 return self,vek,,,,20730052.0,ns,7977585
mat2 return self,vek,,,,21757095.0,ns,8357470
mat2 return self,vek,,,,22777805.0,ns,8737355
mat2 return self,vek,,,,23696319.0,ns,9117240
mat2 return self,vek,,,,24744449.0,ns,9497125
mat2 return self,vek,,,,25702002.0,ns,9877010
mat2 return self,vek,,,,26670559.0,ns,10256895
mat2 return self,vek,,,,27653723.0,ns,10636780
mat2 return self,vek,,,,28646138.0,ns,11016665
mat2 return self,vek,,,,29647926.0,ns,11396550
mat2 return self,vek,,,,30667293.0,ns,11776435
mat2 return self,vek,,,,31646776.0,ns,12156320
mat2 return self,vek,,,,32612878.0,ns,12536205
mat2 return self,vek,,,,33649348.0,ns,12916090
mat2 return self,vek,,,,35139856.0,ns,13295975
mat2 return self,vek,,,,35664530.0,ns,13675860
mat2 return self,vek,,,,36818394.0,ns,14055745
mat2 return self,vek,,,,37607782.0,ns,14435630
mat2 return self,vek,,,,38544780.0,ns,14815515
mat2 return self,vek,,,,39492014.0,ns,15195400
mat2 return self,vek,,,,40535055.0,ns,15575285
mat2 return self,vek,,,,41626279.0,ns,15955170
mat2 return self,vek,,,,42596361.0,ns,16335055
mat2 return self,vek,,,,43642944.0,ns,16714940
mat2 return self,vek,,,,44438831.0,ns,17094825
mat2 return self,vek,,,,45526851.0,ns,17474710
mat2 return self,vek,,,,46440057.0,ns,17854595
mat2 return self,vek,,,,47461441.0,ns,18234480
mat2 return self,vek,,,,49023839.0,ns,18614365
mat2 return self,vek,,,,49510995.0,ns,18994250
mat2 return self,vek,,,,50465567.0,ns,19374135
mat2 return self,vek,,,,51383419.0,ns,19754020
mat2 return self,vek,,,,52329059.0,ns,20133905
mat2 return self,vek,,,,53563780.0,ns,20513790
mat2 return self,vek,,,,54408696.0,ns,20893675
mat2 return self,vek,,,,55355454.0,ns,21273560
mat2 return self,vek,,,,56361757.0,ns,21653445
mat2 return self,vek,,,,57532766.0,ns,22033330
mat2 return self,vek,,,,58355221.0,ns,22413215
mat2 return self,vek,,,,59886045.0,ns,22793100
mat2 return self,vek,,,,60506197.0,ns,23172985
mat2 return self,vek,,,,61254195.0,ns,23552870
mat2 return self,vek,,,,62501068.0,ns,23932755
mat2 return self,vek,,,,63238201.0,ns,24312640
mat2 return self,vek,,,,64291208.0,ns,24692525
mat2 return self,vek,,,,65252185.0,ns,25072410
mat2 return self,vek,,,,66221729.0,ns,25452295
mat2 return self,vek,,,,67471888.0,ns,25832180
mat2 return self,vek,,,,68150490.0,ns,26212065
mat2 return self,vek,,,,69828768.0,ns,26591950
mat2 return self,vek,,,,70229345.0,ns,26971835
mat2 return self,vek,,,,71214791.0,ns,27351720
mat2 return self,vek,,,,72527701.0,ns,27731605
mat2 return self,vek,,,,73162173.0,ns,28111490
mat2 return self,vek,,,,74064540.0,ns,28491375
mat2 return self,vek,,,,75256342.0,ns,28871260
mat2 return self,vek,,,,76426487.0,ns,29251145
mat2 return self,vek,,,,77978184.0,ns,29631030
mat2 return self,vek,,,,78326665.0,ns,30010915
mat2 return self,vek,,,,79081382.0,ns,30390800
mat2 return self,vek,,,,80105061.0,ns,30770685
mat2 return self,vek,,,,81147986.0,ns,31150570
mat2 return self,vek,,,,81992545.0,ns,31530455
mat2 return self,vek,,,,83111534.0,ns,31910340
mat2 return self,vek,,,,84812996.0,ns,32290225
mat2 return self,vek,,,,85302994.0,ns,32670110
mat2 return self,vek,,,,86028253.0,ns,33049995
mat2 return self,vek,,,,87244438.0,ns,33429880
mat2 return self,vek,,,,88026334.0,ns,33809765
mat2 return self,vek,,,,89127750.0,ns,34189650
mat2 return self,vek,,,,90011967.0,ns,34569535
mat2 return self,vek,,,,91680591.0,ns,34949420
mat2 return self,vek,,,,91943329.0,ns,35329305
mat2 return self,vek,,,,92849589.0,ns,35709190
mat2 return self,vek,,,,93941680.0,ns,36089075
mat2 return self,vek,,,,94978490.0,ns,36468960
mat2 return self,vek,,,,96252260.0,ns,36848845
mat2 return self,vek,,,,97216409.0,ns,37228730
mat2 return self,vek,,,,98172932.0,ns,37608615
mat2 return self,vek,,,,98928331.0,ns,37988500
