group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mat3 determinant,cgmath,,,,1114755.0,ns,289056
mat3 determinant,cgmath,,,,2102992.0,ns,578112
mat3 determinant,cgmath,,,,3078471.0,ns,867168
mat3 determinant,cgmath,,,,4208969.0,ns,1156224
mat3 determinant,cgmath,,,,5046148.0,ns,1445280
mat3 determinant,cgmath,,,,6050507.0,ns,1734336
mat3 determinant,cgmath,,,,7037300.0,ns,2023392
mat3 determinant,cgmath,,,,7992674.0,ns,2312448
mat3 determinant,cgmath,,,,8976176.0,ns,2601504
mat3 determinant,cgmath,,,,9983110.0,ns,2890560
mat3 determinant,cgmath,,,,11023476.0,ns,3179616
mat3 determinant,cgmath,,,,11953674.0,ns,3468672
mat3 determinant,cgmath,,,,12916438.0,ns,3757728
mat3 determinant,cgmath,,,,13898674.0,ns,4046784
mat3 determinant,cgmath,,,,14918208.0,ns,4335840
mat3 determinant,cgmath,,,,15864314.0,ns,4624896
mat3 determinant,cgmath,,,,16848949.0,ns,4913952
mat3 determinant,cgmath,,,,17884036.0,ns,5203008
mat3 determinant,cgmath,,,,18830087.0,ns,5492064
mat3 determinant,cgmath,,,,19801432.0,ns,5781120
mat3 determinant,cgmath,,,,20806870.0,ns,6070176
mat3 determinant,cgmath,,,,21841230.0,ns,6359232
mat3 determinant,cgmath,,,,22864231.0,ns,6648288
mat3 determinant,cgmath,,,,23732686.0,ns,6937344
mat3 determinant,cgmath,,,,24764280.0,ns,7226400
mat3 determinant,cgmath,,,,25701010.0,ns,7515456
mat3 determinant,cgmath,,,,26755391.0,ns,7804512
mat3 determinant,cgmath,,,,27797473.0,ns,8093568
mat3 determinant,cgmath,,,,28874533.0,ns,8382624
mat3 determinant,cgmath,,,,29694020.0,ns,8671680
mat3 determinant,cgmath,,,,30639312.0,ns,8960736
mat3 determinant,cgmath,,,,31651214.0,ns,9249792
mat3 determinant,cgmath,,,,32664409.0,ns,9538848
mat3 determinant,cgmath,,,,33612785.0,ns,9827904
mat3 determinant,cgmath,,,,34635290.0,ns,10116960
mat3 determinant,cgmath,,,,35594718.0,ns,10406016
mat3 determinant,cgmath,,,,36540748.0,ns,10695072
mat3 determinant,cgmath,,,,37576217.0,ns,10984128
mat3 determinant,cgmath,,,,38561456.0,ns,11273184
mat3 determinant,cgmath,,,,39614429.0,ns,11562240
mat3 determinant,cgmath,,,,40503898.0,ns,11851296
mat3 determinant,cgmath,,,,41466011.0,ns,12140352
mat3 determinant,cgmath,,,,42480848.0,ns,12429408
mat3 determinant,cgmath,,,,43494589.0,ns,12718464
mat3 determinant,cgmath,,,,44475910.0,ns,13007520
mat3 determinant,cgmath,,,,45839296.0,ns,13296576
