group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mat3 inverse,euclid,,,,1109146.0,ns,202595
mat3 inverse,euclid,,,,2094873.0,ns,405190
mat3 inverse,euclid,,,,3100648.0,ns,607785
mat3 inverse,euclid,,,,4196366.0,ns,810380
mat3 inverse,euclid,,,,5044298.0,ns,1012975
mat3 inverse,euclid,,,,6032254.0,ns,1215570
mat3 inverse,euclid,,,,7019859.0,ns,1418165
mat3 inverse,euclid,,,,8080291.0,ns,1620760
mat3 inverse,euclid,,,,9021811.0,ns,1823355
mat3 inverse,euclid,,,,10029356.0,ns,2025950
mat3 inverse,euclid,,,,11031828.0,ns,2228545
mat3 inverse,euclid,,,,11934633.0,ns,2431140
mat3 inverse,euclid,,,,12998242.0,ns,2633735
mat3 inverse,euclid,,,,13903358.0,ns,2836330
mat3 inverse,euclid,,,,14980702.0,ns,3038925
mat3 inverse,euclid,,,,15871185.0,ns,3241520
mat3 inverse,euclid,,,,16856274.0,ns,3444115
mat3 inverse,euclid,,,,17900603.0,ns,3646710
mat3 inverse,euclid,,,,18824928.0,ns,3849305
mat3 inverse,euclid,,,,19836561.0,ns,4051900
mat3 inverse,euclid,,,,20812267.0,ns,4254495
mat3 inverse,euclid,,,,21781208.0,ns,4457090
mat3 inverse,euclid,,,,22818450.0,ns,4659685
mat3 inverse,euclid,,,,23748124.0,ns,4862280
mat3 inverse,euclid,,,,24769168.0,ns,5064875
mat3 inverse,euclid,,,,25731320.0,ns,5267470
mat3 inverse,euclid,,,,26786882.0,ns,5470065
mat3 inverse,euclid,,,,27702591.0,ns,5672660
mat3 inverse,euclid,,,,28690338.0,ns,5875255
mat3 inverse,euclid,,,,29714019.0,ns,6077850
mat3 inverse,euclid,,,,30633102.0,ns,6280445
mat3 inverse,euclid,,,,31664498.0,ns,6483040
mat3 inverse,euclid,,,,32765370.0,ns,6685635
mat3 inverse,euclid,,,,33630941.0,ns,6888230
mat3 inverse,euclid,,,,34669652.0,ns,7090825
mat3 inverse,euclid,,,,35755438.0,ns,7293420
mat3 inverse,euclid,,,,36536515.0,ns,7496015
mat3 inverse,euclid,,,,37564783.0,ns,7698610
mat3 inverse,euclid,,,,38571274.0,ns,7901205
mat3 inverse,euclid,,,,39612783.0,ns,8103800
mat3 inverse,euclid,,,,40555500.0,ns,8306395
mat3 inverse,euclid,,,,41463549.0,ns,8508990
mat3 inverse,euclid,,,,42530590.0,ns,8711585
mat3 inverse,euclid,,,,43487532.0,ns,8914180
mat3 inverse,euclid,,,,44458467.0,ns,9116775
mat3 inverse,euclid,,,,45537831.0,ns,9319370
mat3 inverse,euclid,,,,46468408.0,ns,9521965
mat3 inverse,euclid,,,,47491624.0,ns,9724560
mat3 inverse,euclid,,,,48388400.0,ns,9927155
mat3 inverse,euclid,,,,49419872.0,ns,10129750
mat3 inverse,euclid,,,,50362209.0,ns,10332345
mat3 inverse,euclid,,,,51400530.0,ns,10534940
mat3 inverse,euclid,,,,52333377.0,ns,10737535
mat3 inverse,euclid,,,,53327509.0,ns,10940130
mat3 inverse,euclid,,,,54319655.0,ns,11142725
mat3 inverse,euclid,,,,55338445.0,ns,11345320
mat3 inverse,euclid,,,,56301763.0,ns,11547915
mat3 inverse,euclid,,,,57267199.0,ns,11750510
mat3 inverse,euclid,,,,58266529.0,ns,11953105
mat3 inverse,euclid,,,,59301700.0,ns,12155700
mat3 inverse,euclid,,,,60238010.0,ns,12358295
mat3 inverse,euclid,,,,61235877.0,ns,12560890
mat3 inverse,euclid,,,,62209194.0,ns,12763485
mat3 inverse,euclid,,,,63191928.0,ns,12966080
mat3 inverse,euclid,,,,64254068.0,ns,13168675
mat3 inverse,euclid,,,,65246611.0,ns,13371270
mat3 inverse,euclid,,,,66125701.0,ns,13573865
mat3 inverse,euclid,,,,67091311.0,ns,13776460
mat3 inverse,euclid,,,,68154756.0,ns,13979055
mat3 inverse,euclid,,,,69122244.0,ns,14181650
mat3 inverse,euclid,,,,70066837.0,ns,14384245
mat3 inverse,euclid,,,,71106210.0,ns,14586840
mat3 inverse,euclid,,,,72076877.0,ns,14789435
mat3 inverse,euclid,,,,73073046.0,ns,14992030
mat3 inverse,euclid,,,,74043391.0,ns,15194625
mat3 inverse,euclid,,,,75042250.0,ns,15397220
mat3 inverse,euclid,,,,76323835.0,ns,15599815
mat3 inverse,euclid,,,,76969337.0,ns,15802410
mat3 inverse,euclid,,,,78015042.0,ns,16005005
mat3 inverse,euclid,,,,78970223.0,ns,16207600
mat3 inverse,euclid,,,,79942210.0,ns,16410195
mat3 inverse,euclid,,,,80928519.0,ns,16612790
mat3 inverse,euclid,,,,81935505.0,ns,16815385
mat3 inverse,euclid,,,,82939976.0,ns,17017980
mat3 inverse,euclid,,,,84268270.0,ns,17220575
mat3 inverse,euclid,,,,84876352.0,ns,17423170
mat3 inverse,euclid,,,,85929623.0,ns,17625765
mat3 inverse,euclid,,,,86815967.0,ns,17828360
mat3 inverse,euclid,,,,87884185.0,ns,18030955
mat3 inverse,euclid,,,,89004768.0,ns,18233550
mat3 inverse,euclid,,,,89909733.0,ns,18436145
mat3 inverse,euclid,,,,90861226.0,ns,18638740
mat3 inverse,euclid,,,,91778603.0,ns,18841335
mat3 inverse,euclid,,,,92675291.0,ns,19043930
mat3 inverse,euclid,,,,93898061.0,ns,19246525
mat3 inverse,euclid,,,,95019184.0,ns,19449120
mat3 inverse,euclid,,,,95764715.0,ns,19651715
mat3 inverse,euclid,,,,96744181.0,ns,19854310
mat3 inverse,euclid,,,,97652542.0,ns,20056905
mat3 inverse,euclid,,,,98673372.0,ns,20259500
