group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mat3 mul mat3,euclid,,,,1102843.0,ns,193450
mat3 mul mat3,euclid,,,,2085841.0,ns,386900
mat3 mul mat3,euclid,,,,3064901.0,ns,580350
mat3 mul mat3,euclid,,,,4041474.0,ns,773800
mat3 mul mat3,euclid,,,,5020010.0,ns,967250
mat3 mul mat3,euclid,,,,6016927.0,ns,1160700
mat3 mul mat3,euclid,,,,6979364.0,ns,1354150
mat3 mul mat3,euclid,,,,7959174.0,ns,1547600
mat3 mul mat3,euclid,,,,8936419.0,ns,1741050
mat3 mul mat3,euclid,,,,9918705.0,ns,1934500
mat3 mul mat3,euclid,,,,10911641.0,ns,2127950
mat3 mul mat3,euclid,,,,11872975.0,ns,2321400
mat3 mul mat3,euclid,,,,12849292.0,ns,2514850
mat3 mul mat3,euclid,,,,13852231.0,ns,2708300
mat3 mul mat3,euclid,,,,14898801.0,ns,2901750
mat3 mul mat3,euclid,,,,15808428.0,ns,3095200
mat3 mul mat3,euclid,,,,16773738.0,ns,3288650
mat3 mul mat3,euclid,,,,17786562.0,ns,3482100
mat3 mul mat3,euclid,,,,18727924.0,ns,3675550
mat3 mul mat3,euclid,,,,19768231.0,ns,3869000
mat3 mul mat3,euclid,,,,20683684.0,ns,4062450
mat3 mul mat3,euclid,,,,21683203.0,ns,4255900
mat3 mul mat3,euclid,,,,22659156.0,ns,4449350
mat3 mul mat3,euclid,,,,23640785.0,ns,4642800
mat3 mul mat3,euclid,,,,24619706.0,ns,4836250
mat3 mul mat3,euclid,,,,25577906.0,ns,5029700
mat3 mul mat3,euclid,,,,26588999.0,ns,5223150
mat3 mul mat3,euclid,,,,27806499.0,ns,5416600
mat3 mul mat3,euclid,,,,28536084.0,ns,5610050
mat3 mul mat3,euclid,,,,29513852.0,ns,5803500
mat3 mul mat3,euclid,,,,30496430.0,ns,5996950
mat3 mul mat3,euclid,,,,31472265.0,ns,6190400
mat3 mul mat3,euclid,,,,32471290.0,ns,6383850
mat3 mul mat3,euclid,,,,33429328.0,ns,6577300
mat3 mul mat3,euclid,,,,34418303.0,ns,6770750
mat3 mul mat3,euclid,,,,35384290.0,ns,6964200
mat3 mul mat3,euclid,,,,36373258.0,ns,7157650
mat3 mul mat3,euclid,,,,37366284.0,ns,7351100
mat3 mul mat3,euclid,,,,38349294.0,ns,7544550
mat3 mul mat3,euclid,,,,39324989.0,ns,7738000
mat3 mul mat3,euclid,,,,40280648.0,ns,7931450
mat3 mul mat3,euclid,,,,41286006.0,ns,8124900
mat3 mul mat3,euclid,,,,42259364.0,ns,8318350
mat3 mul mat3,euclid,,,,43241691.0,ns,8511800
mat3 mul mat3,euclid,,,,44184446.0,ns,8705250
mat3 mul mat3,euclid,,,,45182170.0,ns,8898700
mat3 mul mat3,euclid,,,,46248687.0,ns,9092150
mat3 mul mat3,euclid,,,,47152908.0,ns,9285600
mat3 mul mat3,euclid,,,,48188136.0,ns,9479050
mat3 mul mat3,euclid,,,,49174598.0,ns,9672500
mat3 mul mat3,euclid,,,,50093120.0,ns,9865950
mat3 mul mat3,euclid,,,,51055863.0,ns,10059400
mat3 mul mat3,euclid,,,,52121740.0,ns,10252850
mat3 mul mat3,euclid,,,,53035631.0,ns,10446300
mat3 mul mat3,euclid,,,,53997302.0,ns,10639750
mat3 mul mat3,euclid,,,,55011435.0,ns,10833200
mat3 mul mat3,euclid,,,,56002027.0,ns,11026650
mat3 mul mat3,euclid,,,,56941025.0,ns,11220100
mat3 mul mat3,euclid,,,,57933154.0,ns,11413550
mat3 mul mat3,euclid,,,,58902529.0,ns,11607000
mat3 mul mat3,euclid,,,,59901971.0,ns,11800450
mat3 mul mat3,euclid,,,,60890478.0,ns,11993900
mat3 mul mat3,euclid,,,,61846230.0,ns,12187350
mat3 mul mat3,euclid,,,,62837113.0,ns,12380800
mat3 mul mat3,euclid,,,,63898232.0,ns,12574250
mat3 mul mat3,euclid,,,,64814368.0,ns,12767700
mat3 mul mat3,euclid,,,,65732402.0,ns,12961150
mat3 mul mat3,euclid,,,,66866583.0,ns,13154600
mat3 mul mat3,euclid,,,,67763487.0,ns,13348050
mat3 mul mat3,euclid,,,,68720478.0,ns,13541500
mat3 mul mat3,euclid,,,,69677730.0,ns,13734950
mat3 mul mat3,euclid,,,,70679054.0,ns,13928400
mat3 mul mat3,euclid,,,,71641891.0,ns,14121850
mat3 mul mat3,euclid,,,,72651976.0,ns,14315300
mat3 mul mat3,euclid,,,,73620615.0,ns,14508750
mat3 mul mat3,euclid,,,,74723341.0,ns,14702200
mat3 mul mat3,euclid,,,,75563767.0,ns,14895650
mat3 mul mat3,euclid,,,,76524598.0,ns,15089100
mat3 mul mat3,euclid,,,,77561006.0,ns,15282550
mat3 mul mat3,euclid,,,,78509970.0,ns,15476000
mat3 mul mat3,euclid,,,,79532806.0,ns,15669450
mat3 mul mat3,euclid,,,,80570016.0,ns,15862900
mat3 mul mat3,euclid,,,,81598889.0,ns,16056350
mat3 mul mat3,euclid,,,,82438201.0,ns,16249800
mat3 mul mat3,euclid,,,,83416966.0,ns,16443250
mat3 mul mat3,euclid,,,,84538695.0,ns,16636700
mat3 mul mat3,euclid,,,,85407315.0,ns,16830150
mat3 mul mat3,euclid,,,,86371648.0,ns,17023600
mat3 mul mat3,euclid,,,,87359907.0,ns,17217050
mat3 mul mat3,euclid,,,,88410156.0,ns,17410500
mat3 mul mat3,euclid,,,,90078497.0,ns,17603950
mat3 mul mat3,euclid,,,,92889047.0,ns,17797400
mat3 mul mat3,euclid,,,,93861737.0,ns,17990850
mat3 mul mat3,euclid,,,,93248550.0,ns,18184300
mat3 mul mat3,euclid,,,,93215390.0,ns,18377750
mat3 mul mat3,euclid,,,,94188493.0,ns,18571200
mat3 mul mat3,euclid,,,,95163897.0,ns,18764650
mat3 mul mat3,euclid,,,,96106938.0,ns,18958100
mat3 mul mat3,euclid,,,,97140841.0,ns,19151550
mat3 mul mat3,euclid,,,,98085377.0,ns,19345000
