group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mat3 mul mat3,vek,,,,1111424.0,ns,7291
mat3 mul mat3,vek,,,,2092682.0,ns,14582
mat3 mul mat3,vek,,,,3078106.0,ns,21873
mat3 mul mat3,vek,,,,4160858.0,ns,29164
mat3 mul mat3,vek,,,,5063829.0,ns,36455
mat3 mul mat3,vek,,,,6122254.0,ns,43746
mat3 mul mat3,vek,,,,7051379.0,ns,51037
mat3 mul mat3,vek,,,,8015971.0,ns,58328
mat3 mul mat3,vek,,,,8979958.0,ns,65619
mat3 mul mat3,vek,,,,9982200.0,ns,72910
mat3 mul mat3,vek,,,,10965913.0,ns,80201
mat3 mul mat3,vek,,,,11928900.0,ns,87492
mat3 mul mat3,vek,,,,12910330.0,ns,94783
mat3 mul mat3,vek,,,,13907127.0,ns,102074
mat3 mul mat3,vek,,,,14886204.0,ns,109365
mat3 mul mat3,vek,,,,15861551.0,ns,116656
mat3 mul mat3,vek,,,,16845620.0,ns,123947
mat3 mul mat3,vek,,,,17854454.0,ns,131238
mat3 mul mat3,vek,,,,18819456.0,ns,138529
mat3 mul mat3,vek,,,,19798242.0,ns,145820
mat3 mul mat3,vek,,,,20793551.0,ns,153111
mat3 mul mat3,vek,,,,21839363.0,ns,160402
mat3 mul mat3,vek,,,,22785057.0,ns,167693
mat3 mul mat3,vek,,,,23750763.0,ns,174984
mat3 mul mat3,vek,,,,24735050.0,ns,182275
mat3 mul mat3,vek,,,,25745826.0,ns,189566
mat3 mul mat3,vek,,,,26726558.0,ns,196857
mat3 mul mat3,vek,,,,27666633.0,ns,204148
mat3 mul mat3,vek,,,,28707316.0,ns,211439
mat3 mul mat3,vek,,,,29747656.0,ns,218730
mat3 mul mat3,vek,,,,30684338.0,ns,226021
mat3 mul mat3,vek,,,,31686646.0,ns,233312
mat3 mul mat3,vek,,,,32751742.0,ns,240603
mat3 mul mat3,vek,,,,33573972.0,ns,247894
mat3 mul mat3,vek,,,,34680481.0,ns,255185
mat3 mul mat3,vek,,,,35558188.0,ns,262476
mat3 mul mat3,vek,,,,36531645.0,ns,269767
mat3 mul mat3,vek,,,,37526231.0,ns,277058
mat3 mul mat3,vek,,,,38507013.0,ns,284349
mat3 mul mat3,vek,,,,39498006.0,ns,291640
mat3 mul mat3,vek,,,,40499718.0,ns,298931
mat3 mul mat3,vek,,,,41486369.0,ns,306222
mat3 mul mat3,vek,,,,42453313.0,ns,313513
