group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mat3 return self,pathfinder,,,,1089919.0,ns,237854
mat3 return self,pathfinder,,,,2059917.0,ns,475708
mat3 return self,pathfinder,,,,3030876.0,ns,713562
mat3 return self,pathfinder,,,,4125631.0,ns,951416
mat3 return self,pathfinder,,,,4958336.0,ns,1189270
mat3 return self,pathfinder,,,,5929337.0,ns,1427124
mat3 return self,pathfinder,,,,6963026.0,ns,1664978
mat3 return self,pathfinder,,,,7859918.0,ns,1902832
mat3 return self,pathfinder,,,,8824372.0,ns,2140686
mat3 return self,pathfinder,,,,9819065.0,ns,2378540
mat3 return self,pathfinder,,,,10750636.0,ns,2616394
mat3 return self,pathfinder,,,,11717626.0,ns,2854248
mat3 return self,pathfinder,,,,12686002.0,ns,3092102
mat3 return self,pathfinder,,,,13650314.0,ns,3329956
mat3 return self,pathfinder,,,,14629996.0,ns,3567810
mat3 return self,pathfinder,,,,15607171.0,ns,3805664
mat3 return self,pathfinder,,,,16546068.0,ns,4043518
mat3 return self,pathfinder,,,,17517109.0,ns,4281372
mat3 return self,pathfinder,,,,18539310.0,ns,4519226
mat3 return self,pathfinder,,,,19462813.0,ns,4757080
mat3 return self,pathfinder,,,,20464270.0,ns,4994934
mat3 return self,pathfinder,,,,21380633.0,ns,5232788
mat3 return self,pathfinder,,,,22355736.0,ns,5470642
mat3 return self,pathfinder,,,,23357442.0,ns,5708496
mat3 return self,pathfinder,,,,24310097.0,ns,5946350
mat3 return self,pathfinder,,,,25248646.0,ns,6184204
mat3 return self,pathfinder,,,,26207779.0,ns,6422058
mat3 return self,pathfinder,,,,27195417.0,ns,6659912
mat3 return self,pathfinder,,,,28178149.0,ns,6897766
mat3 return self,pathfinder,,,,29142934.0,ns,7135620
mat3 return self,pathfinder,,,,30110531.0,ns,7373474
mat3 return self,pathfinder,,,,31091401.0,ns,7611328
mat3 return self,pathfinder,,,,32006372.0,ns,7849182
mat3 return self,pathfinder,,,,33016480.0,ns,8087036
