group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mat3 transform point2,nalgebra,,,,1082012.0,ns,127800
mat3 transform point2,nalgebra,,,,2041908.0,ns,255600
mat3 transform point2,nalgebra,,,,2999330.0,ns,383400
mat3 transform point2,nalgebra,,,,4062714.0,ns,511200
mat3 transform point2,nalgebra,,,,4920794.0,ns,639000
mat3 transform point2,nalgebra,,,,5892011.0,ns,766800
mat3 transform point2,nalgebra,,,,6864738.0,ns,894600
mat3 transform point2,nalgebra,,,,7784332.0,ns,1022400
mat3 transform point2,nalgebra,,,,8740718.0,ns,1150200
mat3 transform point2,nalgebra,,,,9715631.0,ns,1278000
mat3 transform point2,nalgebra,,,,10701237.0,ns,1405800
mat3 transform point2,nalgebra,,,,11616111.0,ns,1533600
mat3 transform point2,nalgebra,,,,12609697.0,ns,1661400
mat3 transform point2,nalgebra,,,,15246596.0,ns,1789200
mat3 transform point2,nalgebra,,,,16351545.0,ns,1917000
mat3 transform point2,nalgebra,,,,17329454.0,ns,2044800
mat3 transform point2,nalgebra,,,,18466916.0,ns,2172600
mat3 transform point2,nalgebra,,,,19566278.0,ns,2300400
mat3 transform point2,nalgebra,,,,20713128.0,ns,2428200
mat3 transform point2,nalgebra,,,,21736077.0,ns,2556000
mat3 transform point2,nalgebra,,,,22724953.0,ns,2683800
mat3 transform point2,nalgebra,,,,23811138.0,ns,2811600
mat3 transform point2,nalgebra,,,,24952406.0,ns,2939400
mat3 transform point2,nalgebra,,,,26033723.0,ns,3067200
mat3 transform point2,nalgebra,,,,27086528.0,ns,3195000
mat3 transform point2,nalgebra,,,,28173323.0,ns,3322800
mat3 transform point2,nalgebra,,,,29259013.0,ns,3450600
mat3 transform point2,nalgebra,,,,30265693.0,ns,3578400
mat3 transform point2,nalgebra,,,,31436173.0,ns,3706200
mat3 transform point2,nalgebra,,,,32449330.0,ns,3834000
mat3 transform point2,nalgebra,,,,33505466.0,ns,3961800
mat3 transform point2,nalgebra,,,,34686155.0,ns,4089600
mat3 transform point2,nalgebra,,,,35754478.0,ns,4217400
mat3 transform point2,nalgebra,,,,36772874.0,ns,4345200
mat3 transform point2,nalgebra,,,,37892062.0,ns,4473000
mat3 transform point2,nalgebra,,,,38918310.0,ns,4600800
mat3 transform point2,nalgebra,,,,40150862.0,ns,4728600
mat3 transform point2,nalgebra,,,,40034649.0,ns,4856400
mat3 transform point2,nalgebra,,,,37691014.0,ns,4984200
mat3 transform point2,nalgebra,,,,38668450.0,ns,5112000
mat3 transform point2,nalgebra,,,,39461710.0,ns,5239800
mat3 transform point2,nalgebra,,,,40444078.0,ns,5367600
mat3 transform point2,nalgebra,,,,41395558.0,ns,5495400
mat3 transform point2,nalgebra,,,,42382683.0,ns,5623200
mat3 transform point2,nalgebra,,,,43331387.0,ns,5751000
mat3 transform point2,nalgebra,,,,44233668.0,ns,5878800
mat3 transform point2,nalgebra,,,,45270032.0,ns,6006600
mat3 transform point2,nalgebra,,,,46188065.0,ns,6134400
mat3 transform point2,nalgebra,,,,47139140.0,ns,6262200
mat3 transform point2,nalgebra,,,,48103350.0,ns,6390000
mat3 transform point2,nalgebra,,,,49085358.0,ns,6517800
mat3 transform point2,nalgebra,,,,50052389.0,ns,6645600
mat3 transform point2,nalgebra,,,,50966534.0,ns,6773400
mat3 transform point2,nalgebra,,,,51918335.0,ns,6901200
mat3 transform point2,nalgebra,,,,52954870.0,ns,7029000
mat3 transform point2,nalgebra,,,,54563905.0,ns,7156800
mat3 transform point2,nalgebra,,,,56317080.0,ns,7284600
mat3 transform point2,nalgebra,,,,57265694.0,ns,7412400
mat3 transform point2,nalgebra,,,,58323972.0,ns,7540200
mat3 transform point2,nalgebra,,,,59321054.0,ns,7668000
mat3 transform point2,nalgebra,,,,60240197.0,ns,7795800
mat3 transform point2,nalgebra,,,,61344660.0,ns,7923600
mat3 transform point2,nalgebra,,,,62386427.0,ns,8051400
mat3 transform point2,nalgebra,,,,63299302.0,ns,8179200
mat3 transform point2,nalgebra,,,,64430753.0,ns,8307000
mat3 transform point2,nalgebra,,,,65282169.0,ns,8434800
mat3 transform point2,nalgebra,,,,65551330.0,ns,8562600
mat3 transform point2,nalgebra,,,,65397164.0,ns,8690400
mat3 transform point2,nalgebra,,,,66319773.0,ns,8818200
mat3 transform point2,nalgebra,,,,67281496.0,ns,8946000
mat3 transform point2,nalgebra,,,,68256017.0,ns,9073800
mat3 transform point2,nalgebra,,,,69348679.0,ns,9201600
mat3 transform point2,nalgebra,,,,70138558.0,ns,9329400
mat3 transform point2,nalgebra,,,,71136928.0,ns,9457200
mat3 transform point2,nalgebra,,,,72139336.0,ns,9585000
mat3 transform point2,nalgebra,,,,73015480.0,ns,9712800
mat3 transform point2,nalgebra,,,,74098820.0,ns,9840600
mat3 transform point2,nalgebra,,,,75000154.0,ns,9968400
mat3 transform point2,nalgebra,,,,75901090.0,ns,10096200
mat3 transform point2,nalgebra,,,,76998194.0,ns,10224000
mat3 transform point2,nalgebra,,,,79262261.0,ns,10351800
mat3 transform point2,nalgebra,,,,88614000.0,ns,10479600
mat3 transform point2,nalgebra,,,,89634422.0,ns,10607400
mat3 transform point2,nalgebra,,,,90736967.0,ns,10735200
mat3 transform point2,nalgebra,,,,91888954.0,ns,10863000
mat3 transform point2,nalgebra,,,,92917060.0,ns,10990800
mat3 transform point2,nalgebra,,,,84627316.0,ns,11118600
mat3 transform point2,nalgebra,,,,84493936.0,ns,11246400
mat3 transform point2,nalgebra,,,,85448477.0,ns,11374200
mat3 transform point2,nalgebra,,,,86366488.0,ns,11502000
mat3 transform point2,nalgebra,,,,87372498.0,ns,11629800
mat3 transform point2,nalgebra,,,,88294004.0,ns,11757600
mat3 transform point2,nalgebra,,,,89422786.0,ns,11885400
mat3 transform point2,nalgebra,,,,90304145.0,ns,12013200
mat3 transform point2,nalgebra,,,,91289273.0,ns,12141000
mat3 transform point2,nalgebra,,,,92378058.0,ns,12268800
mat3 transform point2,nalgebra,,,,93128296.0,ns,12396600
mat3 transform point2,nalgebra,,,,94417480.0,ns,12524400
mat3 transform point2,nalgebra,,,,95045748.0,ns,12652200
mat3 transform point2,nalgebra,,,,96129998.0,ns,12780000
