group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mat4 determinant,euclid,,,,1109882.0,ns,60794
mat4 determinant,euclid,,,,2089517.0,ns,121588
mat4 determinant,euclid,,,,3074821.0,ns,182382
mat4 determinant,euclid,,,,4056879.0,ns,243176
mat4 determinant,euclid,,,,5039250.0,ns,303970
mat4 determinant,euclid,,,,6063003.0,ns,364764
mat4 determinant,euclid,,,,7004571.0,ns,425558
mat4 determinant,euclid,,,,7988587.0,ns,486352
mat4 determinant,euclid,,,,8975132.0,ns,547146
mat4 determinant,euclid,,,,9953485.0,ns,607940
mat4 determinant,euclid,,,,10956564.0,ns,668734
mat4 determinant,euclid,,,,11940957.0,ns,729528
mat4 determinant,euclid,,,,12911326.0,ns,790322
mat4 determinant,euclid,,,,13894079.0,ns,851116
mat4 determinant,euclid,,,,14909651.0,ns,911910
mat4 determinant,euclid,,,,15849750.0,ns,972704
mat4 determinant,euclid,,,,16830816.0,ns,1033498
mat4 determinant,euclid,,,,17813635.0,ns,1094292
mat4 determinant,euclid,,,,18811233.0,ns,1155086
mat4 determinant,euclid,,,,19804116.0,ns,1215880
mat4 determinant,euclid,,,,20805607.0,ns,1276674
mat4 determinant,euclid,,,,21743449.0,ns,1337468
mat4 determinant,euclid,,,,23180683.0,ns,1398262
mat4 determinant,euclid,,,,23735496.0,ns,1459056
mat4 determinant,euclid,,,,24713353.0,ns,1519850
mat4 determinant,euclid,,,,25785010.0,ns,1580644
mat4 determinant,euclid,,,,26757603.0,ns,1641438
mat4 determinant,euclid,,,,27661167.0,ns,1702232
mat4 determinant,euclid,,,,28622790.0,ns,1763026
mat4 determinant,euclid,,,,29633356.0,ns,1823820
mat4 determinant,euclid,,,,30620302.0,ns,1884614
mat4 determinant,euclid,,,,31614082.0,ns,1945408
mat4 determinant,euclid,,,,32557183.0,ns,2006202
mat4 determinant,euclid,,,,33566762.0,ns,2066996
mat4 determinant,euclid,,,,34519307.0,ns,2127790
mat4 determinant,euclid,,,,35614510.0,ns,2188584
mat4 determinant,euclid,,,,36525707.0,ns,2249378
mat4 determinant,euclid,,,,37670692.0,ns,2310172
mat4 determinant,euclid,,,,38571139.0,ns,2370966
mat4 determinant,euclid,,,,39472140.0,ns,2431760
mat4 determinant,euclid,,,,40460272.0,ns,2492554
mat4 determinant,euclid,,,,41445718.0,ns,2553348
mat4 determinant,euclid,,,,42388813.0,ns,2614142
mat4 determinant,euclid,,,,43395656.0,ns,2674936
mat4 determinant,euclid,,,,44380060.0,ns,2735730
mat4 determinant,euclid,,,,45384916.0,ns,2796524
mat4 determinant,euclid,,,,46358047.0,ns,2857318
mat4 determinant,euclid,,,,47296996.0,ns,2918112
mat4 determinant,euclid,,,,48353586.0,ns,2978906
mat4 determinant,euclid,,,,49289876.0,ns,3039700
mat4 determinant,euclid,,,,50283293.0,ns,3100494
mat4 determinant,euclid,,,,51232902.0,ns,3161288
mat4 determinant,euclid,,,,52225028.0,ns,3222082
mat4 determinant,euclid,,,,54412675.0,ns,3282876
mat4 determinant,euclid,,,,57392330.0,ns,3343670
mat4 determinant,euclid,,,,58457493.0,ns,3404464
mat4 determinant,euclid,,,,59147607.0,ns,3465258
mat4 determinant,euclid,,,,65590299.0,ns,3526052
mat4 determinant,euclid,,,,69978855.0,ns,3586846
mat4 determinant,euclid,,,,60845174.0,ns,3647640
