group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mat4 inverse,cgmath,,,,1052882.0,ns,22008
mat4 inverse,cgmath,,,,1983411.0,ns,44016
mat4 inverse,cgmath,,,,2914370.0,ns,66024
mat4 inverse,cgmath,,,,4174795.0,ns,88032
mat4 inverse,cgmath,,,,4773952.0,ns,110040
mat4 inverse,cgmath,,,,5902631.0,ns,132048
mat4 inverse,cgmath,,,,6930459.0,ns,154056
mat4 inverse,cgmath,,,,7654106.0,ns,176064
mat4 inverse,cgmath,,,,8493575.0,ns,198072
mat4 inverse,cgmath,,,,9449072.0,ns,220080
mat4 inverse,cgmath,,,,10458439.0,ns,242088
mat4 inverse,cgmath,,,,11307395.0,ns,264096
mat4 inverse,cgmath,,,,12228199.0,ns,286104
mat4 inverse,cgmath,,,,13179297.0,ns,308112
mat4 inverse,cgmath,,,,14093767.0,ns,330120
mat4 inverse,cgmath,,,,15047972.0,ns,352128
mat4 inverse,cgmath,,,,15987117.0,ns,374136
mat4 inverse,cgmath,,,,16976320.0,ns,396144
mat4 inverse,cgmath,,,,17940853.0,ns,418152
mat4 inverse,cgmath,,,,18749942.0,ns,440160
mat4 inverse,cgmath,,,,19706618.0,ns,462168
mat4 inverse,cgmath,,,,20653149.0,ns,484176
mat4 inverse,cgmath,,,,21643657.0,ns,506184
mat4 inverse,cgmath,,,,22468404.0,ns,528192
mat4 inverse,cgmath,,,,23442526.0,ns,550200
mat4 inverse,cgmath,,,,24350851.0,ns,572208
mat4 inverse,cgmath,,,,25540766.0,ns,594216
mat4 inverse,cgmath,,,,26231691.0,ns,616224
mat4 inverse,cgmath,,,,27456182.0,ns,638232
mat4 inverse,cgmath,,,,28130927.0,ns,660240
mat4 inverse,cgmath,,,,29126004.0,ns,682248
mat4 inverse,cgmath,,,,29931133.0,ns,704256
mat4 inverse,cgmath,,,,30878755.0,ns,726264
mat4 inverse,cgmath,,,,31900061.0,ns,748272
mat4 inverse,cgmath,,,,33054950.0,ns,770280
mat4 inverse,cgmath,,,,33672100.0,ns,792288
mat4 inverse,cgmath,,,,34645566.0,ns,814296
mat4 inverse,cgmath,,,,35508763.0,ns,836304
mat4 inverse,cgmath,,,,36680363.0,ns,858312
mat4 inverse,cgmath,,,,37412714.0,ns,880320
mat4 inverse,cgmath,,,,38382949.0,ns,902328
mat4 inverse,cgmath,,,,39427379.0,ns,924336
mat4 inverse,cgmath,,,,40164127.0,ns,946344
mat4 inverse,cgmath,,,,41306782.0,ns,968352
mat4 inverse,cgmath,,,,42140971.0,ns,990360
mat4 inverse,cgmath,,,,43069947.0,ns,1012368
mat4 inverse,cgmath,,,,43991184.0,ns,1034376
mat4 inverse,cgmath,,,,44868746.0,ns,1056384
mat4 inverse,cgmath,,,,45864655.0,ns,1078392
mat4 inverse,cgmath,,,,47629422.0,ns,1100400
mat4 inverse,cgmath,,,,47772696.0,ns,1122408
mat4 inverse,cgmath,,,,48620734.0,ns,1144416
mat4 inverse,cgmath,,,,49763995.0,ns,1166424
mat4 inverse,cgmath,,,,50459221.0,ns,1188432
mat4 inverse,cgmath,,,,51405993.0,ns,1210440
mat4 inverse,cgmath,,,,52329306.0,ns,1232448
mat4 inverse,cgmath,,,,55174906.0,ns,1254456
mat4 inverse,cgmath,,,,56646782.0,ns,1276464
mat4 inverse,cgmath,,,,57221101.0,ns,1298472
mat4 inverse,cgmath,,,,59358769.0,ns,1320480
mat4 inverse,cgmath,,,,59205335.0,ns,1342488
mat4 inverse,cgmath,,,,58119207.0,ns,1364496
mat4 inverse,cgmath,,,,58801919.0,ns,1386504
mat4 inverse,cgmath,,,,60082993.0,ns,1408512
mat4 inverse,cgmath,,,,64952454.0,ns,1430520
mat4 inverse,cgmath,,,,61914303.0,ns,1452528
mat4 inverse,cgmath,,,,62675662.0,ns,1474536
mat4 inverse,cgmath,,,,63692324.0,ns,1496544
mat4 inverse,cgmath,,,,64436600.0,ns,1518552
mat4 inverse,cgmath,,,,65665147.0,ns,1540560
mat4 inverse,cgmath,,,,67532355.0,ns,1562568
mat4 inverse,cgmath,,,,67226765.0,ns,1584576
mat4 inverse,cgmath,,,,68234022.0,ns,1606584
mat4 inverse,cgmath,,,,69160792.0,ns,1628592
mat4 inverse,cgmath,,,,70014294.0,ns,1650600
mat4 inverse,cgmath,,,,71153232.0,ns,1672608
mat4 inverse,cgmath,,,,72035909.0,ns,1694616
mat4 inverse,cgmath,,,,72895706.0,ns,1716624
mat4 inverse,cgmath,,,,74675393.0,ns,1738632
mat4 inverse,cgmath,,,,74717267.0,ns,1760640
mat4 inverse,cgmath,,,,75727664.0,ns,1782648
mat4 inverse,cgmath,,,,76711497.0,ns,1804656
mat4 inverse,cgmath,,,,77492415.0,ns,1826664
mat4 inverse,cgmath,,,,78494542.0,ns,1848672
mat4 inverse,cgmath,,,,79392723.0,ns,1870680
mat4 inverse,cgmath,,,,80337241.0,ns,1892688
mat4 inverse,cgmath,,,,82139167.0,ns,1914696
mat4 inverse,cgmath,,,,82152398.0,ns,1936704
mat4 inverse,cgmath,,,,83430342.0,ns,1958712
mat4 inverse,cgmath,,,,84002338.0,ns,1980720
mat4 inverse,cgmath,,,,85093714.0,ns,2002728
mat4 inverse,cgmath,,,,86015807.0,ns,2024736
mat4 inverse,cgmath,,,,86897559.0,ns,2046744
mat4 inverse,cgmath,,,,88166541.0,ns,2068752
mat4 inverse,cgmath,,,,88745153.0,ns,2090760
mat4 inverse,cgmath,,,,89797466.0,ns,2112768
mat4 inverse,cgmath,,,,90536722.0,ns,2134776
mat4 inverse,cgmath,,,,91515309.0,ns,2156784
mat4 inverse,cgmath,,,,92420586.0,ns,2178792
mat4 inverse,cgmath,,,,94395457.0,ns,2200800
