group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mat4 inverse,glam,,,,1085934.0,ns,43856
mat4 inverse,glam,,,,2045215.0,ns,87712
mat4 inverse,glam,,,,3022742.0,ns,131568
mat4 inverse,glam,,,,4148904.0,ns,175424
mat4 inverse,glam,,,,4918385.0,ns,219280
mat4 inverse,glam,,,,5933987.0,ns,263136
mat4 inverse,glam,,,,6915026.0,ns,306992
mat4 inverse,glam,,,,7775418.0,ns,350848
mat4 inverse,glam,,,,8747355.0,ns,394704
mat4 inverse,glam,,,,9684194.0,ns,438560
mat4 inverse,glam,,,,10630227.0,ns,482416
mat4 inverse,glam,,,,11601780.0,ns,526272
mat4 inverse,glam,,,,12542777.0,ns,570128
mat4 inverse,glam,,,,13501012.0,ns,613984
mat4 inverse,glam,,,,14429985.0,ns,657840
mat4 inverse,glam,,,,15367216.0,ns,701696
mat4 inverse,glam,,,,16332991.0,ns,745552
mat4 inverse,glam,,,,17305059.0,ns,789408
mat4 inverse,glam,,,,18251890.0,ns,833264
mat4 inverse,glam,,,,19251333.0,ns,877120
mat4 inverse,glam,,,,20163584.0,ns,920976
mat4 inverse,glam,,,,21197768.0,ns,964832
mat4 inverse,glam,,,,22158414.0,ns,1008688
mat4 inverse,glam,,,,23086546.0,ns,1052544
mat4 inverse,glam,,,,23971414.0,ns,1096400
mat4 inverse,glam,,,,24951551.0,ns,1140256
mat4 inverse,glam,,,,25865378.0,ns,1184112
mat4 inverse,glam,,,,26860780.0,ns,1227968
mat4 inverse,glam,,,,28032497.0,ns,1271824
mat4 inverse,glam,,,,28848537.0,ns,1315680
mat4 inverse,glam,,,,29727080.0,ns,1359536
mat4 inverse,glam,,,,30755844.0,ns,1403392
mat4 inverse,glam,,,,31631044.0,ns,1447248
mat4 inverse,glam,,,,32599272.0,ns,1491104
mat4 inverse,glam,,,,33529825.0,ns,1534960
mat4 inverse,glam,,,,34493483.0,ns,1578816
mat4 inverse,glam,,,,35747578.0,ns,1622672
mat4 inverse,glam,,,,36384361.0,ns,1666528
mat4 inverse,glam,,,,37336163.0,ns,1710384
mat4 inverse,glam,,,,38333381.0,ns,1754240
mat4 inverse,glam,,,,39368003.0,ns,1798096
mat4 inverse,glam,,,,40214328.0,ns,1841952
mat4 inverse,glam,,,,41130551.0,ns,1885808
mat4 inverse,glam,,,,42320400.0,ns,1929664
mat4 inverse,glam,,,,43227203.0,ns,1973520
mat4 inverse,glam,,,,44762383.0,ns,2017376
mat4 inverse,glam,,,,53438281.0,ns,2061232
mat4 inverse,glam,,,,51495072.0,ns,2105088
mat4 inverse,glam,,,,47265703.0,ns,2148944
mat4 inverse,glam,,,,48135835.0,ns,2192800
mat4 inverse,glam,,,,48851491.0,ns,2236656
mat4 inverse,glam,,,,49730292.0,ns,2280512
mat4 inverse,glam,,,,50780404.0,ns,2324368
mat4 inverse,glam,,,,51852203.0,ns,2368224
mat4 inverse,glam,,,,53013828.0,ns,2412080
mat4 inverse,glam,,,,53673426.0,ns,2455936
mat4 inverse,glam,,,,55023399.0,ns,2499792
mat4 inverse,glam,,,,55517901.0,ns,2543648
mat4 inverse,glam,,,,56547028.0,ns,2587504
mat4 inverse,glam,,,,57376408.0,ns,2631360
mat4 inverse,glam,,,,63262556.0,ns,2675216
mat4 inverse,glam,,,,59911023.0,ns,2719072
mat4 inverse,glam,,,,60784615.0,ns,2762928
mat4 inverse,glam,,,,61757122.0,ns,2806784
mat4 inverse,glam,,,,62776347.0,ns,2850640
mat4 inverse,glam,,,,63667017.0,ns,2894496
mat4 inverse,glam,,,,64817377.0,ns,2938352
mat4 inverse,glam,,,,65291310.0,ns,2982208
mat4 inverse,glam,,,,65986089.0,ns,3026064
mat4 inverse,glam,,,,67042380.0,ns,3069920
mat4 inverse,glam,,,,68123399.0,ns,3113776
mat4 inverse,glam,,,,68902129.0,ns,3157632
mat4 inverse,glam,,,,69838180.0,ns,3201488
mat4 inverse,glam,,,,70800846.0,ns,3245344
mat4 inverse,glam,,,,71665907.0,ns,3289200
mat4 inverse,glam,,,,73118509.0,ns,3333056
mat4 inverse,glam,,,,73633520.0,ns,3376912
mat4 inverse,glam,,,,74756142.0,ns,3420768
mat4 inverse,glam,,,,75813730.0,ns,3464624
mat4 inverse,glam,,,,76492733.0,ns,3508480
mat4 inverse,glam,,,,77530864.0,ns,3552336
mat4 inverse,glam,,,,78428806.0,ns,3596192
mat4 inverse,glam,,,,79360037.0,ns,3640048
mat4 inverse,glam,,,,80729324.0,ns,3683904
mat4 inverse,glam,,,,81270086.0,ns,3727760
mat4 inverse,glam,,,,82322039.0,ns,3771616
mat4 inverse,glam,,,,83192873.0,ns,3815472
mat4 inverse,glam,,,,84194593.0,ns,3859328
mat4 inverse,glam,,,,85288392.0,ns,3903184
mat4 inverse,glam,,,,86254182.0,ns,3947040
mat4 inverse,glam,,,,88026453.0,ns,3990896
mat4 inverse,glam,,,,87915982.0,ns,4034752
mat4 inverse,glam,,,,88970496.0,ns,4078608
mat4 inverse,glam,,,,89900655.0,ns,4122464
mat4 inverse,glam,,,,90915988.0,ns,4166320
mat4 inverse,glam,,,,91844945.0,ns,4210176
mat4 inverse,glam,,,,93163695.0,ns,4254032
mat4 inverse,glam,,,,93883595.0,ns,4297888
mat4 inverse,glam,,,,94630187.0,ns,4341744
mat4 inverse,glam,,,,95611990.0,ns,4385600
