group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mat4 mul mat4,cgmath,,,,1107675.0,ns,129164
mat4 mul mat4,cgmath,,,,2077717.0,ns,258328
mat4 mul mat4,cgmath,,,,3299169.0,ns,387492
mat4 mul mat4,cgmath,,,,4052880.0,ns,516656
mat4 mul mat4,cgmath,,,,5025952.0,ns,645820
mat4 mul mat4,cgmath,,,,6394668.0,ns,774984
mat4 mul mat4,cgmath,,,,7041170.0,ns,904148
mat4 mul mat4,cgmath,,,,7917010.0,ns,1033312
mat4 mul mat4,cgmath,,,,8953528.0,ns,1162476
mat4 mul mat4,cgmath,,,,9946646.0,ns,1291640
mat4 mul mat4,cgmath,,,,10778362.0,ns,1420804
mat4 mul mat4,cgmath,,,,11773838.0,ns,1549968
mat4 mul mat4,cgmath,,,,12764317.0,ns,1679132
mat4 mul mat4,cgmath,,,,13754633.0,ns,1808296
mat4 mul mat4,cgmath,,,,14715285.0,ns,1937460
mat4 mul mat4,cgmath,,,,15640717.0,ns,2066624
mat4 mul mat4,cgmath,,,,16693125.0,ns,2195788
mat4 mul mat4,cgmath,,,,17645375.0,ns,2324952
mat4 mul mat4,cgmath,,,,18539907.0,ns,2454116
mat4 mul mat4,cgmath,,,,19537623.0,ns,2583280
mat4 mul mat4,cgmath,,,,20493688.0,ns,2712444
mat4 mul mat4,cgmath,,,,21454150.0,ns,2841608
mat4 mul mat4,cgmath,,,,22432798.0,ns,2970772
mat4 mul mat4,cgmath,,,,23388248.0,ns,3099936
mat4 mul mat4,cgmath,,,,24385164.0,ns,3229100
mat4 mul mat4,cgmath,,,,25321181.0,ns,3358264
mat4 mul mat4,cgmath,,,,26329523.0,ns,3487428
mat4 mul mat4,cgmath,,,,27240983.0,ns,3616592
mat4 mul mat4,cgmath,,,,28289398.0,ns,3745756
mat4 mul mat4,cgmath,,,,29260919.0,ns,3874920
mat4 mul mat4,cgmath,,,,30195802.0,ns,4004084
mat4 mul mat4,cgmath,,,,31174464.0,ns,4133248
mat4 mul mat4,cgmath,,,,32266179.0,ns,4262412
mat4 mul mat4,cgmath,,,,33474842.0,ns,4391576
mat4 mul mat4,cgmath,,,,34461299.0,ns,4520740
mat4 mul mat4,cgmath,,,,42373964.0,ns,4649904
mat4 mul mat4,cgmath,,,,40657590.0,ns,4779068
mat4 mul mat4,cgmath,,,,37421467.0,ns,4908232
mat4 mul mat4,cgmath,,,,38370676.0,ns,5037396
mat4 mul mat4,cgmath,,,,38954750.0,ns,5166560
mat4 mul mat4,cgmath,,,,39926909.0,ns,5295724
mat4 mul mat4,cgmath,,,,40872289.0,ns,5424888
mat4 mul mat4,cgmath,,,,42098073.0,ns,5554052
mat4 mul mat4,cgmath,,,,42844443.0,ns,5683216
mat4 mul mat4,cgmath,,,,43795111.0,ns,5812380
mat4 mul mat4,cgmath,,,,44742043.0,ns,5941544
mat4 mul mat4,cgmath,,,,45883084.0,ns,6070708
mat4 mul mat4,cgmath,,,,46665915.0,ns,6199872
mat4 mul mat4,cgmath,,,,47671322.0,ns,6329036
mat4 mul mat4,cgmath,,,,49124079.0,ns,6458200
mat4 mul mat4,cgmath,,,,49637052.0,ns,6587364
mat4 mul mat4,cgmath,,,,50528414.0,ns,6716528
mat4 mul mat4,cgmath,,,,51552322.0,ns,6845692
mat4 mul mat4,cgmath,,,,52535955.0,ns,6974856
mat4 mul mat4,cgmath,,,,53463740.0,ns,7104020
mat4 mul mat4,cgmath,,,,54476444.0,ns,7233184
mat4 mul mat4,cgmath,,,,55503627.0,ns,7362348
mat4 mul mat4,cgmath,,,,56467362.0,ns,7491512
mat4 mul mat4,cgmath,,,,57364360.0,ns,7620676
mat4 mul mat4,cgmath,,,,58695076.0,ns,7749840
mat4 mul mat4,cgmath,,,,59925517.0,ns,7879004
mat4 mul mat4,cgmath,,,,60886005.0,ns,8008168
mat4 mul mat4,cgmath,,,,61963283.0,ns,8137332
mat4 mul mat4,cgmath,,,,62898765.0,ns,8266496
mat4 mul mat4,cgmath,,,,63882235.0,ns,8395660
mat4 mul mat4,cgmath,,,,64824142.0,ns,8524824
mat4 mul mat4,cgmath,,,,65860883.0,ns,8653988
mat4 mul mat4,cgmath,,,,66824523.0,ns,8783152
mat4 mul mat4,cgmath,,,,68229880.0,ns,8912316
mat4 mul mat4,cgmath,,,,69250959.0,ns,9041480
mat4 mul mat4,cgmath,,,,69809922.0,ns,9170644
mat4 mul mat4,cgmath,,,,70850093.0,ns,9299808
mat4 mul mat4,cgmath,,,,71620191.0,ns,9428972
mat4 mul mat4,cgmath,,,,71918594.0,ns,9558136
mat4 mul mat4,cgmath,,,,72899685.0,ns,9687300
mat4 mul mat4,cgmath,,,,73927719.0,ns,9816464
mat4 mul mat4,cgmath,,,,74876384.0,ns,9945628
mat4 mul mat4,cgmath,,,,76267648.0,ns,10074792
mat4 mul mat4,cgmath,,,,77619642.0,ns,10203956
mat4 mul mat4,cgmath,,,,78487688.0,ns,10333120
mat4 mul mat4,cgmath,,,,78796915.0,ns,10462284
mat4 mul mat4,cgmath,,,,79690354.0,ns,10591448
mat4 mul mat4,cgmath,,,,80611534.0,ns,10720612
mat4 mul mat4,cgmath,,,,81692348.0,ns,10849776
mat4 mul mat4,cgmath,,,,83132169.0,ns,10978940
mat4 mul mat4,cgmath,,,,83553392.0,ns,11108104
mat4 mul mat4,cgmath,,,,84664494.0,ns,11237268
mat4 mul mat4,cgmath,,,,86342966.0,ns,11366432
mat4 mul mat4,cgmath,,,,87507479.0,ns,11495596
mat4 mul mat4,cgmath,,,,88320830.0,ns,11624760
mat4 mul mat4,cgmath,,,,89471527.0,ns,11753924
mat4 mul mat4,cgmath,,,,89854794.0,ns,11883088
mat4 mul mat4,cgmath,,,,90377086.0,ns,12012252
