group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mat4 mul mat4,nalgebra,,,,1098077.0,ns,66379
mat4 mul mat4,nalgebra,,,,2070127.0,ns,132758
mat4 mul mat4,nalgebra,,,,3291370.0,ns,199137
mat4 mul mat4,nalgebra,,,,4040839.0,ns,265516
mat4 mul mat4,nalgebra,,,,4997595.0,ns,331895
mat4 mul mat4,nalgebra,,,,6353540.0,ns,398274
mat4 mul mat4,nalgebra,,,,6988014.0,ns,464653
mat4 mul mat4,nalgebra,,,,7959873.0,ns,531032
mat4 mul mat4,nalgebra,,,,8911787.0,ns,597411
mat4 mul mat4,nalgebra,,,,9866662.0,ns,663790
mat4 mul mat4,nalgebra,,,,10870582.0,ns,730169
mat4 mul mat4,nalgebra,,,,11861497.0,ns,796548
mat4 mul mat4,nalgebra,,,,12811757.0,ns,862927
mat4 mul mat4,nalgebra,,,,13791807.0,ns,929306
mat4 mul mat4,nalgebra,,,,14761088.0,ns,995685
mat4 mul mat4,nalgebra,,,,15734225.0,ns,1062064
mat4 mul mat4,nalgebra,,,,16777829.0,ns,1128443
mat4 mul mat4,nalgebra,,,,17751147.0,ns,1194822
mat4 mul mat4,nalgebra,,,,18753425.0,ns,1261201
mat4 mul mat4,nalgebra,,,,19657330.0,ns,1327580
mat4 mul mat4,nalgebra,,,,20931143.0,ns,1393959
mat4 mul mat4,nalgebra,,,,21600840.0,ns,1460338
mat4 mul mat4,nalgebra,,,,22598863.0,ns,1526717
mat4 mul mat4,nalgebra,,,,23558723.0,ns,1593096
mat4 mul mat4,nalgebra,,,,24517945.0,ns,1659475
mat4 mul mat4,nalgebra,,,,25480645.0,ns,1725854
mat4 mul mat4,nalgebra,,,,26479018.0,ns,1792233
mat4 mul mat4,nalgebra,,,,27491730.0,ns,1858612
mat4 mul mat4,nalgebra,,,,28440314.0,ns,1924991
mat4 mul mat4,nalgebra,,,,29399291.0,ns,1991370
mat4 mul mat4,nalgebra,,,,30378254.0,ns,2057749
mat4 mul mat4,nalgebra,,,,31350823.0,ns,2124128
mat4 mul mat4,nalgebra,,,,32679379.0,ns,2190507
mat4 mul mat4,nalgebra,,,,33411420.0,ns,2256886
mat4 mul mat4,nalgebra,,,,34269430.0,ns,2323265
mat4 mul mat4,nalgebra,,,,35265358.0,ns,2389644
mat4 mul mat4,nalgebra,,,,36228050.0,ns,2456023
mat4 mul mat4,nalgebra,,,,37268674.0,ns,2522402
mat4 mul mat4,nalgebra,,,,38215524.0,ns,2588781
mat4 mul mat4,nalgebra,,,,39175533.0,ns,2655160
mat4 mul mat4,nalgebra,,,,40214706.0,ns,2721539
mat4 mul mat4,nalgebra,,,,41114502.0,ns,2787918
mat4 mul mat4,nalgebra,,,,42206770.0,ns,2854297
mat4 mul mat4,nalgebra,,,,43116115.0,ns,2920676
mat4 mul mat4,nalgebra,,,,44057543.0,ns,2987055
mat4 mul mat4,nalgebra,,,,45026258.0,ns,3053434
mat4 mul mat4,nalgebra,,,,46116180.0,ns,3119813
mat4 mul mat4,nalgebra,,,,47425625.0,ns,3186192
mat4 mul mat4,nalgebra,,,,48022341.0,ns,3252571
mat4 mul mat4,nalgebra,,,,49069911.0,ns,3318950
mat4 mul mat4,nalgebra,,,,49909670.0,ns,3385329
mat4 mul mat4,nalgebra,,,,50897144.0,ns,3451708
mat4 mul mat4,nalgebra,,,,51871691.0,ns,3518087
mat4 mul mat4,nalgebra,,,,52829601.0,ns,3584466
mat4 mul mat4,nalgebra,,,,53809438.0,ns,3650845
mat4 mul mat4,nalgebra,,,,54856541.0,ns,3717224
mat4 mul mat4,nalgebra,,,,55820009.0,ns,3783603
mat4 mul mat4,nalgebra,,,,57020312.0,ns,3849982
mat4 mul mat4,nalgebra,,,,58207530.0,ns,3916361
mat4 mul mat4,nalgebra,,,,58682640.0,ns,3982740
mat4 mul mat4,nalgebra,,,,59661135.0,ns,4049119
mat4 mul mat4,nalgebra,,,,60687557.0,ns,4115498
mat4 mul mat4,nalgebra,,,,61618924.0,ns,4181877
mat4 mul mat4,nalgebra,,,,62583811.0,ns,4248256
mat4 mul mat4,nalgebra,,,,63668348.0,ns,4314635
mat4 mul mat4,nalgebra,,,,64594387.0,ns,4381014
mat4 mul mat4,nalgebra,,,,65525821.0,ns,4447393
mat4 mul mat4,nalgebra,,,,66839184.0,ns,4513772
mat4 mul mat4,nalgebra,,,,67539516.0,ns,4580151
mat4 mul mat4,nalgebra,,,,68454895.0,ns,4646530
mat4 mul mat4,nalgebra,,,,69689062.0,ns,4712909
mat4 mul mat4,nalgebra,,,,70423870.0,ns,4779288
mat4 mul mat4,nalgebra,,,,71432043.0,ns,4845667
mat4 mul mat4,nalgebra,,,,72386367.0,ns,4912046
mat4 mul mat4,nalgebra,,,,73329878.0,ns,4978425
mat4 mul mat4,nalgebra,,,,74315456.0,ns,5044804
mat4 mul mat4,nalgebra,,,,75765212.0,ns,5111183
mat4 mul mat4,nalgebra,,,,76250228.0,ns,5177562
mat4 mul mat4,nalgebra,,,,77271107.0,ns,5243941
mat4 mul mat4,nalgebra,,,,78281345.0,ns,5310320
mat4 mul mat4,nalgebra,,,,79229765.0,ns,5376699
mat4 mul mat4,nalgebra,,,,80196062.0,ns,5443078
mat4 mul mat4,nalgebra,,,,81164039.0,ns,5509457
mat4 mul mat4,nalgebra,,,,82554200.0,ns,5575836
mat4 mul mat4,nalgebra,,,,83089842.0,ns,5642215
mat4 mul mat4,nalgebra,,,,84125797.0,ns,5708594
mat4 mul mat4,nalgebra,,,,85070847.0,ns,5774973
mat4 mul mat4,nalgebra,,,,86011779.0,ns,5841352
mat4 mul mat4,nalgebra,,,,87533974.0,ns,5907731
mat4 mul mat4,nalgebra,,,,88047007.0,ns,5974110
mat4 mul mat4,nalgebra,,,,89504733.0,ns,6040489
mat4 mul mat4,nalgebra,,,,89957337.0,ns,6106868
mat4 mul mat4,nalgebra,,,,90949370.0,ns,6173247
mat4 mul mat4,nalgebra,,,,91926434.0,ns,6239626
mat4 mul mat4,nalgebra,,,,92919633.0,ns,6306005
mat4 mul mat4,nalgebra,,,,93833637.0,ns,6372384
mat4 mul mat4,nalgebra,,,,95321754.0,ns,6438763
mat4 mul mat4,nalgebra,,,,95792941.0,ns,6505142
mat4 mul mat4,nalgebra,,,,96853270.0,ns,6571521
mat4 mul mat4,nalgebra,,,,97751377.0,ns,6637900
