group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mat4 mul mat4,pathfinder,,,,1098477.0,ns,129123
mat4 mul mat4,pathfinder,,,,2076125.0,ns,258246
mat4 mul mat4,pathfinder,,,,3064939.0,ns,387369
mat4 mul mat4,pathfinder,,,,4038438.0,ns,516492
mat4 mul mat4,pathfinder,,,,5335588.0,ns,645615
mat4 mul mat4,pathfinder,,,,5979555.0,ns,774738
mat4 mul mat4,pathfinder,,,,7019579.0,ns,903861
mat4 mul mat4,pathfinder,,,,7956222.0,ns,1032984
mat4 mul mat4,pathfinder,,,,8913775.0,ns,1162107
mat4 mul mat4,pathfinder,,,,9904697.0,ns,1291230
mat4 mul mat4,pathfinder,,,,12290255.0,ns,1420353
mat4 mul mat4,pathfinder,,,,15445072.0,ns,1549476
mat4 mul mat4,pathfinder,,,,16706788.0,ns,1678599
mat4 mul mat4,pathfinder,,,,18019482.0,ns,1807722
mat4 mul mat4,pathfinder,,,,19225584.0,ns,1936845
mat4 mul mat4,pathfinder,,,,20518042.0,ns,2065968
mat4 mul mat4,pathfinder,,,,21843082.0,ns,2195091
mat4 mul mat4,pathfinder,,,,23040659.0,ns,2324214
mat4 mul mat4,pathfinder,,,,24380087.0,ns,2453337
mat4 mul mat4,pathfinder,,,,25697139.0,ns,2582460
mat4 mul mat4,pathfinder,,,,26927668.0,ns,2711583
mat4 mul mat4,pathfinder,,,,28234023.0,ns,2840706
mat4 mul mat4,pathfinder,,,,29676625.0,ns,2969829
mat4 mul mat4,pathfinder,,,,30782176.0,ns,3098952
mat4 mul mat4,pathfinder,,,,31980731.0,ns,3228075
mat4 mul mat4,pathfinder,,,,33234902.0,ns,3357198
mat4 mul mat4,pathfinder,,,,34485554.0,ns,3486321
mat4 mul mat4,pathfinder,,,,35836896.0,ns,3615444
mat4 mul mat4,pathfinder,,,,37220572.0,ns,3744567
mat4 mul mat4,pathfinder,,,,38467267.0,ns,3873690
mat4 mul mat4,pathfinder,,,,39550643.0,ns,4002813
mat4 mul mat4,pathfinder,,,,39902005.0,ns,4131936
mat4 mul mat4,pathfinder,,,,32398468.0,ns,4261059
mat4 mul mat4,pathfinder,,,,33409223.0,ns,4390182
mat4 mul mat4,pathfinder,,,,34403421.0,ns,4519305
mat4 mul mat4,pathfinder,,,,35326729.0,ns,4648428
mat4 mul mat4,pathfinder,,,,36333546.0,ns,4777551
mat4 mul mat4,pathfinder,,,,37328022.0,ns,4906674
mat4 mul mat4,pathfinder,,,,38274503.0,ns,5035797
mat4 mul mat4,pathfinder,,,,39315524.0,ns,5164920
mat4 mul mat4,pathfinder,,,,40208511.0,ns,5294043
mat4 mul mat4,pathfinder,,,,41236089.0,ns,5423166
mat4 mul mat4,pathfinder,,,,42187021.0,ns,5552289
mat4 mul mat4,pathfinder,,,,43520841.0,ns,5681412
mat4 mul mat4,pathfinder,,,,44192217.0,ns,5810535
mat4 mul mat4,pathfinder,,,,45248524.0,ns,5939658
mat4 mul mat4,pathfinder,,,,46090164.0,ns,6068781
mat4 mul mat4,pathfinder,,,,47192357.0,ns,6197904
mat4 mul mat4,pathfinder,,,,48126925.0,ns,6327027
mat4 mul mat4,pathfinder,,,,49236858.0,ns,6456150
mat4 mul mat4,pathfinder,,,,50017542.0,ns,6585273
mat4 mul mat4,pathfinder,,,,50989647.0,ns,6714396
mat4 mul mat4,pathfinder,,,,52023685.0,ns,6843519
mat4 mul mat4,pathfinder,,,,52933250.0,ns,6972642
mat4 mul mat4,pathfinder,,,,53905737.0,ns,7101765
mat4 mul mat4,pathfinder,,,,55319345.0,ns,7230888
mat4 mul mat4,pathfinder,,,,55847213.0,ns,7360011
mat4 mul mat4,pathfinder,,,,56886992.0,ns,7489134
mat4 mul mat4,pathfinder,,,,58059886.0,ns,7618257
mat4 mul mat4,pathfinder,,,,58837766.0,ns,7747380
mat4 mul mat4,pathfinder,,,,59796849.0,ns,7876503
mat4 mul mat4,pathfinder,,,,60774562.0,ns,8005626
mat4 mul mat4,pathfinder,,,,61814314.0,ns,8134749
mat4 mul mat4,pathfinder,,,,62800352.0,ns,8263872
mat4 mul mat4,pathfinder,,,,63683046.0,ns,8392995
mat4 mul mat4,pathfinder,,,,65120093.0,ns,8522118
mat4 mul mat4,pathfinder,,,,65732528.0,ns,8651241
mat4 mul mat4,pathfinder,,,,66624900.0,ns,8780364
mat4 mul mat4,pathfinder,,,,67688161.0,ns,8909487
mat4 mul mat4,pathfinder,,,,68625935.0,ns,9038610
mat4 mul mat4,pathfinder,,,,69794645.0,ns,9167733
mat4 mul mat4,pathfinder,,,,70667118.0,ns,9296856
mat4 mul mat4,pathfinder,,,,71579047.0,ns,9425979
mat4 mul mat4,pathfinder,,,,72858414.0,ns,9555102
mat4 mul mat4,pathfinder,,,,73518232.0,ns,9684225
mat4 mul mat4,pathfinder,,,,74566345.0,ns,9813348
mat4 mul mat4,pathfinder,,,,75516130.0,ns,9942471
mat4 mul mat4,pathfinder,,,,76550722.0,ns,10071594
mat4 mul mat4,pathfinder,,,,77397495.0,ns,10200717
mat4 mul mat4,pathfinder,,,,78462078.0,ns,10329840
mat4 mul mat4,pathfinder,,,,79372370.0,ns,10458963
mat4 mul mat4,pathfinder,,,,80901918.0,ns,10588086
mat4 mul mat4,pathfinder,,,,81344445.0,ns,10717209
mat4 mul mat4,pathfinder,,,,82331325.0,ns,10846332
mat4 mul mat4,pathfinder,,,,83322965.0,ns,10975455
mat4 mul mat4,pathfinder,,,,84284494.0,ns,11104578
mat4 mul mat4,pathfinder,,,,85353120.0,ns,11233701
mat4 mul mat4,pathfinder,,,,86213522.0,ns,11362824
mat4 mul mat4,pathfinder,,,,87620109.0,ns,11491947
mat4 mul mat4,pathfinder,,,,88254821.0,ns,11621070
mat4 mul mat4,pathfinder,,,,89428200.0,ns,11750193
mat4 mul mat4,pathfinder,,,,90284593.0,ns,11879316
mat4 mul mat4,pathfinder,,,,91097288.0,ns,12008439
mat4 mul mat4,pathfinder,,,,92112324.0,ns,12137562
mat4 mul mat4,pathfinder,,,,93103574.0,ns,12266685
mat4 mul mat4,pathfinder,,,,94383813.0,ns,12395808
mat4 mul mat4,pathfinder,,,,95075656.0,ns,12524931
mat4 mul mat4,pathfinder,,,,96029118.0,ns,12654054
mat4 mul mat4,pathfinder,,,,97088868.0,ns,12783177
mat4 mul mat4,pathfinder,,,,98089401.0,ns,12912300
